Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.20385	0.19307	0.16888	0.20757	0.26059	0.17064	0.57882	0.44822	0.079341	0.038458	0.49856	0.28123	0.37469	0.19314	0.73016	0.19473	0.086882	0.66344	0.125	0.125	0.33588	0.13887	0.74004	0.22991	0.19714	0.14515	0.69092	0.16445	0.47756
0.1724	0.073006	0.29422	0.082118	0.35707	0.1795	0.51381	0.71896	0.10879	0.037084	0.6912	0.018364	0.35024	0.018877	0.74566	0.23804	0.21127	0.54509	0.125	0.125	1.1605	0.10414	0.63821	0.10474	0.16658	0.10404	0.55469	0.13807	0.39374
0.016473	0.062428	0.52868	0.14155	0.19715	0.078176	0.32274	0.47156	0.059762	0.097908	0.31632	0.076041	0.90426	0.022558	0.49498	0.071262	0.26529	0.50441	0.125	0.375	0.032293	0.11814	0.38995	0.62495	0.057844	0.23068	0.30996	0.58081	0.64136
0.10114	0.24433	0.44076	0.29541	0.64994	0.16912	0.70588	1.0647	0.056405	0.34238	0.97853	0.173	0.81227	0.55429	1.0212	0.019814	0.18026	1.058	0.125	0.25	0.12796	0.066816	0.38061	0.25161	0.092777	0.19376	0.34064	0.23457	0.52841
0.16233	0.10322	0.92159	0.10476	0.74897	0.22975	0.29246	0.39947	0.046316	0.3063	0.16794	0.28662	0.90133	0.097994	0.59869	0.14051	0.066433	0.46032	0.375	0.5	0.048181	0.074176	0.62588	0.42568	0.15368	0.53878	0.67698	0.37348	0.8115
0.18061	0.087093	0.81869	0.078626	0.82431	0.093199	0.90129	0.88545	0.24209	0.18703	0.75653	0.10943	0.65356	-0.0035333	0.7151	0.17596	0.035539	0.72287	0.375	0.375	0.83013	0.36661	0.72373	0.071359	0.13904	0.087652	0.44258	0.074687	0.54579
0.079185	0.12114	0.37971	0.12453	0.3279	0.068513	0.92794	0.77767	0.15414	0.099057	0.88058	0.050096	0.38747	0.032966	0.95223	0.25144	0.043939	0.8388	0.5	0.5	0.97985	0.20101	0.7095	0.17024	0.12048	0.20371	0.87793	0.1332	0.49576
0.042556	0.2298	1.78	0.24162	0.83449	0.076086	0.56164	0.57324	0.19909	0.14473	0.63178	0.051336	0.87582	0.32486	0.65689	0.17863	0.096644	0.45224	0.375	0.375	0.1998	0.20711	0.28369	0.32542	0.044818	0.33767	0.24874	0.30959	0.76806
0.034428	0.065967	0.22806	0.068505	0.70678	0.052945	0.24567	0.22796	0.064481	0.13658	0.14502	0.19966	0.42953	0.074438	0.42726	0.065541	0.044694	0.32531	0.125	0.25	0.10396	0.04873	0.26493	0.29801	0.098425	0.29671	0.040124	0.33552	0.92676
0.024753	0.06523	0.11767	0.11769	0.034578	0.034576	0.39083	0.71633	0.23034	0.040527	0.39361	0.10292	-0.007919	0.057674	0.96026	0.090525	0.11742	0.8139	0.375	0.5	0.85102	0.28314	0.42517	0.099743	0.060118	0.11289	0.77406	0.10549	0.70787
