Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.176485	0.0145832	0.737826	0.0348976	0.816512	0.103469	0.330085	0.324516	0.0417234	0.216977	0.228315	0.272912	0.481035	0.0457736	0.486039	0.0534087	0.0543713	0.379488	0.142857	0.125	0.0807293	0.0209859	0.520325	0.246517	0.194	0.502892	0.15963	0.267362	0.829678
0.0453332	0.192829	0.332534	0.146692	0.688313	0.0233459	0.604272	0.5872	0.13104	0.0142358	0.684188	0.0725712	0.372695	0.106637	0.644453	0.207795	0.457785	0.652867	0.142857	0.125	0.70743	0.106958	0.109126	0.247891	0.255845	0.216704	0.0400046	0.1744	0.770228
0.220623	0.145046	0.236275	0.138435	0.204079	0.0886357	0.897033	0.96282	-0.00301301	0.122888	0.790645	0.00671073	0.436349	0.00841879	0.781786	0.037026	0.0902179	0.522918	0	0	0.977663	0.0288016	0.854441	0.0950732	0.225197	0.101632	0.822638	0.0774246	0.227385
0.0189419	0.253315	0.396811	0.241743	0.719535	0.0599651	0.489884	0.412675	0.0221954	0.221654	0.476444	0.0966902	0.222044	0.0559467	0.683567	0.0821436	0.271141	0.480312	0	0.125	0.109561	0.0592212	0.256842	1.05121	0.153904	0.899015	0.0293964	0.949442	0.735381
0.0706175	0.213368	0.0879607	0.26456	0.000881577	0.044055	0.72084	1.02787	0.569365	0.153547	0.89636	0.106749	0.164998	0.118035	0.872425	0.69983	0.342645	0.67802	0.142857	0.125	0.915019	0.457631	0.302827	0.0569573	0.147146	0.0514848	0.896255	0.0804636	0.42538
0.168624	0.3075	0.247466	0.272106	0.473846	0.154175	0.576305	0.766573	0.130836	0.112843	0.740697	0.437975	0.595265	0.50547	0.714225	0.146891	0.652609	0.594373	0	0	0.491191	0.236374	0.713871	0.0397648	1.14878	0.00715201	0.147277	0.0706449	0.268655
0.245661	0.147978	0.344929	0.0841403	0.447186	0.265932	1.25059	1.14884	0.184243	0.46818	1.18287	0.215413	0.164846	0.147531	1.01575	0.0167452	0.274835	1.06917	0.285714	0.25	0.896672	0.206318	0.36309	0.173953	0.254672	0.210525	0.891445	0.185847	0.622843
0.0886794	0.135543	0.0425513	0.11411	0.24513	0.0643956	0.745557	0.865617	0.196205	0.129058	0.949736	0.0455233	0.171171	0.0517681	0.870133	0.0689783	0.0622973	0.330811	0	0	1.01803	0.229045	0.159209	0.0611126	0.105423	0.0671035	0.206139	0.0432181	0.34248
0.104933	0.294504	0.594277	0.392946	0.125548	0.127455	0.519542	1.35974	0.0850336	0.126464	0.927421	0.546869	0.186156	0.693114	1.0474	0.176964	0.238035	0.879404	0.285714	0.375	1.37869	0.0851451	0.881839	0.268363	0.245641	0.208303	0.323499	0.236674	0.440559
0.0619599	0.0772687	0.17522	0.0478809	0.350911	0.0984294	0.922589	0.850637	0.0672607	0.0830493	0.998236	0.0532814	0.32807	0.00038715	0.923647	0.0513306	0.151669	1.03463	0.285714	0.25	0.597606	0.073884	-0.0382305	0.217379	0.249517	0.200069	0.609583	0.20034	0.531468
