Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.139017	0.00569426	0.50508	0.0116837	0.439116	0.0497988	0.398312	0.300356	0.105347	0.275957	0.256571	0.289197	0.357728	0.773943	0.382885	0.0165946	0.0461768	0.326076	-0.142857	0	0.0697208	0.00356253	0.728452	0.383224	0.194776	0.467001	0.49494	0.404351	0.633177
0.26664	0.0896685	0.491108	0.109919	0.269707	0.249384	0.700494	0.766703	0.100952	0.337305	0.648302	0.295223	0.242777	0.18059	0.703125	0.0188212	0.242767	0.800755	0.285714	0.25	0.350701	0.145679	0.465783	0.349551	0.194447	0.566521	0.596376	0.371319	0.725462
0.029796	0.31849	0.236943	0.253686	0.254381	0.0282381	0.591333	0.490437	0.0798624	0.133006	0.407391	0.0133897	0.237325	-0.00137123	0.461238	0.120132	0.268554	0.476362	0.142857	0.125	0.252148	0.0574556	0.404016	0.246747	0.221949	0.0789193	0.879261	0.245117	0.322255
0.117583	0.0239025	0.451799	0.0738862	0.9634	0.119223	0.2824	0.299576	0.012455	0.0562106	0.374798	0.151289	1.07905	0.0475476	0.287828	0.153248	0.126076	0.229674	0.571429	0.5	0.365641	0.00604642	0.349682	0.180322	0.0846432	0.20487	0.163054	0.226706	0.684883
2.96301e-05	0.172214	0.108757	0.0861588	0.938595	0.0515033	0.213946	0.53001	0.515993	0.0173061	0.427354	0.120774	0.315998	0.193103	0.508863	0.543837	0.091837	0.497501	0.428571	0.375	0.321345	0.48959	0.879803	0.21564	0.146414	0.0562774	0.524459	0.254271	0.745862
0.014917	0.128263	0.652349	0.130725	0.676234	0.0457058	0.404629	0.374179	0.326769	0.0842749	0.502424	0.128428	0.437581	0.0914026	0.433314	0.238596	0.0889945	0.447884	0.285714	0.25	0.222268	0.184723	0.617325	0.347672	0.085198	0.374027	0.168718	0.3283	0.624028
0.0970587	0.0220751	0.0671121	0.0194403	0.277675	0.0996694	0.147294	0.214788	0.0948106	0.131947	0.0747957	0.0430095	0.511438	0.333475	0.425606	0.107684	0.0916574	0.242042	0	0.125	0.0589743	0.0960779	0.360487	0.197655	0.121097	0.0685651	0.316582	0.236606	0.724501
0.176202	0.0892958	0.297407	0.0784763	0.399983	0.172693	0.450959	0.352107	0.212065	0.256868	0.301051	0.133048	0.64964	0.146313	0.416746	0.0869378	0.188176	0.347408	0.428571	0.375	0.188456	0.147227	0.577773	0.188064	0.117475	0.238214	0.372853	0.174914	0.387544
0.0700487	0.00948992	0.293457	0.0408764	0.599565	0.0255373	0.482719	0.576544	0.0798825	0.0994345	0.579393	0.12957	0.636205	0.456941	0.72061	0.0825546	0.0171588	0.675449	0.285714	0.25	0.30955	0.0722178	0.511652	0.00859787	0.080823	0.0511992	0.555548	0.00899487	0.432169
0.110751	0.0456891	0.253877	0.0581564	0.357233	0.0800318	0.571036	0.485446	0.0684606	0.283545	0.585365	0.360223	0.142525	0.187519	0.563882	0.308784	0.285394	0.10418	0.285714	0.25	0.545185	0.081863	0.333487	0.112009	0.263911	0.0853577	0.578062	0.139754	0.57171
