Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.087612	0.16224	0.23134	0.16867	0.37287	0.032022	0.56924	0.50808	0.023104	0.13777	0.41901	0.078333	0.27762	0.039368	0.55402	0.06476	0.20453	0.52782	0	0.125	0.19527	0.13204	0.63425	0.24279	0.11603	0.19434	0.43087	0.23062	0.64047
0.11501	0.049408	0.068537	0.030393	0.39096	0.10971	0.62328	0.6176	0.10711	0.11853	0.55148	0.16906	0.46978	0.20682	0.61828	0.045155	0.022166	0.71161	0.14286	0.125	0.25975	0.098383	0.28805	0.23318	0.050594	0.31092	0.80102	0.25379	0.76962
0.13516	0.11957	0.25029	0.13346	0.7336	0.093479	0.44225	0.47871	0.26234	0.10447	0.42684	0.12943	0.67169	0.27099	0.59241	0.15217	0.18342	0.50021	0.14286	0.125	0.14468	0.15918	0.64931	0.26579	0.19097	0.18789	0.04012	0.28349	0.58548
0.1607	0.0041575	0.09294	0.049277	0.26066	0.14196	0.9249	0.65809	0.15793	0.12607	0.67767	0.063402	0.463	0.022579	0.83813	0.28383	0.090473	0.76148	0.14286	0.25	0.36512	0.1299	1.1753	0.27143	0.084393	0.27147	0.87845	0.25066	0.80233
0.021654	0.28197	0.12998	0.21319	0.11934	0.061002	0.59961	0.49373	0.15115	0.10874	0.45541	0.0096935	0.12578	0.62042	0.54573	0.17167	0.25798	0.51861	0.14286	0.125	0.33786	0.19961	0.68536	0.40467	0.20106	0.44799	0.62804	0.38679	0.83705
0.086647	0.12498	0.57208	0.066427	0.095464	0.011841	0.51068	0.47085	0.66442	0.0038965	0.40821	0.084703	0.32855	0.088425	0.64757	0.14278	0.010408	0.5004	0.28571	0.25	0.48516	0.51277	0.52436	0.31242	0.083781	0.35784	0.54705	0.44276	0.7538
0.10589	0.0060688	0.62539	0.026859	0.20105	0.11487	0.95962	0.87098	0.086332	0.12872	0.75976	0.072073	0.38783	0.029025	0.91188	0.012526	0.034368	0.84019	0.14286	0.25	0.68803	0.10976	0.95178	0.2917	0.033632	0.26827	0.62292	0.34934	0.63896
0.22507	0.073597	0.52967	0.18096	0.047985	0.20744	0.60581	0.51371	0.16676	0.19973	0.59308	0.36037	0.12492	0.12346	0.53223	0.31336	0.54449	0.55716	0.42857	0.375	0.13892	0.2276	0.27543	0.53097	0.36359	0.22941	0.71721	0.86526	0.83003
0.084903	0.13325	0.36744	0.14314	0.38493	0.1123	0.55498	0.74309	0.10144	0.13109	0.81154	0.13312	0.59223	0.18875	0.88682	0.11759	0.12237	0.81266	0.28571	0.25	0.157	0.16652	0.21049	0.54003	0.060314	0.4317	0.41	0.43509	0.59786
0.10794	0.026511	0.061384	0.014382	0.24218	0.1217	0.25269	0.57999	0.20032	0.12174	0.34835	0.087236	0.31872	0.11823	0.70566	0.077739	0.03353	0.54761	0.42857	0.5	0.38713	0.16183	0.90568	0.068859	0.10323	0.071806	0.69757	0.064643	0.74727
0.070602	0.14246	0.17845	0.13036	0.089754	0.066402	0.42303	0.5227	0.091905	0.071426	0.51152	0.033254	0.42634	0.0258	0.65929	0.28664	0.14616	0.71584	0.14286	0.25	0.2456	0.050296	0.22591	0.14336	0.058317	0.10055	0.37325	0.13693	0.86192
0.13016	0.2528	0.22758	0.23056	0.077788	0.096992	0.87562	0.74659	0.033433	0.10509	0.76349	0.38964	0.10292	0.58721	0.79449	0.064804	0.23191	0.84495	0.14286	0.125	0.41937	0.063345	0.58823	0.23092	0.11883	0.182	0.74452	0.22956	0.74752
0.062259	0.08518	0.37596	0.090586	0.23508	0.070584	0.63992	0.58041	0.044224	0.12151	0.48937	0.081945	0.47955	0.026347	0.90821	0.13998	0.052952	0.62036	0.42857	0.375	0.5714	0.081546	0.97438	0.20121	0.03844	0.2819	0.47156	0.2557	0.52887
0.022185	0.062333	0.56026	0.077327	0.47562	0.03522	0.38569	0.56406	0.47197	0.079658	0.49016	0.038339	0.624	0.014452	0.64898	0.075975	0.076654	0.65569	0.28571	0.25	0.46603	0.44969	0.56841	0.20324	0.078239	0.19879	0.049969	0.2271	0.66225
0.082919	0.11142	0.20548	0.14775	0.058204	0.070799	0.69716	0.676	0.17473	0.076764	0.64139	0.046464	0.044243	0.037201	0.83792	0.52343	0.20857	0.58813	0.28571	0.25	0.66051	0.28293	0.66405	0.2752	0.07908	0.25631	0.38661	0.31562	0.56539
0.12642	0.26904	0.16195	0.14868	0.2847	0.056762	0.47524	0.89042	0.024233	0.14937	0.7581	0.0071186	0.32353	0.055481	0.96828	0.12952	0.077085	0.87353	0.14286	0.25	1.0199	0.033508	0.51144	0.071688	0.22348	0.038484	0.8972	0.10512	0.4273
0.18105	0.37116	0.38117	0.1915	0.053902	0.25819	0.35838	0.41866	0.035446	0.66322	0.34596	0.1871	0.34612	0.28848	0.74365	0.16426	0.455	0.62701	0.14286	0.25	0.31846	0.016028	0.59389	0.15885	0.44465	0.14307	0.74987	0.17218	0.60161
0.19031	0.91348	0.053849	0.95948	0.2367	0.22139	0.64258	0.63079	0.24144	0.51566	0.7614	0.085599	0.27323	0.28681	0.72075	0.2328	0.71355	0.53341	0.57143	0.75	0.45187	0.19659	0.067305	0.57923	0.53711	0.42718	0.55066	0.85008	0.85367
0.093346	0.12385	0.31062	0.12017	0.63786	0.057347	0.54665	0.3116	0.086855	0.056001	0.42909	0.27933	0.30088	0.026341	0.48079	0.13169	0.15325	0.3931	0.57143	0.5	0.18217	0.10634	0.79098	0.22875	0.040008	0.13609	0.51522	0.21759	0.56041
0.35273	0.16887	0.30892	0.049916	0.25374	0.31536	0.27391	0.52495	0.42833	0.22929	0.38662	0.53032	0.51969	0.05573	0.46009	0.49005	0.11689	0.50349	0.42857	0.375	0.084137	0.27209	0.28813	0.12286	0.16094	0.18054	0.45099	0.1096	0.82659
0.19587	0.1733	0.37161	0.27021	0.58608	0.2324	0.49459	0.62958	0.074921	0.15977	0.68016	0.33902	0.65687	0.16288	0.74546	0.16925	0.23587	0.73912	0.71429	0.75	0.34493	0.012247	0.54513	0.14291	0.27745	0.099702	0.048833	0.14774	0.28442
