Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.60383	0.71596	0.23279	0.491	0.23664	0.44827	0.714	0.44957	0.12575	0.23604	0.56392	0.8204	0.20549	1.2481	0.38175	0.099365	0.32395	0.60668	0	0	0.17199	0.11193	0.30357	0.28858	0.29796	0.35863	0.61214	0.24994	0.804
0.21873	0.67624	0.13187	0.53893	0.49789	0.26539	0.27588	0.072811	0.11965	0.46458	0.13612	0.74848	0.2636	0.60924	0.33905	0.31465	0.17826	0.19487	0.125	0.11111	0.051026	0.0082799	0.43046	0.38313	0.3583	0.65565	0.47157	0.3981	1.0218
0.43516	0.43368	0.17551	0.29906	0.10547	0.26454	0.43741	0.3048	0.2339	0.20682	0.41222	0.23585	0.24679	0.26294	0.46863	0.032014	0.11981	0.1814	0.25	0.22222	0.26548	0.22462	0.38164	0.37257	0.12295	0.51561	0.66897	0.36783	0.54632
0.41374	0.34792	0.24301	0.13893	0.75763	0.37998	0.27936	0.044307	0.24789	0.31155	0.09807	0.4006	0.2358	0.21247	0.060751	0.11817	0.10725	-0.051936	0.25	0.22222	0.40648	0.16014	0.49836	0.27197	0.46479	0.27484	0.11507	0.40062	0.37797
0.73988	0.01527	0.21885	0.2227	0.35659	0.70334	0.55922	0.33929	0.028951	0.2489	0.47038	0.31618	0.48625	0.36639	0.52197	0.014445	0.19966	0.50918	0.125	0.11111	0.096102	0.015328	0.033649	0.15742	0.20881	0.23561	0.67071	0.18447	0.94453
1.4233	0.18285	0.6213	0.2896	0.085256	0.93612	0.3106	0.27126	0.29573	0.43144	0.1909	0.46389	0.22279	0.24997	0.26934	0.074861	0.30103	0.18575	0.125	0.11111	0.09079	0.20961	0.47399	1.0437	0.26996	1.0811	0.68116	1.0352	0.54429
0.16289	0.31822	0.55005	0.42537	0.49037	0.27912	0.27303	0.29444	0.74671	0.17147	0.29388	0.2507	0.50896	0.46008	0.24787	0.045404	0.23693	0.1788	0.25	0.22222	0.19111	0.39256	0.38742	0.2121	0.14097	0.30074	0.28834	0.24832	0.75449
0.20965	0.39153	-0.0085291	0.4908	0.45828	0.053979	0.57094	0.68361	0.29876	0.28409	0.55655	0.20708	0.34056	0.29598	0.58805	0.088704	0.24762	0.67539	0.125	0.11111	0.16486	0.24765	0.43066	0.30067	0.30329	0.4573	0.67684	0.33311	0.76649
3.0156	1.4098	0.63517	1.1434	0.36221	2.3433	0.17806	-0.05527	1.2578	1.4799	0.014081	1.1957	0.71714	0.37982	-0.11711	0.92659	1.0302	-0.044342	0	0	0.00018213	0.3771	0.39743	0.86238	0.65248	0.65358	0.19194	0.57376	0.68254
0.45002	0.14163	0.39084	0.08656	0.28629	0.48142	0.69985	0.54162	0.15211	0.41526	0.62615	0.24243	0.14861	0.089906	0.41801	0.08582	0.047237	0.62193	0	0	0.13647	0.054245	0.25621	0.49572	0.19216	0.82658	0.47664	0.49526	0.98496
0.4576	0.77144	0.56953	0.64397	0.47374	0.44598	0.26023	0.39041	0.32808	0.4158	0.37563	0.42	0.21446	0.16689	0.54172	0.053397	0.54955	0.57113	0.25	0.22222	0.24029	0.075678	0.51261	0.22037	0.22067	0.14964	0.19375	0.22125	0.31383
0.13454	0.14285	0.36508	0.15249	0.4553	0.077294	0.40777	0.27102	0.33831	0.10313	0.35173	0.56262	0.11922	0.36037	0.32297	0.066693	0.064929	0.24183	0.125	0.22222	0.19187	0.30114	0.18731	0.48339	0.10497	0.79283	0.47676	0.54965	0.74306
1.1362	0.92218	0.1097	0.67321	0.23046	0.74839	0.44417	0.30499	0.2338	0.35459	0.41128	1.1659	0.1789	1.3514	0.34333	0.073755	0.26503	0.39944	0.125	0.11111	0.16197	0.12125	0.56892	0.53678	0.28983	0.63817	0.32969	0.52675	0.98063
0.95901	0.94169	0.095456	0.95245	0.30419	0.46016	0.46853	0.2822	0.4227	0.18298	0.37142	0.79043	0.16108	1.1359	0.37743	0.09784	0.52091	0.50644	0.25	0.22222	0.07364	0.1346	0.14425	0.65598	0.39857	0.15407	0.68051	0.92181	0.62488
0.37064	0.55935	0.31788	0.56707	0.3785	0.33849	0.47492	0.23974	0.46244	0.26446	0.31319	0.37508	0.18049	0.81815	0.3778	0.11933	0.30422	0.38955	0.375	0.33333	0.21433	0.3119	0.77565	0.34514	0.27841	0.34013	0.52942	0.29925	0.72084
0.7868	0.44828	0.51325	0.085845	0.32825	0.483	0.22899	-0.041585	0.2682	0.027364	0.024486	0.34721	0.80463	0.12559	-0.069681	0.12974	0.096238	0.11644	0.25	0.22222	0.015208	0.17075	0.5328	0.16752	0.56083	0.27602	0.40672	0.22845	0.73625
1.6673	0.044811	0.14659	0.26618	0.4273	1.9816	0.40106	0.30099	0.10867	1.2193	0.21878	0.86274	0.36699	0.20382	0.30532	0.20292	0.26067	0.32137	0.125	0.11111	0.085023	0.026105	0.60902	0.45417	0.92461	0.58375	0.51613	0.84444	0.91228
0.90826	1.659	0.47544	1.3925	0.77045	0.52319	0.22759	0.040416	0.62396	0.31418	0.15264	0.3338	0.40965	1.0269	0.266	0.49054	0.47404	0.22765	0.25	0.22222	0.13511	0.24172	0.57359	0.44524	0.52045	0.28972	0.16001	0.49495	0.59946
0.38492	0.15213	0.26562	0.10911	0.61935	0.50715	0.72542	0.45504	0.20836	0.21927	0.57789	0.45306	0.22394	0.47242	0.50891	0.030054	0.072939	0.51924	0.125	0.22222	0.2245	0.10829	0.88799	0.40828	0.18258	0.63298	0.55561	0.40067	0.41995
0.39233	0.53897	0.29511	0.36801	0.4149	0.33026	0.52616	0.37936	0.24056	0.14382	0.42298	0.73497	0.18469	0.51576	0.37591	0.14725	0.27681	0.51059	0.125	0.11111	0.11705	0.055343	0.58054	0.44814	0.47388	0.6873	0.81143	0.71175	0.87328
0.37547	0.22714	0.26038	0.46156	0.18515	0.18211	0.65386	0.47978	0.88265	0.17556	0.61489	0.45195	0.22876	0.1617	0.52261	0.5756	0.31266	0.80349	0.25	0.33333	0.16486	0.69717	0.94578	0.26064	0.50625	0.36804	0.58403	0.47303	0.60625
0.3826	0.25921	0.21483	0.054674	0.20051	0.39845	1.078	0.89905	0.12712	0.28058	1.0234	0.59869	0.12188	0.24538	0.84742	0.074889	0.087142	0.99573	0.125	0.11111	0.23361	0.068818	0.78035	0.35754	0.27067	0.36285	0.68895	0.48139	0.45615
0.80334	1.1986	0.3272	1.2676	0.23904	1.1119	0.40557	0.11581	0.44352	0.69764	0.24423	2.0857	0.49421	0.38407	-0.075506	0.28626	0.51551	0.32711	0	0.11111	0.010654	0.053864	0.0067255	0.66445	0.78863	0.7151	0.18897	0.68343	1.0356
0.4576	0.37842	0.40607	0.48509	0.091589	0.23836	0.37023	0.26967	0.19929	0.080246	0.29893	0.68294	0.41603	0.74678	0.37946	0.048472	0.27948	0.36715	0.25	0.22222	0.15211	0.065267	0.66883	0.287	0.2753	0.42283	0.80908	0.36564	0.79074
1.0809	0.51676	0.40998	0.22054	0.023739	0.66743	0.091632	0.26008	0.57777	0.22677	0.17725	0.24536	0.5567	0.074083	0.38111	0.21914	0.2911	0.29892	0.375	0.33333	0.17624	0.37736	0.44662	0.26287	0.18281	0.33171	0.21015	0.25496	0.60679
0.36619	0.37747	0.05506	0.33545	0.31169	0.31846	0.41546	0.44898	0.38549	0.26307	0.25802	0.31642	0.17323	0.13302	0.31499	0.0051243	0.20734	0.25003	0.125	0.11111	0.15195	0.36299	0.47797	0.47699	0.18614	0.78216	0.34035	0.48406	0.62421
0.22395	0.12169	0.090151	0.14269	-0.017789	0.24204	0.41805	0.34171	0.33687	0.09772	0.227	0.64927	0.16854	0.20566	0.20317	0.011521	0.082214	0.13966	0.25	0.22222	0.15529	0.23626	0.52666	0.19358	0.14972	0.40266	0.71166	0.16878	0.6808
0.50263	0.76446	0.069577	0.42161	0.46528	0.30973	0.2532	0.18827	0.25177	0.016096	0.24609	0.18475	0.41086	0.37022	0.27636	0.27269	0.17708	0.15277	0.375	0.33333	0.2371	0.17714	0.21941	0.10991	0.12368	0.15998	0.90965	0.089336	0.69144
0.66455	0.28788	0.44153	0.13619	0.43512	0.54923	0.38409	0.36311	0.6505	0.20574	0.20423	0.67138	0.22971	0.14715	0.19753	0.042503	0.04762	0.25784	0.25	0.22222	0.10794	0.54833	0.61915	0.25862	0.19939	0.39485	0.67465	0.21594	0.50075
1.943	0.33956	0.37263	0.30219	0.78773	1.1968	0.20119	0.20671	0.12522	0.5421	0.17784	0.70056	0.74597	0.62763	0.24162	0.15756	0.36758	0.36808	0.375	0.33333	0.061802	0.040837	0.31969	0.36032	0.30695	0.45974	0.42303	0.43943	0.86148
