Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.27733	0.68255	0.19698	0.41654	0.11936	0.12475	0.26567	0.047411	0.38602	0.23647	0.122	1.6411	0.2855	0.33218	0.074938	0.23209	0.34956	0.15	0.14286	0.125	0.086282	0.32095	0.41554	0.42741	0.4586	0.3472	0.26381	0.41941	0.73522
0.36573	0.62009	0.26386	0.38839	0.43541	0.62222	0.40027	0.21778	0.44772	0.72558	0.26999	0.87115	0.34026	2.3264	0.26438	0.33515	0.28434	0.39462	0.14286	0.125	0.19004	0.31551	0.58674	0.31944	0.46011	0.33633	0.24827	0.3373	1.0148
0.28192	0.72181	0.046506	0.80047	0.23375	0.32746	0.54493	0.24163	1.495	0.17335	0.32206	0.86165	0.0503	1.1644	0.1515	0.50762	0.53903	0.28121	0.14286	0.125	0.113	1.7374	0.31018	0.45591	0.32188	0.36857	0.61488	0.43909	0.89379
0.51362	0.73223	0.17715	0.75883	0.14519	0.52019	0.37829	0.30103	0.47833	0.3023	0.38544	0.98027	0.28959	1.6335	0.35144	0.28183	0.39066	0.34734	0	0	0.18315	0.38084	0.48631	0.30294	0.28873	0.2278	0.25318	0.2965	0.95075
0.33972	0.5907	0.37289	0.6317	0.44786	0.46839	0.2906	0.1926	0.40735	0.36141	0.236	1.7966	0.66963	2.3554	0.16899	0.095825	0.343	0.27663	0.14286	0.125	0.054647	0.23568	0.53981	0.4348	0.63328	0.88476	0.20563	0.51098	0.93603
1.8173	0.30285	0.43532	0.53101	0.25866	1.4736	0.27478	0.31567	0.20184	0.47354	0.29481	0.65891	0.15982	0.23252	0.42427	0.1645	0.17826	0.36586	0.14286	0.25	0.17889	0.16418	0.036795	0.37201	0.80831	0.20593	0.83772	0.41999	0.72917
1.1422	0.76675	0.49086	0.44182	0.55859	0.74084	0.21212	0.39778	0.31056	0.45898	0.25692	1.7438	0.66748	4.0088	0.41622	0.1139	0.67083	0.57542	0.14286	0.125	0.037109	1.0403	0.52806	0.43902	0.60648	0.17013	0.81353	0.34374	1.0213
0.48841	0.25433	0.55435	0.10578	0.58385	0.36302	0.55385	0.4035	0.13278	0.13753	0.42271	0.93499	0.17198	0.21937	0.65583	0.048906	0.10152	0.60185	0.14286	0.25	0.2715	0.13079	0.55811	0.41236	0.051686	0.41769	0.33632	0.392	0.84331
0.57929	0.423	0.36899	0.40621	0.59338	0.284	0.79268	0.65435	0.32963	0.16709	0.73411	0.19776	0.75661	0.45992	0.65236	0.152	0.19143	0.76535	0.14286	0.125	0.20364	0.27135	0.54002	0.46723	0.13177	0.47478	0.32158	0.58483	0.70922
0.46639	0.37442	0.15039	0.29748	0.51156	0.021787	0.8172	0.57485	0.070724	0.604	0.76116	0.29999	0.13134	0.79287	0.52144	0.0079699	0.14275	0.86605	0	0	0.13234	0.084709	0.16623	0.5361	0.53743	0.43681	0.58346	0.55924	0.78555
0.76762	0.42273	0.37957	0.27812	0.073825	0.84833	0.62427	0.54706	0.23948	0.44949	0.5305	1.8205	0.066455	0.56377	0.41345	0.011225	0.15207	0.75999	0	0	0.063498	0.025275	0.29262	0.56267	0.70154	0.52644	0.66313	0.58383	1.0052
1.1304	0.15275	0.4633	0.45305	0.78723	0.8543	0.024965	-0.16679	0.67655	0.68977	-0.099486	1.6641	0.051474	0.92208	-0.19006	0.38157	0.49147	-0.087062	0.28571	0.25	0.0041633	0.29196	0.22274	0.41481	0.76512	0.95904	-0.0093777	0.35084	0.79033
0.95556	1.4048	0.48738	0.73001	0.57723	0.60539	0.26599	0.10133	0.32226	0.25289	0.14425	2.3962	0.0085289	2.8949	0.098353	0.17904	0.42464	0.24058	0.28571	0.25	0.036289	0.14838	0.52081	0.73313	0.96875	0.72933	0.073045	0.69147	0.58391
0.22561	0.71364	0.40011	0.63048	0.42702	0.2376	0.58032	0.34008	0.21352	0.25836	0.4545	0.73611	0.43482	1.6018	0.26863	0.45405	0.40845	0.45261	0.28571	0.25	0.093002	0.19105	0.44988	0.46192	0.37744	0.80301	0.53718	0.52928	0.99253
0.396	1.1551	0.181	1.2579	0.33419	0.50842	0.11471	0.062514	1.4169	0.60873	0.086984	1.0332	0.48505	1.1281	-0.055567	0.8926	0.6575	0.18026	0.14286	0.125	0.0013768	0.413	0.375	0.66158	0.88005	0.99199	0.53805	0.6784	0.77056
0.54488	0.13522	0.2682	0.088961	0.21653	0.40743	0.84805	0.62676	0.13981	0.53574	0.73804	3.0016	0.25367	2.6649	0.53581	0.037625	0.33952	0.66301	0	0	0.33854	0.021718	0.31182	0.42843	0.41008	0.25103	0.78493	0.52162	0.14746
1.7251	1.1732	0.32259	0.80223	0.18994	1.6347	0.79365	0.49861	0.094001	1.254	0.58664	2.3621	0.029235	1.5191	0.32148	0.24964	0.86803	0.70107	0	0	0.062023	0.095884	0.11392	0.93113	0.81077	1.1686	0.90805	0.80333	0.61316
1.2019	0.24	0.10893	0.80687	0.32799	0.55427	0.11325	-0.020682	0.62951	0.15075	0.06681	0.27587	0.089568	0.48914	-0.1115	0.19648	0.63831	0.12545	0.14286	0.125	-0.0066547	0.40296	0.61857	0.67151	0.74725	1.1669	0.72085	0.70779	0.95376
0.51203	0.19704	0.085327	0.55589	0.11266	0.95678	0.53729	0.37903	0.56772	0.91963	0.47596	1.3938	0.093862	3.0032	0.30611	0.41588	0.99548	0.65339	0	0	0.077758	0.43864	0.33241	0.75414	0.97901	0.69846	0.37804	0.76095	1.0582
0.35461	0.47711	0.14472	0.3123	0.14969	0.17632	0.84065	0.6497	0.18218	0.20108	0.78431	0.80114	0.16393	0.65706	0.59414	0.14247	0.28184	0.87903	0	0	0.28068	0.11948	0.14517	0.49481	0.4005	0.53	0.61768	0.51073	0.84978
