Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
1.244	0.94163	0.34996	0.71554	0.84261	0.62135	-0.048	-0.36657	2.281	0.6152	-0.18828	0.67903	0.58477	-0.00027406	-0.59878	0.38025	0.58304	-0.32452	0.625	0.5	0.010589	0.44474	-0.03571	0.62074	0.75596	0.048134	0.44747	1.0706	0.3703
1.3058	1.5397	0.68345	0.7191	0.64948	0.33251	-0.18951	-0.511	1.2	0.51432	-0.33232	1.4083	0.6962	0.63321	-0.67809	0.52944	0.66313	-0.41233	0.75	0.625	0.1186	1.4799	0.00095986	0.030818	0.55442	0.0029551	0.12928	0.12187	0.29408
-0.014397	0.00071226	0.94252	0.049573	0.98649	0.0069827	-0.12052	-0.43102	0.31928	-0.012314	-0.27617	-0.0066212	0.63409	0.0096718	-0.57596	0.61452	-0.0082218	-0.35228	0.25	0.125	-0.0012354	0.22618	0.10045	0.0068815	0.030682	-0.053808	0.38896	0.19718	-0.40592
0.18083	0.26885	0.91891	0.15218	0.85469	0.052139	-0.030428	-0.29617	0.49846	0.082194	-0.15782	0.40222	0.5462	0.20627	-0.49472	0.28875	0.13719	-0.20834	0.5	0.375	-0.013413	0.33278	0.0046328	0.29483	0.4014	0.055085	0.30999	0.33588	0.81571
0.19209	0.14879	0.49109	0.10719	0.45301	0.15402	-0.16963	-0.42247	0.0024498	0.06864	-0.31244	0.31143	0.42216	0.26166	-0.59355	0.090178	0.062843	-0.36512	0.625	0.5	0.0022943	0.053684	0.026342	0.0266	-0.092934	0.24871	0.32389	0.0058776	0.91656
0.096029	1.508	0.39376	0.70809	0.38501	0.22939	-0.1466	-0.44999	0.67835	0.1051	-0.29539	0.49146	0.52948	0.81355	-0.67878	0.43377	0.46593	-0.37808	0.25	0.125	0.052944	0.50245	0.032498	-0.025167	0.70753	-0.023689	0.22783	0.019091	0.35194
0.31678	0.26401	0.11253	0.11213	0.86291	0.13512	-0.049495	-0.37433	3.4418	0.069114	-0.19729	0.46007	0.28794	0.72543	-0.59186	0.39877	0.077711	-0.31272	0.25	0.125	-0.0084711	0.61793	0.044346	0.21619	0.062529	0.39566	0.032118	0.5999	0.1208
0.17537	0.59056	0.52492	0.45465	0.70663	0.01365	-0.092166	-0.31445	0.32177	0.020127	-0.24891	1.8305	0.14427	2.0123	-0.55072	0.20421	0.27651	-0.32842	0.5	0.375	0.040414	0.24053	0.1048	0.29393	0.38993	0.24275	0.64468	0.38043	0.68566
0.01471	0.10008	0.083607	0.036649	0.3287	0.012342	-0.024097	-0.16883	2.1605	0.0020934	-0.15848	0.51886	0.4717	0.93223	-0.22763	1.5523	0.027506	-0.16225	0.25	0.25	-0.035296	0.68435	0.17743	0.1766	0.054789	0.30602	0.76845	0.48817	0.21348
-0.013814	-0.011828	0.6198	0.054584	0.55281	0.072127	-0.21552	-0.48849	1.1939	0.017973	-0.3632	-0.0036422	0.55464	0.00080096	-0.73458	0.75734	0.018894	-0.42347	0.5	0.375	0.097065	0.38716	-0.031774	-0.039848	0.31444	-0.04267	0.03625	0.064914	-0.30235
0.28716	0.41305	0.66841	0.33735	0.5334	0.4796	-0.11824	-0.39334	0.3703	0.34995	-0.26094	0.072789	0.53025	0.47917	-0.59377	0.88264	0.26908	-0.33992	0.375	0.5	0.021884	0.4507	0.060862	0.4356	0.54287	0.55726	0.37727	0.5366	0.70725
-0.0082843	-0.0090845	0.88034	-0.011099	0.79016	-0.0092065	-0.16048	-0.43297	0.177	-0.010367	-0.3075	-0.0033862	0.79516	0.0045229	-0.56075	0.046812	-0.01267	-0.3646	0.125	0	-0.0019413	0.10151	0.045557	0.2497	-0.097128	0.46484	0.3916	0.21402	0.51656
3.7662	0.85199	0.32916	0.081235	0.56786	2.1684	-0.046161	-0.30874	0.33714	1.6114	-0.20533	1.0796	0.10245	0.12395	-0.51775	0.20611	0.25704	-0.2605	0.125	0	-0.019766	0.28492	0.12112	0.42031	0.95991	0.067157	0.21898	0.75763	0.52018
0.50422	0.2852	0.33201	0.19329	0.29936	0.27927	-0.13762	-0.37404	3.1643	0.27252	-0.26098	0.62927	0.21817	0.47247	-0.53768	1.8982	0.018401	-0.29861	0.375	0.5	-0.00953	0.53412	0.033654	0.93118	0.57587	0.20655	0.88895	1.0934	0.12329
0.57454	0.41173	0.64956	0.045016	0.5406	0.29995	-0.033438	-0.38357	0.84639	0.25139	-0.18385	0.29304	0.50903	0.70792	-0.61497	0.19103	0.14695	-0.33277	0.375	0.25	0.030355	0.17551	0.094705	0.17743	0.35965	0.23163	0.24746	0.099294	0.091424
0.358	0.39321	0.57848	0.15357	0.50514	0.23098	-0.20362	-0.45434	1.8094	0.18539	-0.35261	1.774	0.53996	2.5099	-0.68188	1.1129	0.15273	-0.40361	0.75	0.875	0.096888	2.3514	-0.012048	0.0062874	0.34893	0.10349	0.098692	0.095409	0.20703
0.60253	0.31059	0.53802	0.084403	0.20445	0.60735	0.072805	-0.22803	0.6113	0.28302	-0.078151	0.88849	0.4688	0.59078	-0.38364	0.5451	0.096623	-0.081868	0.75	0.75	-0.024354	0.35328	0.03101	0.15412	0.24656	0.081893	0.25355	0.2337	0.63034
0.56084	0.64802	0.25911	0.30333	1.184	0.18701	0.043824	-0.22221	1.0793	0.1805	-0.11732	0.53096	1.2812	0.55203	-0.48567	0.41635	0.26976	-0.12552	0.5	0.5	-0.023649	0.23139	-0.0025638	1.4347	0.24259	2.1064	0.57377	1.0477	0.78015
0.29444	0.20816	0.017066	0.14013	0.39197	0.22606	-0.036508	-0.29255	0.04123	0.096727	-0.18256	0.55052	0.37117	0.95778	-0.4025	0.059866	0.067472	-0.19427	0.625	0.5	-0.0058239	0.13243	0.14035	0.18069	0.17333	0.048134	0.5725	0.23741	0.7154
0.12893	0.51127	0.90485	0.12466	0.45203	0.11841	-0.020805	-0.30079	1.824	0.081656	-0.14627	0.73676	0.15519	1.7623	-0.51164	0.18329	0.20694	-0.24683	0.5	0.5	-0.0031767	0.26486	0.015926	0.2399	0.30715	0.00066649	0.14286	0.090528	0.48347
