Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.148457	0.237134	0.993666	0.217706	0.395051	0.14377	0.165049	0.42109	0.0131172	0.237394	0.221439	0.117922	0.337228	0.148791	0.447584	0.217106	0.16271	0.277791	0.25	0.222222	0.146187	0.0947777	0.236722	0.161837	0.232393	0.150234	0.342796	0.16386	0.606963
0.11068	0.0103312	0.224559	0.00154571	0.751219	0.138688	0.760557	0.664169	0.211718	0.155414	0.690605	0.0779518	0.481103	0.053576	0.489471	0.115724	0.0736031	0.521321	0.5	0.444444	0.590881	0.184051	0.0477481	0.149217	0.0446452	0.144862	0.299937	0.121163	0.395307
0.116225	0.0260025	0.221808	0.0468945	0.113914	0.158933	0.639552	0.65464	0.210341	0.107916	0.590913	0.0488028	0.30797	0.0097475	0.603781	0.0750867	0.0612633	0.440233	0	0.111111	0.51287	0.195736	0.210118	0.0587872	0.201356	0.10488	0.594464	0.0301866	0.675755
0.0744225	0.0227091	0.311782	0.0285674	0.118587	0.0751303	0.528203	0.711605	0.529618	0.056886	0.600477	0.0106152	0.182385	0.00651342	0.713653	0.0733058	0.0959393	0.299568	0.25	0.333333	0.822335	0.420533	0.125844	0.172217	0.134894	0.190587	0.546778	0.198839	0.419333
0.143722	0.0456125	0.726191	0.075081	0.363481	0.156517	0.624596	0.724616	0.263591	0.0782336	0.641565	0.00839977	1.29904	-0.00600056	0.809099	0.984849	0.232938	0.482016	0.375	0.333333	0.364892	0.241265	0.519428	0.246719	0.120997	0.148862	0.0633412	0.337307	0.201368
0.228953	0.0406578	0.428552	0.068057	0.93337	0.224473	0.704991	0.624499	0.112061	0.0584613	0.663887	0.00912493	0.48288	0.00804497	0.677138	0.246478	0.16794	0.529884	0.625	0.555556	0.455652	0.0966297	0.339346	0.182797	0.195058	0.223463	0.69307	0.236872	0.617596
0.0765626	0.00489283	0.0323052	0.0425152	0.121621	0.0628185	0.741263	0.714144	0.192942	0.0293761	0.795857	0.00602711	0.15183	-0.00441675	0.807115	0.218217	0.0362259	0.202719	0.125	0.222222	0.994445	0.189028	0.13989	0.140804	0.107073	0.139468	0.959903	0.134346	0.350804
0.0217849	0.0445441	0.587707	0.0447046	0.267	-0.00385709	0.921459	0.712844	0.386201	0.0580172	0.772111	0.0139876	0.311614	0.0343715	0.526746	0.59602	0.0582169	0.0416173	0.625	0.555556	0.799114	0.428749	0.383563	0.112618	0.0884199	0.140842	0.861976	0.076519	0.320008
0.326787	0.702846	0.556541	0.647682	0.0998994	0.105706	0.226312	0.395236	0.0508482	1.25913	0.349719	0.192368	0.315707	0.12521	0.37255	0.15576	1.42946	0.542532	0.625	0.555556	0.217521	0.0403531	0.543348	0.587148	1.33043	0.456662	0.328974	0.820457	0.937715
0.0764515	0.146525	0.416576	0.150223	0.774949	0.0927142	0.583493	0.512662	0.456607	0.0874281	0.615247	0.0947583	0.390661	0.0258497	0.447987	0.0967867	0.0343251	0.270681	0.25	0.222222	0.416495	0.391484	0.262951	0.293544	0.15868	0.386834	0.713933	0.323523	0.285186
0.0283029	0.403635	0.578164	0.456027	0.202779	0.121581	0.392624	0.231602	0.510172	1.08828	0.298188	0.201262	0.304673	0.113939	0.120307	0.158218	1.28632	0.248036	0.125	0.222222	0.136929	0.250097	0.204751	0.606442	1.38095	0.240883	0.730851	0.733666	0.934465
0.0262158	-0.00338472	0.479844	0.00974423	0.797943	0.0360576	0.339257	0.374168	0.0421609	0.0824029	0.502035	0.0132631	0.120704	0.000416727	0.772472	0.224465	0.065477	0.222123	0.375	0.333333	0.60955	0.0677657	0.165594	0.0441838	0.272931	0.0524007	0.158708	0.0672575	0.502375
0.116589	0.028513	0.151182	0.0200149	0.255832	0.110258	0.757902	0.770835	0.499036	0.059203	0.627827	0.000485215	0.343249	0.0068001	0.746426	0.106781	0.044543	0.173975	0.625	0.555556	1.03679	0.770365	0.713889	0.137897	0.0794784	0.121361	0.546211	0.109517	0.616271
0.0465011	0.0345649	0.633658	0.0531028	0.233008	0.0598624	0.313578	0.403251	0.237925	0.0759698	0.18611	0.0920873	0.581826	0.0463107	0.547477	0.248668	0.0733086	0.232735	0.625	0.666667	0.364285	0.187775	0.518281	0.143073	0.180176	0.148444	0.0649047	0.150942	0.760478
0.0244019	0.116253	0.0255406	0.114721	0.748411	-0.00686754	0.50672	0.335992	0.0968238	0.159662	0.40387	0.083849	0.584112	0.0395899	0.459957	0.0949267	0.153201	0.453277	0.625	0.555556	0.212664	0.0506313	0.255617	0.22881	0.164437	0.307351	-0.0108652	0.237937	0.738051
0.00480999	0.28768	0.691117	0.288491	0.895733	0.0361482	0.807196	0.76918	0.124184	0.121005	0.82325	0.0474716	0.175103	0.0241687	0.894857	0.0585472	0.0295262	0.546795	0.125	0.111111	0.519093	0.157077	0.339191	0.295353	0.133516	0.352231	0.341638	0.261705	0.624138
0.0983667	0.106101	0.493121	0.173567	0.212719	0.14452	0.75117	0.561362	0.216535	0.145881	0.702579	0.0307298	0.224199	0.0635714	0.637215	0.117849	0.183927	0.64226	0.875	0.888889	0.567053	0.236272	0.55183	0.183522	0.169623	0.222954	0.272286	0.203895	0.392704
0.135044	0.154732	0.742641	0.134024	0.524997	0.0870042	0.424332	0.181533	0.0784509	0.251016	0.208572	0.0800323	0.649065	0.0672157	0.599693	0.0585088	0.187725	0.389727	0.75	0.888889	0.194755	0.12119	0.915724	0.278707	0.226706	0.0687449	0.153681	0.259381	0.821135
0.213405	0.152779	0.421777	0.119299	0.191889	0.21098	0.717234	0.626379	1.02147	0.160591	0.747557	0.00864806	0.410089	0.00711124	0.798594	0.37528	0.150453	0.421992	0.75	0.666667	1.0673	1.16587	0.157825	0.0291556	0.206089	0.0535826	0.501605	0.0182462	0.511677
0.14413	0.099769	0.293888	0.0998476	0.279172	0.142533	0.938898	0.761083	0.136134	0.117107	0.906434	0.00266486	0.0194461	0.025466	0.770451	0.0665478	0.0548071	0.376783	0.625	0.555556	1.01691	0.0960893	0.201309	0.146753	0.0865408	0.171446	0.371941	0.142086	0.269272
0.296272	-0.00236869	0.470573	0.0307219	0.281663	0.3324	0.486777	0.59577	0.0483797	0.193995	0.448722	0.0131767	0.194298	-0.00261943	0.753675	0.156276	0.119699	0.0977652	0.5	0.555556	0.967126	0.104745	0.595807	0.161414	0.138186	0.125905	0.0516597	0.161333	0.33252
0.13993	0.204893	0.669974	0.207998	0.28433	0.18097	0.686141	0.854094	0.149775	0.196984	0.628045	0.0394244	0.821111	0.0210433	0.873565	0.101376	0.0859512	0.286247	0.375	0.333333	1.47921	0.0984969	0.658069	0.0470565	0.208112	0.0416584	0.349019	0.0433234	0.242084
0.0261913	0.127476	0.950415	0.123181	0.233507	0.0369958	0.766456	0.892292	0.172937	0.160571	0.92245	-0.00224544	1.0722	0.0304349	0.692075	0.152324	0.115287	0.782891	0.625	0.555556	0.0813805	0.125871	0.387518	0.183156	0.116254	0.154089	0.0603883	0.15956	0.759095
0.248113	0.195264	0.140587	0.302478	0.356235	0.284068	0.723435	0.648079	0.067721	0.100649	0.851442	0.0378114	0.194641	0.0506575	0.757446	0.135639	0.323623	0.815825	0.375	0.333333	0.122511	0.105515	0.103402	0.151837	0.230261	0.119536	0.781868	0.116954	0.969602
0.00796744	0.154963	0.725338	0.124276	0.604047	0.0180523	0.419241	0.398179	0.113534	0.165466	0.409869	0.003696	0.735089	0.0438346	0.549924	0.0425029	0.120325	0.390233	0.5	0.444444	0.152258	0.105509	0.505542	0.574802	0.128409	0.394457	0.23451	0.510826	0.39833
0.20126	0.0612827	0.247416	0.0643157	0.254709	0.224825	0.0884321	0.309512	0.0753736	0.286933	0.23823	0.00477263	0.441859	0.0369498	0.311261	0.124614	0.230996	0.12835	0.875	0.888889	0.392515	0.00400934	0.768317	0.0176631	0.241805	-0.0238933	0.359493	0.0444491	0.340212
0.151903	0.143437	0.522631	0.161923	0.654756	0.161872	0.520679	0.558882	0.418682	0.0795576	0.699471	0.0259	0.439262	0.0558144	0.649698	0.112888	0.198313	0.418451	0.75	0.666667	0.503309	0.374839	0.454683	0.15639	0.203685	0.148056	-0.0131972	0.0938656	0.519124
