Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.156204	0.203528	0.390768	0.125971	0.378276	0.151871	0.407183	0.684781	0.0180768	0.0698854	0.518587	0.0197955	0.215883	0.0123191	0.747484	0.164605	0.0416187	0.490635	0.125	0.125	0.821959	0.0470871	0.461376	0.0882392	0.0833248	0.105936	0.272101	0.0859273	0.693627
0.0702707	0.0748777	0.318414	0.0915551	0.612861	0.0662908	0.61745	0.872007	0.397234	0.0669609	0.674388	-0.00544974	0.716764	0.00902868	0.773327	0.260318	0.0805278	0.661729	0.125	0.125	0.824548	0.39919	0.356629	0.16563	0.0474704	0.151624	0.518077	0.135119	0.383357
0.0884054	0.0560083	0.914075	0.0221718	0.496915	0.105108	0.423886	0.732194	0.112777	0.0734143	0.707043	0.00287826	0.448809	0.0345871	0.832846	0.183945	0.0469479	0.40906	0.125	0.25	0.369303	0.165671	0.301621	0.147799	0.115651	0.175293	0.0976761	0.125753	0.600576
0.111182	0.110575	0.401584	0.122174	0.651308	0.115854	0.527898	0.405688	0.184018	0.13747	0.463666	0.0252017	0.415686	0.0211973	0.625876	0.114112	0.12062	0.114977	0.125	0.375	0.777026	0.18341	0.665119	0.268253	0.048265	0.196134	0.476935	0.260435	0.354546
0.0168286	0.0391585	0.776159	0.0521689	0.0885354	0.0332755	0.470384	0.508492	0.343168	0.0119021	0.561532	0.0381851	0.188162	0.0520793	0.709015	0.460072	0.0862217	0.227231	0.25	0.5	0.6389	0.419212	0.224865	0.124191	0.107277	0.102965	0.252893	0.0968554	0.487538
0.191768	0.0452476	0.772748	0.0308549	1.5602	0.176238	0.48257	0.419783	0.0400333	0.200125	0.432416	-0.000527547	0.97018	-0.00567771	0.719442	0.273593	0.0706796	0.39837	0	0.125	0.123375	0.0921741	0.705766	0.613103	0.135252	0.529987	-0.0157722	0.417691	0.740106
0.143741	0.0669918	0.15497	0.0762567	0.276989	0.137059	0.709625	0.766995	0.0988654	0.018298	0.863532	0.00120726	0.227966	0.0178873	0.870735	0.105348	0.0569277	0.411363	0	0.125	0.890005	0.121673	0.388445	0.266418	0.069319	0.233168	0.502624	0.227963	0.316747
0.053706	0.0573012	0.965645	0.0298997	0.554633	0.0378354	0.474689	0.56642	0.0354304	0.0299873	0.619731	0.0800301	0.596186	0.0367258	0.516299	0.0930663	0.0963901	0.285488	0	0	0.280362	0.0506295	0.800808	0.176322	0.0816124	0.17047	0.31804	0.164211	0.89777
0.0813805	0.0515431	0.724487	0.0845865	0.421428	0.131027	0.508372	0.838732	0.404455	0.0168134	0.49695	0.0875767	0.530988	0.0699145	0.965978	0.120581	0.066755	0.828386	0.5	0.5	0.789415	0.354062	0.740312	0.193743	0.00845111	0.186083	0.108861	0.178078	0.481335
0.0304019	0.0123736	0.524699	0.0167467	0.551526	0.0510359	0.393831	0.547724	0.129587	0.0529478	0.22097	0.054688	0.527943	0.0252538	0.785994	0.0605395	0.00553269	0.421394	0.625	0.625	1.0004	0.0882228	0.747655	0.093786	0.123374	0.125955	0.425741	0.0880894	-0.0655756
