Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.20587	0.20181	0.3275	0.14599	0.025214	0.12302	0.59287	0.45248	0.088382	0.14496	0.49829	0.077912	0.3922	0.16043	0.40823	0.0053987	0.090471	0.34647	0	0	0.30353	0.062989	0.41935	0.1634	0.21396	0.2008	0.50924	0.23161	0.76737
0.16717	0.23164	0.32541	0.25922	0.018937	0.11608	0.10825	0.11813	0.19962	0.18257	0.19096	0.24013	0.46959	0.28552	0.096932	0.15441	0.19509	0.11627	0.125	0.125	0.283	0.16287	0.32808	0.16474	0.32247	0.15878	0.94716	0.25105	0.80205
0.014426	-0.0040185	1.1043	-0.0043621	0.48038	0.029768	0.3396	0.374	0.46073	0.0015724	0.16617	-0.0024943	0.88374	-0.0030996	0.037259	0.13375	-0.0038643	0.38794	0.125	0.125	-0.027283	0.033522	0.24283	0.44547	-0.026098	0.36468	0.09241	0.36543	0.6995
0.10657	0.091833	0.032829	0.091152	0.20278	0.093914	0.29825	0.58663	0.069671	0.088359	0.4152	0.14457	0.26874	0.11908	0.72705	0.11208	0.13404	0.67477	0	0	0.49582	0.068259	0.49227	0.28011	0.13752	0.27244	0.8713	0.24	0.5987
1.334	0.32446	0.18811	0.54745	0.52694	1.0165	0.33417	0.14772	0.11507	0.40777	0.20401	0.74893	0.13552	0.21703	0.060525	0.32572	0.49261	0.099996	0.125	0.125	0.15892	0.065624	0.42667	0.40937	0.54632	0.64673	0.61307	0.40211	1.0048
0.01725	-0.00037987	0.74832	-0.0016292	0.96849	0.032144	0.059342	0.25545	1.1092	0.0042234	-0.089667	0.0028516	0.27768	-0.005786	-0.067513	0.12595	0.00038251	0.035086	0.25	0.25	-0.021888	0.48644	0.30363	0.55992	-0.028434	0.73917	0.55433	0.51944	0.7571
0.0090034	-0.00039495	1.61	-0.0005725	0.42554	0.024744	0.28647	0.35274	0.031551	-0.0024016	0.12662	-0.00054422	1.1722	-0.0011653	0.031114	0.07467	-0.0010968	0.32406	0.25	0.25	-0.026935	0.0077999	0.30643	0.46106	-0.027265	1.2932	0.15443	0.53003	0.67224
0.0076578	-0.00084968	0.36254	-0.0011701	0.91366	0.030389	0.082997	0.28152	0.21925	0.0022969	-0.055474	-0.0062202	0.35124	-0.0047786	-0.062261	0.17791	0.0006343	0.13711	0.25	0.25	-0.023803	-0.0067061	0.29158	0.71214	-0.028115	0.57775	0.51091	0.89892	0.72927
0.039628	0.26713	0.32492	0.2269	0.63279	0.13037	0.3325	0.83106	0.28683	0.17283	0.58741	0.14826	0.19023	0.17074	0.95484	0.047579	0.14674	0.98212	0.125	0.125	0.19268	0.32982	0.71904	0.37393	0.16405	0.40071	0.45974	0.20432	0.50717
0.019462	-0.0060727	0.79565	-0.0059318	1.185	0.033407	0.084679	0.3085	0.43748	0.0052994	-0.059261	-0.0011256	0.069163	-0.0047946	-0.047783	0.16022	-0.0042879	0.053326	0.25	0.25	-0.022062	0.50109	0.33281	0.27163	-0.02775	0.14848	0.61886	0.2752	0.75877
0.10881	0.39581	0.66033	0.34573	0.16197	0.1738	0.25288	0.56482	0.13663	0.20418	0.49201	0.078161	0.51186	0.06701	0.65461	0.16249	0.16905	0.60192	0.125	0.125	0.24837	0.19104	0.61454	0.41409	0.1874	0.41138	0.083277	0.35317	0.26763
0.25179	1.0344	0.18323	1.0861	0.30651	0.41256	0.29419	0.37731	0.19223	0.50681	0.34053	0.22465	0.49697	0.92973	0.33423	0.61001	0.75258	0.54982	0.125	0.125	0.057987	0.13804	0.56238	0.68306	0.56099	1.0934	0.69643	0.61116	1.01
0.01171	-0.0019811	0.70782	-0.0036564	0.88706	0.027231	0.063517	0.29956	0.22415	-0.0010581	-0.074413	-0.0025432	0.3491	-0.0044285	-0.0159	0.22336	-0.0017267	0.076707	0.25	0.25	-0.021714	0.0089781	0.30886	0.84548	-0.026254	0.88452	0.54522	0.75086	0.82242
0.52722	0.25706	0.60394	0.36704	0.4771	0.63402	0.30112	0.1192	0.31775	0.52164	0.33115	0.52895	0.23055	0.4289	0.1673	0.10311	0.55535	0.19887	0.25	0.25	0.091573	0.21982	0.26671	0.57086	0.52754	0.96014	0.7375	0.61282	1.037
0.15147	0.15497	0.077008	0.13128	0.10354	0.0672	0.31324	0.25033	0.093866	0.081568	0.24978	0.55774	0.082262	0.29625	0.45368	0.05185	0.13432	0.47814	0.25	0.25	0.24454	0.050661	0.34371	0.31451	0.10308	0.54247	0.35157	0.24122	0.71035
0.0046964	-0.0058683	0.86357	-0.0062299	0.96068	0.026231	0.067092	0.27935	0.31488	-0.0010954	-0.074413	-0.0056136	0.42246	-0.0061537	-0.020884	0.54541	-0.0036254	0.080161	0.25	0.25	-0.02154	0.088415	0.3133	0.48734	-0.02624	0.3425	0.5078	0.47837	0.61729
0.082534	0.18782	0.20822	0.21727	0.39232	0.11651	0.55806	0.37491	0.10209	0.031663	0.4642	0.2451	0.43936	0.067765	0.64307	0.081104	0.12931	0.55275	0.125	0.25	0.30527	0.080353	0.68838	0.26074	0.16214	0.14006	0.63089	0.28078	0.60539
0.20216	0.61705	0.2593	0.59413	0.031176	0.62671	0.37119	0.1676	0.061724	0.52828	0.33163	0.14487	0.019379	0.32551	0.3299	0.15916	0.3827	0.38412	0.25	0.25	0.12464	0.093215	0.12804	0.4097	0.53562	0.50066	0.88456	0.48593	0.91819
0.63272	0.64832	0.076079	0.65686	0.13417	0.67483	0.065222	-0.010596	0.19821	0.58369	0.058271	0.2069	0.19583	0.27689	0.015115	0.23649	0.58196	0.020717	0.125	0.25	0.18537	0.11488	0.0033636	0.44134	0.45169	0.42211	0.60629	0.42106	0.3338
0.016153	0.00091982	0.57657	-0.00095091	1.0636	0.027531	0.13778	0.26057	0.20427	0.0050819	-0.01553	0.002252	0.22048	-0.0041264	-0.036264	0.078491	0.0012411	0.15037	0.25	0.25	-0.024499	0.040448	0.38366	0.44809	-0.028566	0.21251	0.52391	0.36803	0.72334
0.017496	-0.0055122	0.82705	-0.0067993	0.97529	0.030829	0.038484	0.24994	0.028658	0.0038263	-0.097296	-0.00021132	0.34059	-0.0052971	-0.071276	-0.009352	-0.0040952	0.063766	0.25	0.25	-0.02241	0.10294	0.26629	0.3537	-0.030091	1.335	0.50433	0.28231	0.81586
0.01121	-0.0040362	1.3592	-0.004981	1.1036	0.023669	-0.023738	0.24242	0.24763	0.0008119	-0.14643	9.539e-05	1.136	-0.0033468	-0.071276	0.28192	-0.002349	-0.029681	0.25	0.25	-0.019452	0.22677	0.19008	0.73669	-0.028481	0.75383	0.62762	0.78533	0.70048
0.1423	0.45953	0.53565	0.46323	0.0529	0.073082	0.39422	0.16337	0.053362	0.099665	0.36215	0.1522	0.47677	0.19082	0.25485	0.21008	0.25499	0.27867	0.125	0.125	0.20451	0.097322	0.63319	0.26782	0.31882	0.19313	0.56597	0.21874	0.45316
0.25472	0.1799	0.13223	0.20208	0.28599	0.31499	0.22239	0.006436	0.51216	0.22327	0.12071	0.087404	0.30656	0.29623	0.36522	0.31634	0.17256	0.20315	0	0	0.21635	0.53647	0.43256	0.35482	0.36309	0.25633	0.66238	0.39657	0.89607
0.047	0.33141	0.40235	0.43972	0.093908	0.058514	0.62938	0.3781	0.3638	0.16466	0.51088	0.6271	0.15062	0.35557	0.53749	0.07193	0.30609	0.66151	0.25	0.25	0.17684	0.23225	0.84232	0.52117	0.35795	0.40051	0.70873	0.4504	0.64662
0.01259	-0.0027007	0.22841	-0.0042122	1.0058	0.023666	0.1308	0.37322	0.054025	0.0014686	-0.014776	-0.00081634	0.69855	-0.0056454	0.0025566	0.065562	-0.0017661	0.21062	0.25	0.25	-0.025891	0.13855	0.33636	0.37228	-0.029253	0.57048	0.51278	0.37528	0.79488
0.12941	0.14335	0.21306	0.12709	0.022827	0.16157	0.45883	0.62878	0.032327	0.020552	0.3128	0.10076	0.32717	0.046516	0.582	0.065463	0.071541	0.39708	0.25	0.25	0.44101	0.029074	0.68689	0.22908	0.13857	0.2669	0.89441	0.16766	0.40052
0.75555	0.61714	0.22265	0.55578	0.22241	0.73747	0.28632	0.18998	0.58014	0.42236	0.19888	0.4347	0.3347	0.41911	0.070284	0.24212	0.39177	-0.0051208	0.25	0.25	0.1577	0.32595	0.36386	0.28249	0.44116	0.30326	0.76609	0.30362	0.57979
0.014577	-0.0033841	1.103	-0.0047429	0.98451	0.027311	-0.0034669	0.28054	0.060369	0.002314	-0.12603	-6.1331e-05	0.80261	-0.0058801	-0.018893	0.036955	-0.002945	0.0060451	0.25	0.25	-0.020148	0.08839	0.22101	0.52353	-0.030244	0.4087	0.50799	0.43898	0.68715
0.11253	0.20288	0.10088	0.28448	0.37118	0.082357	0.22333	0.41101	0.11709	0.019081	0.21436	0.48858	0.13385	0.2265	0.4631	0.10838	0.19545	0.48613	0.25	0.25	0.23009	0.10672	0.52426	0.33652	0.16983	0.32463	0.78727	0.27782	0.91385
0.039822	0.027053	0.18734	0.021174	0.092497	0.027767	0.57158	0.36549	0.077328	0.091985	0.52225	0.06954	0.23007	0.14063	0.42439	-0.0032559	0.031881	0.4651	0.5	0.5	0.354	0.05646	0.60777	0.078839	0.10305	0.11612	0.48115	0.073073	0.47686
0.017041	-0.0046475	1.1831	-0.0059149	0.081846	0.029346	0.3395	0.37578	0.19077	0.0051683	0.18079	-0.001871	1.4744	-0.0065436	0.088334	0.026681	-0.0032696	0.37997	0.25	0.25	-0.026761	0.34088	0.43042	0.64149	-0.02976	0.055347	0.0040802	0.67415	0.65891
0.37643	0.12516	0.069643	0.11539	0.23797	0.28867	0.4446	0.48522	0.019911	0.0075201	0.5026	0.061282	0.071366	0.013706	0.67195	0.02384	0.11736	0.59668	0.25	0.25	0.62634	0.023404	0.24466	0.30842	0.16418	0.26601	0.39958	0.27717	0.47054
0.24543	0.30563	0.45545	0.19391	0.25373	0.19916	0.49877	0.28994	0.057956	0.074939	0.33974	0.19652	0.47127	0.18148	0.51006	0.15391	0.052232	0.50239	0.125	0.25	0.18728	0.036421	0.6403	0.27474	0.18466	0.31067	0.89586	0.30665	0.6311
0.013203	-0.0035693	0.72954	-0.0033525	0.41477	0.028588	0.43206	0.47325	0.53491	-0.0006272	0.27329	-0.0011713	0.85176	-0.0057106	0.1817	0.77855	-0.003635	0.42511	0.25	0.25	-0.026587	0.21139	0.4097	0.64149	-0.026731	0.73055	0.10467	0.5813	0.39998
0.48778	0.25751	0.17379	0.50249	0.46577	0.3273	0.27106	0.2649	0.14715	0.28878	0.24412	0.58795	0.34563	0.84778	0.24351	0.46484	0.32739	0.28079	0.25	0.25	0.11454	0.54376	0.4236	0.4006	0.36819	0.087634	0.5587	0.4626	0.74574
0.0094588	-0.0047663	1.0349	-0.0055738	0.7961	0.022136	-0.069197	0.30558	0.23496	-0.0010834	-0.19269	-0.0022499	0.9618	-0.0024467	-0.031315	0.097356	-0.0044471	-0.10878	0.25	0.25	-0.016146	0.043536	0.13852	0.41497	-0.029425	0.70772	0.41201	0.40193	0.94559
0.4455	0.012184	0.072936	0.39823	0.36421	0.3775	0.5591	0.51888	0.16675	0.31836	0.55845	0.3044	1.1067	0.21792	0.33191	0.49582	0.34498	0.45991	0.375	0.375	0.10445	0.1076	0.35714	0.62437	0.2889	0.46882	0.32527	0.50003	0.81023
0.17831	0.086252	0.94295	0.091687	0.21427	0.077672	0.34293	0.17865	0.32151	0.053513	0.31368	0.15171	0.44759	0.27421	0.13034	0.26644	0.10689	0.17273	0.625	0.75	0.28369	0.19783	0.149	0.095763	0.20927	0.22711	-0.00094109	0.097958	0.76277
0.046789	0.52387	0.38726	0.72869	0.66967	0.0092966	0.066531	0.35003	0.23977	0.12458	0.16469	0.059367	0.053397	0.19019	0.32204	0.43124	0.38268	0.1967	0.375	0.5	0.28735	0.30394	0.69619	0.30129	0.24599	0.14487	0.22063	0.32866	0.3145
0.065977	0.33029	0.68643	0.34041	0.66449	0.030193	0.21014	0.36398	0.29909	0.038088	0.27455	1.2876	0.242	1.2175	0.54935	0.10087	0.22788	0.57473	0.25	0.25	0.52071	0.3091	0.66737	0.45587	0.21013	0.43744	0.76007	0.43736	0.78981
0.45151	0.044555	0.56351	0.095718	0.10899	0.38403	0.2587	0.22877	0.13574	0.19439	0.2457	0.26305	0.61857	0.074634	0.23965	0.024801	0.098484	0.1879	0.25	0.25	0.23845	0.11292	0.3668	0.30237	0.21813	0.33378	0.48698	0.34982	0.59629
0.10495	0.11297	0.15122	0.083901	0.1548	0.099214	0.37233	0.3526	0.18745	0.10056	0.31996	0.12561	0.25099	0.028298	0.34465	0.11998	0.11248	0.40257	0.5	0.5	0.22244	0.14208	0.38817	0.12841	0.11288	0.17498	0.87514	0.13045	0.37281
0.01767	-0.0025289	0.37876	-0.0041085	1.0654	0.028458	0.16141	0.42065	0.23304	0.0064232	0.017121	-0.00045641	0.57474	-0.0062187	0.072956	0.14543	-0.00087319	0.2107	0.25	0.25	-0.025021	0.15375	0.4014	0.27985	-0.025865	0.31582	0.60736	0.2441	0.68981
0.12234	0.34964	0.39377	0.29064	0.64036	0.24204	0.056296	-0.11319	0.20462	0.14019	-0.0055679	1.1352	0.21393	0.45243	-0.241	0.090482	0.25845	0.042057	0.375	0.375	0.057987	0.031879	0.12342	0.27956	0.43967	0.20022	-0.0079961	0.24372	0.79434
0.10251	0.22495	0.13985	0.14538	0.49135	0.039906	0.34455	0.18138	0.10672	0.023323	0.35022	0.37068	0.33294	0.18026	0.20454	0.050311	0.025541	0.27362	0.625	0.625	0.10271	0.043776	0.18441	0.50851	0.10982	0.66038	0.58353	0.54321	0.74872
0.013346	-0.0063266	0.93334	-0.0048791	0.84377	0.026577	-0.014868	0.30358	0.1832	0.00089352	-0.14025	0.0011553	0.69858	-0.0069573	0.013518	0.47167	-0.0055485	0.029074	0.25	0.25	-0.02154	0.12513	0.20965	0.38885	-0.029474	0.50478	0.45382	0.40208	0.92859
0.081952	0.19927	0.093413	0.23024	0.3935	0.020313	0.46635	0.3051	0.084451	0.075547	0.37805	0.13857	0.40475	0.18069	0.38086	0.13093	0.19497	0.32393	0.5	0.625	0.37001	0.091089	0.79021	0.15293	0.1482	0.15597	0.61924	0.13217	0.50107
0.039488	0.30238	0.19517	0.25582	0.49822	0.049684	0.43959	0.40679	0.21077	0.16832	0.48215	0.12618	0.24002	0.24562	0.41177	0.16476	0.23808	0.38769	0.875	0.875	0.1577	0.17605	0.554	0.36717	0.19727	0.33204	0.21211	0.26844	0.86019
0.26543	0.12804	0.12771	0.095673	0.17235	0.20767	0.36783	0.48807	0.14967	0.080543	0.50131	0.36056	0.19947	0.16312	0.62133	0.062813	0.045	0.76659	0.5	0.5	0.21443	0.17136	0.47885	0.19436	0.098095	0.14744	0.91106	0.14399	0.8181
0.10104	0.30558	0.37731	0.39866	0.17625	0.12139	0.30965	0.11366	0.088485	0.018127	0.24742	0.18284	0.43742	0.49473	0.099348	0.20054	0.16561	0.10592	0.625	0.75	0.15422	0.049006	0.52133	0.54907	0.17508	0.60488	0.55799	0.5839	0.88732
0.46133	0.015403	0.32812	0.058974	0.69514	0.4744	0.66864	0.69069	0.43137	0.2559	0.64516	0.47658	0.043452	0.14784	1.0103	0.10739	0.054156	0.91364	0.75	0.75	1.0088	0.42188	0.60286	-0.030522	0.20324	0.0077052	0.033538	-0.029095	0.31741
