Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.054616	0.10834	0.4553	0.12948	0.09199	0.04731	0.51264	0.41819	0.024733	0.082378	0.44481	0.079806	0.21558	0.1648	0.4453	0.15887	0.10413	0.49974	0	0	0.26559	0.029911	0.63617	0.30744	0.1856	0.22565	0.76646	0.37087	0.7394
1.1105	0.12802	0.37364	0.15344	0.1451	1.0933	0.010701	0.0073992	0.16864	0.74687	-0.11226	0.26222	0.14097	0.065158	0.24235	0.051211	0.21509	0.015004	0	0	0.096473	0.030469	0.22202	0.48935	0.79579	0.3541	0.68572	0.65742	0.57854
1.2676	0.3208	0.18997	0.15262	0.59856	1.3902	0.13621	0.42552	0.66155	0.98505	0.0010116	0.46566	0.094892	0.11756	0.35919	0.27154	0.18138	0.27157	0	0	0.093742	0.49483	0.36209	0.44725	0.71922	0.49097	0.49385	0.45554	0.77683
0.11172	0.37494	-0.0078508	0.43235	0.48367	0.095913	0.24657	0.60101	0.2235	0.083608	0.32983	0.094845	0.18463	0.075468	0.62064	0.11866	0.21172	0.62346	0	0	0.34938	0.13999	0.61517	0.58334	0.14876	0.49106	0.67578	0.62633	0.63143
0.32732	0.27223	0.45311	0.22045	0.10057	0.38554	0.29646	0.078511	0.31731	0.36982	0.17449	0.35829	0.4861	0.23543	0.1348	0.079905	0.23945	0.083624	0.14286	0.125	0.18317	0.20377	0.34518	0.27523	0.33556	0.17438	0.69022	0.30918	0.57085
0.20875	0.087364	0.067217	0.045193	0.13644	0.34176	0.49755	0.22271	0.055096	0.29304	0.34903	0.21981	0.17708	0.34593	0.4567	0.080979	0.10089	0.45492	0.14286	0.125	0.23948	0.041385	0.62061	0.23593	0.35528	0.34138	0.76834	0.25977	0.80491
0.10559	0.12591	0.24916	0.081366	0.38911	0.065761	0.49144	0.44661	0.081781	0.12265	0.35476	0.21941	0.50251	0.4011	0.39388	0.046623	0.089017	0.33926	0.28571	0.25	0.3016	0.082853	0.71962	0.15294	0.19109	0.14538	0.44683	0.12575	0.83551
0.029956	0.053649	0.24065	0.073057	-0.017766	0.04911	0.6571	0.41143	0.058306	0.025229	0.4274	0.41264	-0.023354	0.11732	0.42272	0.087196	0.063256	0.52843	0.14286	0.25	0.19221	0.072904	0.7765	0.35385	0.045562	0.40031	0.68656	0.48016	0.4867
0.047268	0.2853	0.23025	0.37216	0.11616	0.021593	0.19981	0.60487	0.1361	0.094586	0.35175	0.12459	0.1909	0.30943	0.6179	0.047477	0.23175	0.73785	0.14286	0.25	0.26013	0.12053	0.69495	0.59958	0.16478	0.37334	0.9198	0.69802	0.56856
0.12396	1.0827	0.45739	1.2021	0.75158	0.086499	-0.0739	0.3446	0.84925	0.070957	0.022777	0.18272	0.14369	0.30842	0.30713	0.91986	0.55321	0.13943	0	0	0.19614	0.58253	0.55638	0.48258	0.5607	0.45551	0.070834	0.55217	0.609
0.15068	0.17273	0.060447	0.16376	0.30458	0.11028	0.51958	0.30941	0.088853	0.060503	0.37649	0.65455	0.025029	0.13226	0.53568	0.089567	0.088071	0.56308	0.42857	0.375	0.27481	0.080664	0.91628	0.31894	0.13051	0.51118	0.87536	0.44479	0.73227
0.049288	0.37115	0.013652	0.30824	0.34194	0.029162	0.34959	0.14712	0.22089	0.14113	0.27518	0.27673	0.48462	0.12912	0.28227	0.064287	0.12234	0.31404	0.42857	0.375	0.35553	0.16369	0.51795	0.35459	0.16165	0.34413	0.48229	0.41478	0.70392
