Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.112996	0.124523	0.0196169	0.165109	0.223136	0.201602	0.212556	0.648858	0.0662701	0.220446	0.338426	0.122007	0.13488	0.0816846	0.530254	0.0425539	0.0402299	0.102226	0.375	0.375	0.538032	0.113491	0.455973	0.158831	0.111198	0.184361	0.785652	0.148027	0.559068
0.0583418	0.194209	0.227141	0.19515	0.119483	0.0842315	0.0755913	0.942581	0.300598	0.0450443	0.330545	0.0187027	0.165249	0.159401	0.986887	0.324531	0.20708	0.564668	0.5	0.5	1.09217	0.272963	0.529813	0.215584	0.0624357	0.209765	0.828854	0.208661	0.417382
0.246907	0.0484054	0.0912038	0.067538	0.514134	0.32114	0.844479	0.859798	0.121644	0.185323	0.905263	0.0657628	0.133949	0.0890434	0.7662	0.328785	-0.0069084	0.508408	0.25	0.25	0.988873	0.204423	0.208146	0.08804	0.21367	0.124453	0.582599	0.122635	0.450641
0.20218	0.00882011	0.120857	0.0258726	0.299853	0.205279	0.669298	0.799622	0.0632034	0.117116	0.615237	0.0697845	0.250837	0.0838635	0.739631	0.102178	0.10695	0.52394	0.125	0.125	0.545269	0.0426133	0.620489	0.215261	0.0630582	0.23043	0.941637	0.269238	0.560316
0.334574	0.353098	0.162564	0.362112	0.112912	0.357831	0.787768	0.79387	0.0777381	0.259359	0.938017	0.0208928	0.0190368	0.101108	0.788286	0.0323361	0.508887	0.333689	0.125	0.125	0.930482	0.0891953	0.255619	0.100185	0.41384	0.224582	0.827118	0.128963	0.382932
0.311091	0.477744	0.398498	0.547599	0.280691	0.40674	0.605364	0.735965	0.17634	0.252566	0.564202	0.357428	0.622045	0.165232	0.848112	0.0389836	0.746814	0.754036	0.25	0.25	0.719947	0.221915	0.653435	0.16399	0.480316	0.202718	0.529265	0.153468	0.768816
0.128892	0.141096	0.00660923	0.123318	0.154686	0.17411	0.743242	0.796559	0.546463	0.425389	0.830607	0.0524276	0.128899	0.0258446	0.892868	0.305745	0.256899	0.208289	0.125	0.125	1.18214	0.468316	0.314565	0.157413	0.226499	0.202847	0.305398	0.130399	0.57847
0.140546	0.0600787	0.971035	0.0438897	0.013866	0.187074	0.616564	0.923961	0.0847886	0.44123	0.709494	0.260982	0.651517	0.220197	0.934168	0.185748	0.0522434	0.688413	0.5	0.5	0.472404	0.112232	0.483641	0.0279943	0.256213	0.0848152	0.429626	0.0127338	0.769477
0.136801	0.0309687	0.251928	0.0160512	0.808934	0.173767	0.317462	0.433643	0.15465	0.418897	0.247184	0.184508	0.141231	0.0362593	0.678377	0.63425	0.196396	0.26416	0.625	0.625	0.634253	0.348189	0.456201	0.0175318	0.165608	0.0766715	0.157873	0.0184309	0.702282
0.143875	0.381069	0.0952032	0.3061	0.253836	0.121009	0.529884	0.64204	0.247004	0.15761	0.590214	0.162307	0.193775	0.104159	0.674116	0.0744766	0.611388	0.604206	0.625	0.625	0.273218	0.307332	0.255658	0.356658	0.501375	0.225824	0.548386	0.333285	0.251905
0.0570745	0.218832	0.46742	0.164018	0.847801	0.173844	0.211329	0.644989	0.0292954	0.202437	0.543103	0.12221	0.374716	0.299585	0.743297	0.134335	0.0260298	0.63881	0.25	0.25	0.226177	0.0508296	0.803439	0.36043	0.0477063	0.487286	0.00777628	0.336406	0.331742
0.0477524	0.193162	0.352945	0.181083	0.0537093	0.0650952	0.772739	0.785465	0.102906	0.0428947	0.953508	-0.00100726	0.269751	0.0844514	0.941235	0.181497	0.144792	0.172159	0.125	0.125	0.98986	0.107184	0.138403	0.0490798	0.300528	0.147744	0.534406	0.0334887	0.494199
0.304094	0.00394201	0.444801	0.00677357	0.339453	0.497483	0.0588867	0.0343502	0.0907416	0.37629	-0.0435099	0.543635	0.84072	0.154894	0.0728165	-0.00281309	0.0606591	0.0808908	0.375	0.375	0.0135038	0.0793831	0.240188	0.280887	0.184759	0.307316	0.557695	0.336663	0.691572
0.163443	0.0170701	0.442704	-0.00533008	0.663706	0.372392	0.218404	0.47217	0.107302	0.387328	0.219266	0.833885	0.226096	0.225129	0.578831	0.0546267	0.0249824	0.471383	0.5	0.5	0.0459065	0.0248861	0.385389	0.174126	0.109455	0.212199	0.474	0.126495	0.570257
0.210721	0.052771	0.678954	0.0564605	0.32119	0.269168	0.354202	0.45172	0.0401157	0.481669	0.269185	0.478921	0.539186	0.127292	0.652776	0.211405	0.147292	0.500736	0.75	0.75	0.333912	0.031734	0.564138	-0.0151219	0.179619	0.016368	0.502657	-0.0256672	0.392651
0.101197	0.202098	0.323039	0.244739	0.740067	0.164227	0.469574	0.300583	0.0509691	0.423826	0.387417	0.0184911	0.450043	0.199791	0.531329	0.199449	0.436813	0.256507	0.5	0.5	0.365985	0.0282645	0.49659	0.165404	0.27579	0.111131	0.405548	0.183703	0.539415
0.0849649	0.351661	0.336597	0.349808	0.324441	0.138326	0.634716	0.700991	0.0545225	0.379078	0.66142	0.0515814	0.2617	0.00233023	0.918814	0.0397074	0.511353	0.576526	0.5	0.5	0.678498	0.0629635	0.417988	0.128893	0.246512	0.147556	0.680742	0.161567	0.537631
0.123559	0.0567826	0.983595	0.0791356	0.111554	0.130132	0.614725	0.665442	0.0710595	0.153699	0.817225	0.19455	0.802424	0.138767	0.82095	0.142649	0.116103	0.484236	0.5	0.5	0.637378	0.0681201	0.440666	0.151697	0.286248	0.154942	-0.00333231	0.180612	0.0600889
0.0710366	0.0428059	0.819034	0.0353191	0.00763393	0.112946	0.297241	0.37068	0.13331	0.0597331	0.293659	0.0509679	0.46292	0.0505618	0.68133	0.113644	0.159091	0.312124	0.625	0.75	0.768634	0.115715	0.357535	0.142082	0.33165	0.153675	0.505549	0.200377	0.46061
0.0796781	0.0564916	0.305625	0.0162977	0.0816041	0.0244045	0.37996	0.51918	0.227391	0.111332	0.313619	0.0397996	0.459363	0.0911325	0.769116	0.383371	0.00684648	0.626926	0.375	0.5	0.563033	0.199776	0.459315	0.0205802	0.113977	0.0374421	0.242877	0.0183792	0.0127576
0.0558272	0.0188527	0.629293	-0.00772171	0.801934	0.0837933	0.459047	0.57127	0.0750433	0.291156	0.680138	0.0320038	0.320273	0.222116	0.764065	0.179234	0.214159	0.34406	0.375	0.375	0.47849	0.10599	0.907399	-0.0156188	0.270505	0.0104773	0.439935	0.00789845	0.375067
0.214174	0.0747935	0.185513	0.038841	0.152081	0.22374	0.623139	1.09432	0.00457996	0.0818138	0.614414	0.230294	0.570302	0.0366785	0.949163	0.300596	0.110763	0.628229	0.375	0.375	0.720934	0.0615217	0.688663	0.110257	0.259949	0.0924104	0.415815	0.155605	0.588263
0.364222	0.0339046	0.562128	0.0457599	0.299867	0.399109	0.81513	0.592894	0.128793	0.205423	0.647841	0.202022	0.28425	0.111215	0.657296	0.110942	0.0740201	0.654117	0.5	0.625	0.248875	0.0692789	0.832088	0.164504	0.329474	0.0399286	0.749937	0.184555	0.240266
0.233311	0.147954	0.0711644	0.146211	0.263356	0.250021	0.402861	0.577309	0.130341	0.191735	0.29768	0.235409	0.149306	0.0634903	0.84349	0.0796797	0.0371613	0.497057	0.375	0.375	0.756133	0.152158	0.643741	0.102403	0.178544	0.0712928	0.696682	0.101037	0.411534
0.485462	0.0846324	0.120233	0.0858169	0.404292	0.564312	0.384577	0.25183	0.155417	0.555707	0.267289	0.55385	0.316861	0.141491	0.513921	0.228088	0.177161	0.386616	0.5	0.5	0.218611	0.117882	0.448658	0.173192	0.330025	0.133469	0.5408	0.151427	0.675196
0.411208	0.116545	0.174491	0.11813	0.102999	0.440516	0.505723	0.901414	0.497787	0.32832	0.773165	0.00834292	0.115313	0.0152465	0.921392	0.290162	0.248984	0.0268247	-0.125	0	1.16635	0.499388	0.50876	0.0757913	0.455011	0.0829922	0.888991	0.0943584	0.739901
0.179546	0.150812	0.271129	0.195485	0.179762	0.207853	0.69075	0.435849	0.187849	0.17025	0.608951	0.141702	0.285101	0.132438	0.610822	0.123025	0.280603	0.328022	0.25	0.25	0.749389	0.235006	0.849881	0.265853	0.173211	0.248773	0.678333	0.331593	0.557575
0.0322062	0.0225349	0.105754	0.0544899	0.354749	0.0399801	0.3073	0.741075	0.566093	0.113311	0.592317	0.0311935	0.359155	0.015229	0.945267	0.327718	0.088041	0.813624	0.75	0.875	1.02144	0.755974	0.739943	0.267428	0.0982819	0.21547	0.804109	0.26022	0.490864
0.460006	0.260944	0.253917	0.311361	0.428318	0.433575	0.652241	0.739384	0.225491	0.162587	0.827221	0.176967	0.208966	0.076911	0.812303	0.0367596	0.149999	0.110349	0.375	0.5	1.1846	0.255581	0.173762	0.0799509	0.563311	0.0527741	0.474629	0.095258	0.195021
