Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.1626	0.83449	0.14037	0.77463	0.8261	0.14579	0.48097	0.449	0.092424	0.33328	0.25405	0.023222	0.12781	0.2276	0.30903	0.026374	0.43596	0.45383	0	0	0.094428	0.08057	0.70866	0.16203	0.53736	0.11039	0.77185	0.21115	0.81081
0.044005	0.13484	0.25527	0.13053	0.21195	0.06577	0.57329	0.7655	0.097207	0.10412	0.60431	0.03166	0.1369	0.0020842	0.74785	0.02312	0.10835	0.75473	0.25	0.25	0.38622	0.089988	0.070403	0.32819	0.080672	0.2297	0.61455	0.30237	0.75233
0.15339	0.73323	0.74643	0.77791	0.84693	0.20961	0.27153	0.062165	0.62986	0.10972	0.11602	0.13761	0.3779	0.21096	0.25077	0.47266	0.3627	0.14119	0.125	0.125	0.071072	0.23581	0.56774	0.66022	0.49354	0.79321	0.45591	0.66931	0.65454
0.15896	0.0015136	0.0037061	0.010504	0.34641	0.17299	1.0755	0.96136	0.18468	0.24415	1.0578	6.8943e-05	0.12772	0.0010722	0.95493	0.07708	0.095647	0.87818	0	0	0.78081	0.16539	0.62625	0.15268	0.21867	0.18636	0.94005	0.1793	0.40905
0.34835	0.032612	0.33264	0.010241	0.042112	0.41582	0.77944	0.66474	0.11704	0.32046	0.72749	0.037538	0.13777	0.028403	0.81686	0.18387	0.18622	0.52314	0.125	0.125	0.81798	0.028562	0.47039	0.2038	0.23833	0.17032	0.6996	0.21238	0.56278
0.092492	0.16468	0.43624	0.2059	0.064948	0.13243	0.82317	0.68859	0.10307	0.21109	0.83949	0.027267	0.44486	0.015845	0.81805	0.090969	0.28812	0.95941	0.5	0.5	0.45464	0.13183	0.068864	0.12726	0.29384	0.20345	0.64848	0.16717	0.65577
0.084125	0.14558	0.057122	0.10995	0.0034287	0.063985	0.41278	0.74509	0.028838	0.18958	0.65598	-0.0050785	0.16595	0.010062	0.82312	0.39428	0.22834	0.51187	-0.125	-0.125	1.0726	0.015116	0.44773	0.096655	0.39589	0.10195	0.79192	0.11338	0.52206
0.11381	0.10772	0.69155	0.11221	0.054904	0.12469	0.49611	0.35277	0.10512	0.16694	0.41714	0.055407	0.33934	0.013726	0.49598	0.11601	0.14607	0.17049	0	0	0.61945	0.10141	0.77582	0.34752	0.30905	0.23821	0.44472	0.35978	0.3603
0.24214	0.060103	0.052721	0.089417	0.014292	0.27821	0.62109	0.58802	0.15811	0.0799	0.70801	0.052399	0.05829	0.047319	0.89365	0.22179	0.019268	0.64165	0.375	0.5	0.62652	0.1141	0.69543	0.12761	0.14047	0.057484	0.35084	0.13113	0.37541
0.12179	0.22077	0.27472	0.18411	0.15989	0.14777	0.25274	0.52234	0.029629	0.11214	0.44892	0.010395	0.30705	0.040823	0.63329	0.023426	0.22692	0.46812	0	0	0.66189	0.017667	0.32178	0.2877	0.25472	0.24884	0.41679	0.26615	0.30052
