Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.0804809	0.150405	0.0266796	0.142247	0.178062	0.0634785	0.77658	1.04187	0.0141539	0.0831578	0.812106	0.0216621	0.0483204	0.122933	0.889832	0.072064	0.120535	0.885228	0.25	0.25	1.00662	0.049673	0.486446	0.132596	0.114998	0.145287	0.697936	0.10299	0.419008
0.0240824	0.382968	0.365786	0.419348	0.558334	0.0360369	0.203109	0.598866	0.0421459	0.0266589	0.310949	0.161053	0.219407	0.438495	0.606792	0.0324188	0.130646	0.546164	0.25	0.25	0.159049	0.021022	0.387935	0.536975	0.103668	0.369148	0.346907	0.481294	0.803278
0.138615	0.0479702	0.431221	0.0148066	0.864426	0.208671	0.794211	0.761854	0.0313404	0.0329967	0.856982	0.046322	0.444487	0.0791652	0.874153	0.192667	0.055941	0.520206	0.625	0.625	0.793171	0.0338178	0.396833	0.130332	0.132635	0.127246	0.348195	0.129151	0.473051
0.0703108	0.0690124	0.219421	0.0406954	0.209106	0.0818022	0.879871	0.748636	0.0601848	0.0667192	0.74423	0.135204	0.227083	0.025796	0.823993	0.248873	0.0460385	0.532909	0.25	0.25	0.628424	0.0798411	0.60876	0.183632	0.101283	0.189212	0.948208	0.207212	0.624015
0.119622	0.0735942	0.366282	0.0340137	0.0849142	0.0720049	0.265415	0.717091	0.0472946	0.146302	0.547773	0.100496	0.499926	0.110081	0.927621	0.265612	0.0575176	0.745322	0.125	0.25	0.820802	0.104144	0.822683	0.165722	0.0948174	0.138246	0.459677	0.145832	0.412491
0.0113947	0.126944	0.227258	0.146629	0.508447	0.0115304	0.522619	1.29253	0.0196237	0.0274868	0.936623	0.25172	9.39874	0.422687	1.20949	0.127569	0.23517	0.826867	0.25	0.25	0.200495	0.0235593	0.641797	0.287784	0.0557873	0.240777	0.219143	0.231323	0.660636
0.199573	0.0750393	0.0784439	0.0388436	0.000765469	0.209148	0.766119	0.639589	0.077445	0.0328251	0.809197	0.0245193	0.0482486	0.00845002	0.676198	0.288297	0.171975	0.428024	0.375	0.5	0.973288	0.0462275	0.19673	0.319729	0.296256	0.304246	0.747173	0.329797	0.0817787
0.0534949	0.0731769	0.359653	0.0639521	0.0609616	0.0373767	0.310542	0.5727	0.0555944	0.09049	0.459373	0.0988888	0.496932	0.0841564	0.706718	0.250808	0.141057	0.589024	0.5	0.5	0.462467	0.0266663	0.697352	0.156305	0.203939	0.0773642	0.49052	0.194047	0.628398
0.102442	0.046203	0.150106	0.0369683	0.160192	0.0891754	0.518232	0.362903	0.140038	0.116307	0.579354	0.169037	0.407254	0.0901105	0.61564	0.306086	0.0954484	0.155185	0.25	0.25	0.411696	0.116326	0.167352	0.221494	0.184586	0.230186	0.298312	0.222511	0.170037
0.117135	0.147003	0.434126	0.134223	0.501592	0.137119	0.825272	0.879549	0.0751749	0.050386	0.755272	0.0149748	0.865774	0.180968	0.921685	0.100529	0.0210663	0.872647	0.25	0.25	0.838244	0.120908	0.792699	0.124705	0.0755563	0.123868	0.655587	0.120341	0.601134
