Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.117388	0.127098	0.476172	0.137285	0.696351	0.153764	0.346195	0.884255	0.326212	0.16037	0.398475	0.044319	0.176045	0.0533113	0.672424	0.241397	0.193401	0.372263	0	0	0.680689	0.462001	0.34421	0.0292069	0.258465	0.0292033	0.557612	0.0230931	-0.0114352
0.0765101	0.0676994	0.500996	0.149989	0.457544	0.081926	0.118811	0.519879	0.21828	0.0583798	0.212131	0.0969522	0.756612	0.14023	0.449276	0.0938275	0.0939984	0.0942209	0.125	0.125	0.39556	0.186484	0.811195	0.217975	0.166076	0.174537	0.280979	0.172268	0.464437
0.195425	0.142226	0.501857	0.144561	0.0931215	0.244526	0.513732	1.01104	0.191182	0.245805	0.546059	0.185995	0.112105	0.0580806	0.975884	0.105986	0.0275826	0.677375	0.375	0.375	0.807166	0.192447	0.580884	0.174924	0.171141	0.118231	0.76043	0.181483	0.224774
0.0252738	0.14353	0.805225	0.153058	0.717275	0.0588913	0.109742	1.00855	0.0628972	0.0424012	0.497048	0.136521	0.657396	0.0665849	0.980771	0.0599462	0.301691	0.515014	0.25	0.375	0.409613	0.0259432	0.928788	0.349902	0.188673	0.163404	0.535746	0.347269	0.801068
0.037337	0.038602	0.385889	0.0411842	0.408945	0.00312617	0.55315	0.536518	0.0793806	0.109711	0.511712	0.149926	0.400352	0.0380965	0.646348	0.145905	0.0425036	0.112585	0.375	0.375	0.883534	0.140882	0.493434	0.19898	0.12813	0.184586	0.873665	0.206345	0.436034
0.0415295	0.0916067	0.464474	0.11824	0.22615	0.04817	0.738463	0.767531	0.08809	0.0381665	0.861311	0.00548775	0.188044	0.0707669	0.676064	0.109778	0.0862563	-0.0527058	0.25	0.25	0.883718	0.068208	0.62626	0.13863	0.166371	0.143645	0.713938	0.101429	0.540692
0.118579	0.246522	0.0644899	0.259583	0.0708723	0.168882	0.963743	0.8664	0.268967	0.0475162	0.848916	0.040703	0.610964	0.0219874	0.780794	0.0763129	0.252497	0.248345	0.125	0.25	0.745777	0.230221	0.619293	0.188639	0.229222	0.168078	0.025666	0.196127	-0.0743703
0.205046	0.108341	0.106667	0.147236	0.00213138	0.184745	0.653709	0.697051	0.219485	0.101806	0.586436	0.0820847	0.301079	0.0116076	0.784883	0.149726	0.0342598	0.148093	0	0	0.779245	0.18882	0.547721	0.196116	0.133849	0.225711	0.721803	0.226568	0.581144
0.219432	0.0579207	0.37425	0.0872335	0.125333	0.192677	0.480965	0.443822	0.0180573	0.342557	0.407584	0.348262	0.0231421	0.152513	0.513413	0.32978	0.186233	0.481605	0.375	0.375	0.313646	0.0518973	0.231171	0.0610599	0.35619	0.0703613	0.875161	0.000909363	0.83149
0.018366	0.099497	0.632687	0.0763557	0.590635	0.0597927	0.114168	0.475952	0.347286	0.111266	0.293079	-0.00175054	0.625025	0.00300098	0.451862	0.379733	0.0808449	-0.168369	0.25	0.25	0.668115	0.456817	0.177947	0.235616	0.124355	0.243451	0.566427	0.311591	0.353088
0.0529631	0.0798499	1.02051	0.0909689	0.794451	0.0794047	0.767275	0.854501	0.315326	0.0411933	0.97724	0.157575	0.933115	0.0581651	0.92979	0.0964788	0.200408	0.142046	0.25	0.375	0.25503	0.606958	0.0261691	0.319672	0.101873	0.31051	0.0560151	0.435575	0.426191
0.0120141	0.329979	0.205702	0.351532	0.235953	-0.00792589	0.308587	0.807255	0.196492	0.0495037	0.580805	-0.00238818	0.366115	0.282193	0.788236	0.15024	0.249039	0.295739	0.375	0.375	0.836937	0.143083	0.691065	0.265978	0.122398	0.223514	0.782337	0.234613	0.478329
0.168219	0.0233411	0.243105	0.0223618	0.729756	0.144434	0.0672167	0.306808	0.797793	0.403639	0.206093	0.176184	0.921431	0.283045	0.590156	1.26023	0.277554	0.173801	0.5	0.625	0.416824	0.571812	0.624557	0.124509	0.407126	0.0398209	0.0348657	0.13586	0.324964
0.13006	0.0423378	0.496737	0.0356218	0.83684	0.181391	0.599972	0.37392	0.862585	0.0915175	0.507307	0.0107784	0.253729	0.0511717	0.801776	0.397876	0.0113925	0.45428	0.25	0.25	0.633907	0.780035	0.625821	0.105973	0.07445	0.120727	0.150054	0.0727854	0.361214
0.139623	0.0491424	0.0342148	0.0545609	0.267043	0.147743	0.5245	0.635898	0.145813	0.103955	0.383331	0.0589367	0.165317	0.104205	0.851148	0.221803	0.0154569	0.514305	0.625	0.625	1.02037	0.151689	0.679707	0.209849	0.10594	0.235315	0.902448	0.239364	0.681645
0.201255	0.0272379	0.175587	0.0451543	0.76143	0.255242	0.250405	-0.0139157	0.567861	0.126329	0.0613536	0.0591219	0.356203	0.0727223	0.414408	0.306685	0.0276585	0.0256554	0.25	0.25	0.164609	0.271632	0.643248	0.0275127	0.0942642	0.0864527	0.217568	-0.00810906	0.704049
0.0532016	0.0490893	0.0973663	0.0433983	0.394526	0.0603541	0.251137	0.479218	0.0738078	0.158906	0.404876	0.0275441	0.115784	0.0205101	0.588814	0.575138	0.162622	0.171318	0.25	0.25	0.541453	0.201985	0.453825	0.38911	0.161371	0.35978	0.827926	0.391109	0.694857
0.135719	0.090448	0.203304	0.173626	0.0916983	0.183732	0.33627	0.510116	0.451487	0.121598	0.409518	0.249364	0.128341	0.199593	0.841493	0.272614	0.0684419	0.562096	0.5	0.5	0.918296	0.476372	0.33501	0.046872	0.165069	0.0521907	0.663109	0.0229872	0.624006
0.0981965	0.00740528	0.640751	0.0166318	0.196055	0.111562	0.732647	0.517505	0.117769	0.0427406	0.522413	0.0324013	0.263004	0.0241361	0.850042	0.299891	0.0140369	0.550126	0.5	0.5	0.714157	0.156971	1.09107	0.228314	0.10903	0.254001	0.584326	0.22962	0.598807
0.0140158	0.15363	0.0966605	0.173595	0.0723722	0.0394879	0.386184	0.731085	0.13177	0.078344	0.563459	0.0732815	0.244164	0.503945	0.789342	0.0383498	0.22267	0.589964	0.625	0.75	0.793483	0.125512	0.891638	0.184372	0.19736	0.148856	0.313405	0.19336	0.340013
