Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.124217	0.216409	0.227193	0.142506	0.0364085	0.140719	0.480427	0.631305	0.0406737	0.0861796	0.681217	0.0848311	0.275727	0.0525835	0.627658	0.0351528	0.254537	0.155799	0	0	1.22498	0.0671202	0.371316	0.226061	0.28499	0.136018	0.184369	0.245692	0.684292
0.582612	0.186964	0.36207	0.159319	0.433282	0.636436	0.112592	-0.0617822	0.110081	0.571302	-0.0544391	0.439269	0.783741	0.113481	0.383007	0.163434	0.236389	0.0493711	0	0	0.247992	0.113627	0.425749	0.953824	0.832789	0.54234	0.439995	0.861146	1.08186
0.155198	0.0224334	0.129596	0.0249011	0.418544	0.230894	0.806024	0.838065	0.051225	0.0488217	0.663754	0.0216956	0.511361	0.0279024	0.723746	0.17563	0.0742439	0.499793	0	0.125	0.79421	0.0373088	0.797681	0.24232	0.429552	0.217882	0.708944	0.236856	0.508773
0.177605	0.0993105	0.190944	0.0963965	0.0825065	0.201822	0.693238	0.666384	0.0289856	0.219166	0.736143	0.0178838	0.152929	0.0309828	0.617915	0.0320271	0.185941	0.403417	0.142857	0.125	0.989648	0.031882	0.291653	0.25365	0.228229	0.238241	0.677735	0.273757	0.60842
0.150091	0.166783	0.245641	0.181954	0.0748871	0.15862	0.289763	0.547158	0.062088	0.0920826	0.358613	-0.000877921	0.0378851	0.14937	0.582965	0.054825	0.0480829	0.438302	0	0	0.583057	0.0975174	0.503896	0.157705	0.249824	0.137688	0.586677	0.157256	0.67304
0.0838173	0.103414	0.140481	0.100298	0.175199	0.131652	0.497585	0.613794	0.206613	0.119275	0.468153	0.0298266	0.271361	0.0279309	0.766498	0.491583	0.0787723	0.423468	0.142857	0.25	0.879639	0.335794	0.450662	0.24041	0.25786	0.180582	0.822739	0.265246	0.624288
0.158643	0.0681503	0.108715	0.0207056	0.232574	0.144323	1.06738	1.03041	0.0521594	0.180199	1.08343	0.0304388	0.134591	0.00549821	0.925051	0.0524907	0.265415	0.300552	0	0	1.03277	0.0707915	0.238248	0.195898	0.204624	0.154676	0.47737	0.180421	0.74159
0.0893733	0.212266	0.215803	0.207782	0.246255	0.121695	0.595007	0.445097	-0.00290269	0.0555305	0.556745	0.0152387	0.127866	0.0489665	0.640402	0.187118	0.0750089	0.461081	0.285714	0.25	0.796829	0.151648	0.547392	0.303638	0.181251	0.229322	0.758155	0.274306	0.498233
0.283164	0.13172	0.388778	0.0738298	0.545442	0.182421	0.376057	0.135522	0.267778	0.237978	0.178294	0.195753	0.869573	0.359016	0.334915	0.203029	0.122044	0.297413	0.428571	0.375	0.228448	0.204076	0.797134	0.277338	0.742595	0.0998129	0.137203	0.339	0.83048
1.18575	0.409722	0.317943	0.495694	0.439284	0.99046	0.542393	0.403807	0.151738	0.965423	0.327243	0.909091	0.198532	0.378062	0.404429	0.242197	0.234811	0.560242	0.285714	0.25	0.0749191	0.0892717	0.774619	0.86756	1.07865	0.413626	0.91295	0.857613	0.743656
0.990474	0.416111	0.182992	0.3432	0.235828	0.993421	0.184449	0.0671614	0.0737145	0.673814	0.019367	0.502406	0.138219	0.0879351	0.235675	0.0342309	0.365385	0.127302	0.285714	0.25	0.188958	0.0637749	0.485182	0.488311	0.821276	0.39929	0.718737	0.509613	0.95624
0.1861	0.20028	0.569798	0.194236	0.647712	0.181974	0.675471	0.604499	0.0942863	0.117276	0.676801	0.0632486	0.0706664	0.280861	0.530747	0.836115	0.285097	0.57403	0.285714	0.25	0.358001	0.197384	0.270168	0.329676	0.394853	0.341677	0.389938	0.251755	0.821227
0.08485	0.0129912	0.589975	0.00215489	0.0888174	0.0819457	0.46001	0.506204	0.36935	0.0994381	0.544652	0.0316274	0.522549	0.0533321	0.601132	0.155149	0.0920701	0.713417	0.285714	0.25	0.457937	0.29315	0.346602	0.32524	0.149532	0.372102	0.647553	0.253783	0.307235
0.0882129	0.178883	0.453385	0.20141	0.817519	0.0670988	0.566307	0.509668	0.0659861	0.297532	0.667217	0.184444	0.175464	0.110868	0.610133	0.207454	0.1476	0.340945	0.285714	0.25	0.340875	0.071624	0.461718	0.454604	0.27053	0.306965	-0.0195902	0.323708	0.538817
0.0416856	0.29759	0.987491	0.375036	0.313501	0.0835328	0.560135	0.816576	0.045642	0.051807	0.785606	0.242611	0.145041	0.165424	0.622703	0.090506	0.167674	0.265988	0.428571	0.5	0.493397	0.084311	0.405311	0.384573	0.127377	0.292782	0.269976	0.382183	0.673346
0.327349	0.0732218	0.0944761	0.089983	0.421969	0.234903	0.316637	0.241156	0.114981	0.157444	0.335749	0.0603766	0.629683	0.0721131	0.446066	0.0739876	0.0949013	0.318678	0.428571	0.5	0.358807	0.0785635	0.0675958	0.228431	0.216336	0.179296	0.37479	0.20237	0.408057
0.142171	0.0787226	0.123621	0.0880041	0.289899	0.100973	0.103463	0.263039	0.10058	0.0855382	0.0529156	0.00760058	0.233945	0.0223583	0.364094	0.0774315	0.0676622	0.163374	0.428571	0.375	0.688835	0.0817989	0.277672	0.178965	0.217149	0.102832	0.809518	0.200155	-0.00636511
0.269437	0.258345	0.281725	0.225808	0.157428	0.278036	0.688506	0.481584	0.776481	0.43748	0.574457	0.226319	0.188577	0.659122	0.567555	0.427368	0.25487	0.681818	0.285714	0.375	0.112596	0.188609	0.523866	0.718317	0.259876	0.645959	0.881687	0.493964	0.700979
