Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.0028866	0.087696	0.17165	0.08881	0.15388	0.038561	0.84409	0.86322	0.16444	0.056949	0.93597	0.040051	0.18121	0.00070334	0.88147	0.12942	0.078077	0.67429	0.14286	0.125	1.1305	0.16291	0.305	0.032426	0.14689	0.054012	0.95769	0.027124	0.33945
0.080033	0.11563	0.30145	0.10814	0.15477	0.080512	0.68454	0.86442	0.047156	0.13805	0.9113	0.0073511	0.38494	0.028829	0.89949	0.10763	0.10494	0.62143	0.14286	0.125	1.1151	0.067034	0.45239	0.18749	0.14168	0.15365	0.74421	0.22537	0.64484
0.17666	0.43957	0.025722	0.40032	0.46929	0.21824	0.77322	1.0143	0.094478	0.43263	0.97054	0.061589	0.14831	0.061136	0.90803	0.10119	0.30178	0.83175	0	0	0.96101	0.10983	0.63099	0.082537	0.59967	0.084132	0.39293	0.1003	0.39489
0.2065	0.11858	0.072516	0.12941	0.22327	0.14356	0.56689	0.71189	0.13249	0.19725	0.52693	0.067485	0.29114	0.073533	0.78865	0.26366	0.10494	0.65443	0.14286	0.125	0.90026	0.27097	0.68508	0.094034	0.40553	0.069659	0.862	0.095455	0.40791
0.17471	0.082269	0.37303	0.072592	0.19395	0.22383	0.36886	0.51929	0.12918	0.044547	0.30674	0.10743	0.081639	0.093845	0.6224	0.16831	0.056625	0.16204	0.14286	0.125	1.0823	0.11286	0.60269	0.15503	0.42942	0.14519	0.71707	0.20335	0.54396
0.28655	0.082437	0.15871	0.10988	0.17986	0.28685	0.52565	0.74174	0.10787	0.19053	0.57021	0.12943	0.45649	0.026254	0.87867	0.1568	0.099334	0.7158	0.14286	0.125	0.82329	0.12806	0.41177	0.206	0.24926	0.17039	0.84797	0.19969	0.64757
0.25036	0.23014	0.49942	0.35283	0.059061	0.2822	0.39602	0.7104	0.10625	0.20031	0.66427	0.089963	0.36351	0.079221	0.70066	0.11974	0.69997	0.5457	0	0	0.7936	0.081316	0.64636	0.093826	0.56556	0.032423	0.3952	0.12753	0.69237
0.047778	0.053239	0.31718	0.051656	0.5873	0.090917	0.74279	0.62259	0.079402	0.22218	0.70171	0.15817	0.029795	0.063809	0.58774	0.26504	0.22999	0.41432	0.14286	0.125	0.76646	0.084621	0.52791	0.19815	0.26458	0.20623	0.64124	0.27527	0.37334
0.16333	0.096451	0.85007	0.047134	0.29205	0.1393	0.36202	0.13688	0.26686	0.18161	0.2801	0.031576	0.30865	0.016446	0.24618	0.048904	0.086256	0.1573	0.28571	0.25	0.63659	0.26706	0.51937	0.33695	0.25487	0.20032	0.58479	0.37856	0.56393
0.11404	0.024218	0.57246	0.052466	0.4144	0.12019	0.20579	0.51901	0.059079	0.50458	0.15322	0.37203	0.7531	0.048591	0.7176	0.10343	0.2542	0.48115	0.42857	0.375	0.39512	-0.00019485	0.33745	0.15775	0.4812	0.092373	0.0035851	0.12219	0.81055
0.14084	0.048391	0.72002	0.050337	1.0493	0.17445	0.26353	0.33443	0.16632	0.44065	0.05328	0.15046	0.20856	0.11811	0.44134	0.18645	0.19883	0.27676	0.57143	0.5	0.21422	0.12988	0.57427	0.29191	0.29804	0.082101	0.1912	0.41881	0.58567
0.18229	0.044013	0.80009	0.046277	0.95936	0.16869	0.25085	0.5935	0.081811	0.30685	0.25104	0.31784	0.41713	0.049708	0.77527	0.070386	0.11063	0.44101	0.42857	0.375	0.29836	0.099133	0.37433	0.07977	0.24834	0.084885	0.17684	0.037829	0.83971
0.13839	0.082665	0.019793	0.042386	0.13633	0.15119	0.84843	0.78498	0.10128	0.27965	0.63944	0.12162	0.77651	0.11887	0.67086	0.086308	0.13356	0.85099	0.14286	0.125	0.2219	0.073728	0.77932	0.34506	0.20431	0.48192	0.28702	0.38637	0.73037
0.3181	0.074523	0.10964	0.031249	0.20623	0.40133	0.80633	0.91562	0.14332	0.39424	0.80052	0.37048	0.27417	0.42093	0.97461	0.1382	0.13323	1.0456	0.85714	0.75	0.63267	0.1446	0.59902	0.40924	0.38369	0.40998	0.85046	0.55619	0.72412
0.056228	0.02094	0.18914	0.039411	0.047493	0.040826	0.96214	0.93714	0.19714	0.087727	0.77145	0.208	0.054638	0.26452	0.63057	0.057725	0.11268	0.77168	0.42857	0.375	0.36747	0.15885	0.67885	0.55569	0.094532	0.6345	0.84262	0.50663	0.55351
0.10735	0.057805	0.089459	0.043064	0.14436	0.0875	0.63226	0.49358	0.057204	0.25025	0.59962	0.11652	0.31488	0.021435	0.5972	0.067768	0.18071	0.60621	0.28571	0.25	0.43539	0.086606	0.45487	0.43715	0.27564	0.39153	0.469	0.35901	0.62822
0.21825	0.50855	0.42411	0.59652	0.50569	0.22705	0.057014	0.21545	0.044332	0.40389	0.14189	0.37072	0.9188	0.77385	0.40072	0.39441	0.63909	0.13073	0.28571	0.25	0.5284	0.097645	0.36578	0.44996	0.77217	0.26582	0.15941	0.5335	0.60534
0.060873	0.23209	0.030086	0.25871	0.46271	0.091778	0.40565	0.33536	0.58013	0.094369	0.34701	0.040306	0.24218	0.16786	0.45663	0.21483	0.10624	0.25315	0.42857	0.375	0.66987	0.52638	0.45177	0.16059	0.1466	0.090935	0.64661	0.19378	0.36739
0.43437	0.14927	0.32868	0.16779	0.4917	0.54273	0.81326	0.68608	0.052528	0.35281	0.82192	0.23597	0.25694	0.10605	0.61687	0.12404	0.13863	0.38949	0.28571	0.25	1.3252	0.046629	0.46256	0.09297	0.44936	0.1034	0.69266	0.14616	0.20751
0.19306	0.12325	-0.0053922	0.15044	0.35562	0.20917	0.58785	0.75346	0.078575	0.21149	0.58783	0.045822	0.35514	0.0082582	0.88685	0.16477	0.21283	0.87774	0.14286	0.125	0.99292	0.091501	0.50143	0.12661	0.18057	0.13285	0.85452	0.081788	0.7261
0.44132	0.086468	0.3318	0.05367	0.69117	0.44486	0.50674	0.33977	0.18254	0.56823	0.36547	0.1188	0.11855	0.023991	0.58367	0.0071877	0.24096	0.45387	0.28571	0.25	0.64803	0.17518	0.77004	0.19841	0.51431	0.082773	0.20633	0.31164	0.34694
0.050327	0.51624	1.0638	0.42513	0.31568	0.079798	0.40388	0.56099	0.33583	0.15863	0.50678	0.24664	0.10795	1.256	0.59127	0.17639	0.22473	0.52683	0.28571	0.25	0.5325	0.30304	0.45824	0.18729	0.41427	0.202	0.14724	0.26781	0.2953
0.1092	-0.0025915	0.20747	0.023533	0.12791	0.12417	0.571	0.44478	0.056534	0.10057	0.48812	0.15431	0.095197	0.1172	0.50344	0.087577	0.082534	0.65497	0.28571	0.25	0.31628	0.057968	0.3693	0.025632	0.14402	0.069856	0.90389	0.019073	0.56617
0.079396	0.088305	0.12852	0.07342	0.1932	0.1416	0.40963	0.36989	0.41433	0.07074	0.32493	0.31893	0.19494	0.17263	0.45758	0.23388	0.10799	0.52569	0.28571	0.25	0.19562	0.38674	0.58471	0.099903	0.18213	0.14165	0.56934	0.14889	0.4028
0.043284	0.10079	0.25543	0.10045	0.41606	0.091344	0.59167	0.734	0.22533	0.20347	0.68527	0.14341	0.088967	0.10759	0.89407	0.55344	0.31312	0.87772	0.28571	0.25	0.33454	0.075116	0.52874	0.24711	0.36107	0.23121	0.21444	0.2565	0.68901
0.027728	0.06966	0.031546	0.08366	0.60185	0.020057	0.32279	0.13509	0.089953	0.066815	0.26906	0.060213	0.48	0.091581	0.26433	0.032341	0.27864	0.14609	0.28571	0.25	0.25416	0.069321	0.26595	0.34941	0.1837	0.32256	0.17928	0.46765	0.58138
0.037536	0.18404	0.60823	0.18367	1.0193	0.068297	0.38495	0.64282	0.0064673	0.12507	0.41342	0.041599	0.22734	0.11345	0.81468	0.15083	0.12105	0.61129	0.28571	0.25	0.26371	0.024794	0.38571	0.058809	0.10931	0.068349	0.25398	0.045616	0.34751
0.11391	0.069521	0.15674	0.091962	0.58709	0.083514	0.26866	0.32572	0.072187	0.12295	0.25854	0.29751	0.38232	0.1651	0.47466	0.094739	0.12174	0.27365	0.28571	0.25	0.27293	0.033224	0.32808	0.2964	0.14809	0.316	0.063791	0.36561	0.63629
0.018949	0.17576	0.27254	0.17166	0.057375	0.033108	0.27143	0.16734	0.17041	0.10901	0.1324	0.013028	0.31965	0.11637	0.4876	0.054071	0.10983	0.25966	0.28571	0.25	0.39734	0.17026	0.51966	0.15462	0.16309	0.10471	0.14199	0.16478	0.38665
0.19834	0.12113	0.15059	0.10869	0.30776	0.19685	0.43541	0.76183	0.51704	0.11967	0.63883	0.013024	0.23817	0.032421	0.88969	0.093572	0.15891	0.56824	0	0	1.0212	0.53904	0.51443	0.27235	0.27211	0.23298	0.90123	0.18607	0.44343
0.18783	0.12313	0.13361	0.17283	0.1625	0.21613	0.67728	0.98532	0.11376	0.058945	0.92142	0.027227	0.26783	0.059808	1.0188	0.090623	0.13163	0.75241	0	0	1.2383	0.12941	0.70555	0.18919	0.19608	0.16503	0.52164	0.20978	0.79207
0.12647	0.10826	0.064863	0.091841	0.12453	0.11841	1.017	1.1703	0.029666	0.18679	1.1691	0.077956	0.086226	0.0482	0.97808	0.039514	0.19157	0.94095	0	0	1.0684	0.036862	0.45383	0.12068	0.30601	0.081118	0.4403	0.23043	0.7651
0.20179	0.065676	0.046386	0.056833	0.13704	0.22314	0.51182	0.72769	0.086087	0.11656	0.6157	0.0061957	0.019185	0.012819	0.8079	0.10116	0.20686	0.38765	0	0	1.2581	0.14005	-0.061365	0.10021	0.23144	0.098501	0.63319	0.10565	0.74484
0.11108	0.1071	0.10243	0.11205	0.015451	0.13485	1.1402	1.0449	0.16182	0.088835	1.186	0.018828	0.38146	0.16427	0.87169	0.043867	0.0078559	0.45166	0	0	1.0008	0.15508	0.31424	0.18665	0.11189	0.17892	0.10686	0.20583	0.7221
0.012511	0.036807	0.11465	0.087343	0.14977	-0.0018404	0.7729	0.86857	0.10437	0.094288	0.81942	0.014218	0.2526	0.01806	0.80909	0.15095	0.10491	0.67986	0.14286	0.25	0.46594	0.10433	0.29454	0.1939	0.1113	0.183	0.61402	0.17288	0.72416
0.048973	0.074487	0.1218	0.08578	0.064796	0.02723	0.47178	1.018	0.1794	0.16337	0.73179	0.0023946	-0.006976	0.017396	0.92896	0.073753	0.086736	0.70418	0.28571	0.25	0.81595	0.16129	0.56739	0.29881	0.18665	0.23318	0.76701	0.34811	0.28338
0.13369	0.010715	0.43204	0.019767	0.16777	0.10806	0.99096	0.91218	0.092171	0.10692	0.94238	0.0076143	0.04716	0.066159	0.87802	0.20086	0.050857	0.8237	0.28571	0.25	0.64922	0.087174	0.53551	0.15035	0.16513	0.10199	0.68614	0.15984	0.47381
0.10328	0.041404	0.21679	0.073776	0.29046	0.12219	0.43781	0.30296	0.22583	0.1023	0.38211	0.14703	0.39252	0.014451	0.30265	0.22115	0.04931	0.13085	0.57143	0.5	0.28249	0.28217	0.47457	0.18132	0.1489	0.20906	0.81673	0.15644	0.46551
0.081871	0.09539	0.2199	0.080772	0.20047	0.050385	0.57208	0.3736	-0.0048517	0.10579	0.40176	0.05912	0.25837	0.023521	0.47746	0.040145	0.050459	0.14005	0	0	1.0218	-0.0052283	0.74266	0.21742	0.070515	0.1751	0.67512	0.23971	0.64255
0.12938	0.16958	0.18086	0.13521	0.068107	0.15554	0.3164	0.40916	0.41884	0.24874	0.27561	0.3918	0.55924	0.13387	0.45025	0.23603	0.3573	0.43664	0.14286	0.125	0.19272	0.44901	0.4219	0.3077	0.31822	0.28277	0.67552	0.34227	0.62053
0.072306	0.22915	0.086975	0.20521	0.099709	0.13688	0.82614	0.83938	0.17365	0.10802	0.8161	0.011779	0.092647	0.014331	0.88695	0.093786	0.065845	0.49895	0.28571	0.25	0.95862	0.2261	0.60038	0.085942	0.27776	0.095738	0.72501	0.080962	0.81775
0.050812	0.20676	0.33279	0.14965	0.50295	0.043845	0.30543	0.25573	0.56668	0.12951	0.44727	0.070527	0.28314	0.070833	0.34845	0.40346	0.16298	0.19286	0.71429	0.625	0.23607	0.43901	0.35365	0.60141	0.10678	0.66792	0.59216	0.59567	0.59264
0.0074011	0.029402	0.13644	0.044927	0.064148	0.046085	0.57992	0.71464	0.087649	0.05791	0.60324	0.013193	0.12312	0.024941	0.89768	0.09348	0.054172	0.65719	0	0	0.71237	0.084481	0.42953	0.17606	0.066698	0.16721	0.57385	0.16463	0.054976
0.05738	0.35205	0.17965	0.42064	0.24043	0.048253	0.17467	0.20825	0.36365	0.086223	0.11954	0.0517	0.27586	0.050113	0.29574	0.2881	0.26084	0.21955	0.42857	0.375	0.13743	0.34311	0.55295	0.54735	0.2651	0.68331	0.36166	0.54348	0.38529
0.09262	0.089172	0.15852	0.12723	0.098168	0.11775	0.65278	0.9962	0.022591	0.12401	0.85711	0.0089337	0.046274	-0.0028124	0.9362	0.031613	0.014257	0.7886	0.28571	0.25	0.93985	0.029642	0.41503	0.23646	0.17504	0.2027	0.86365	0.2537	0.89052
0.020232	0.011636	0.23671	-0.0032949	0.33333	0.0768	0.31007	0.086875	0.11867	0.05961	0.08932	0.036218	0.1267	0.036032	0.17671	0.17802	0.12947	0.12322	0.42857	0.375	0.21849	0.19527	0.58718	0.20297	0.15653	0.31822	0.63997	0.26198	0.41817
0.072362	0.050271	0.20446	0.076576	0.59733	0.10056	0.49913	0.3611	0.18946	0.24563	0.33791	0.13228	0.23503	0.044395	0.47941	0.20161	0.11314	0.50218	0.28571	0.5	0.20723	0.15318	0.76097	0.088849	0.19431	0.08694	0.020057	0.10044	0.80235
0.24662	-0.0034177	0.18081	0.022285	0.40002	0.26036	0.62421	0.58866	0.11502	0.12398	0.73374	0.046639	0.78695	0.0070217	0.67325	0.18337	0.09628	0.36048	0.57143	0.625	0.77841	0.10626	0.23571	0.11124	0.29812	0.084028	0.61031	0.15821	0.11338
0.087874	0.036	0.14519	0.050498	0.12205	0.094422	0.67586	0.6652	0.14093	0.20712	0.60082	0.02015	0.080472	0.0043779	0.81549	0.5327	0.12084	0.70834	0.14286	0.25	0.62567	0.074163	0.65775	0.15692	0.19231	0.15956	0.91443	0.13591	0.6663
0.26159	0.55687	0.32922	0.51873	0.42597	0.30164	0.10109	0.22942	0.2965	0.29887	0.13814	0.047845	0.27341	0.50702	0.47659	0.42201	0.54138	0.19102	0.57143	0.625	0.22344	0.25702	0.39168	0.21953	0.61848	0.13459	0.53994	0.47843	0.58619
0.3962	0.14881	0.49033	0.14321	0.31626	0.45156	0.26646	0.29339	0.33368	0.28707	0.3047	0.11395	0.57735	0.26134	0.23342	0.033258	0.24467	0.35403	0.57143	0.5	0.00039421	0.061327	0.43001	0.33698	0.31018	0.2542	0.7711	0.40517	0.56547
0.87995	1.1304	0.29873	1.2405	0.08372	0.964	0.58102	0.68787	0.52868	0.45347	0.60613	0.11973	0.484	0.23029	0.65646	0.1518	0.89829	0.87495	0	0.125	0.073946	0.35576	0.75474	1.0665	0.88667	0.90137	0.39856	0.98307	0.98591
0.82401	0.028132	0.084522	0.023287	0.42233	0.81626	-0.031791	0.084461	0.060684	0.21907	-0.13353	0.26434	0.29216	0.0047477	0.25137	0.0078184	0.059476	-0.025123	0.28571	0.25	0.46099	0.061862	0.12861	0.10437	0.27892	0.1475	0.47212	0.082544	0.15197
0.082196	-0.00011586	0.0058106	0.0089249	0.16652	0.056433	0.30436	0.30915	0.090901	0.10606	0.23151	0.051961	0.19871	-0.0010761	0.64004	0.12532	0.045129	0.43587	0.71429	0.75	0.59888	0.082779	0.4364	0.051863	0.080553	0.071533	0.56373	0.062568	0.26958
0.17754	0.12315	0.15969	0.12358	0.17371	0.19136	0.55735	0.59913	0.27059	0.074854	0.57493	0.045355	0.94311	0.030215	0.73142	0.021706	0.068197	0.57162	0.14286	0.125	0.60434	0.24783	0.42288	0.21693	0.23279	0.2051	0.19631	0.25257	0.19882
0.78714	0.10452	0.36503	0.22151	0.32442	0.77334	0.27432	0.42033	0.24073	0.065191	0.15697	0.096886	0.34945	0.054182	0.5266	0.22157	0.48547	0.46532	0.42857	0.375	0.090841	0.16624	0.44092	0.12721	0.50223	0.088472	0.14045	0.20457	0.72486
0.20586	0.20852	0.68611	0.29699	0.12695	0.25971	0.33937	0.44299	0.1475	0.2648	0.26812	0.11071	0.49214	0.05106	0.57161	0.26601	0.35572	0.49963	0.42857	0.625	0.10262	0.099701	0.53875	0.29008	0.45587	0.23178	0.29317	0.32048	0.63337
0.010176	0.10601	0.39007	0.098576	0.29994	0.050629	0.79241	0.57788	0.0151	0.052135	0.67852	0.0080432	0.74762	0.0021106	0.74411	0.091754	0.175	0.52528	0.28571	0.25	0.5639	0.024074	0.81366	0.24026	0.11359	0.28748	0.52564	0.31798	0.75349
0.087241	0.077313	0.50162	0.086193	0.15633	0.087927	0.25723	0.46913	0.11478	0.21018	0.49425	0.067557	0.55879	0.11629	0.86166	0.17047	0.2368	0.78983	0.28571	0.25	0.74854	0.13666	0.15168	0.36874	0.19784	0.27667	0.60138	0.45336	0.18606
0.13908	0.25935	0.66925	0.28077	0.68035	0.15596	0.25832	0.14418	0.027979	0.09525	0.3097	0.09735	0.55498	0.14411	0.25121	0.21143	0.35051	0.30236	0.28571	0.25	0.31867	0.050633	-0.037099	0.2071	0.18339	0.18275	0.29149	0.23268	0.74316
0.067994	0.041312	0.28368	0.042423	0.096214	0.11688	0.76451	0.82744	0.38273	0.058337	0.73625	-0.0074697	0.075164	-0.0049189	0.92107	0.20011	0.099931	0.70248	0.28571	0.5	0.97927	0.33078	0.60599	0.16714	0.083917	0.10977	0.66685	0.16957	0.64232
0.16309	0.053677	0.081634	0.044717	-0.0020728	0.18574	0.58756	0.67381	0.04825	0.012393	0.80634	0.024942	0.13791	0.027279	0.84811	0.1038	0.12696	0.2406	0.14286	0.125	1.3318	0.0533	0.38601	0.37408	0.24586	0.31759	0.64501	0.44495	0.83588
0.13498	0.039881	0.19543	0.074604	0.47936	0.11168	0.10539	0.30413	0.2341	0.28928	0.020066	0.10026	0.09096	0.034437	0.31824	0.13528	0.067984	0.09034	0.57143	0.5	0.33948	0.14424	0.29355	0.019104	0.31518	0.044747	0.75391	0.041703	0.48885
0.010742	0.035266	0.59946	0.038163	0.34916	0.069173	0.58322	0.65566	0.08557	0.14183	0.59743	0.027642	0.8103	0.036233	0.73681	0.047804	0.040559	0.44839	0.71429	0.75	0.42805	0.084323	0.65472	0.12706	0.059108	0.10768	0.15929	0.11816	0.60563
0.028506	0.11879	0.41043	0.1649	0.20766	0.06185	0.086382	0.11098	0.14721	0.092513	0.14806	0.21266	0.36211	0.27555	0.31746	0.24952	0.47468	0.075066	0.28571	0.25	0.12327	0.17097	0.30603	0.92043	0.3066	0.3086	0.48123	0.77937	0.78172
0.021103	0.036469	0.40026	0.054945	0.87295	0.017887	0.42596	0.3808	0.073581	0.097459	0.47873	0.13411	0.22568	0.061823	0.88138	0.18334	0.066197	0.62942	0.42857	0.5	0.497	0.076549	0.57534	0.25334	0.074825	0.17424	0.41997	0.25087	0.76451
0.42473	0.14051	0.5961	0.11351	0.070214	0.44004	0.63933	0.41415	0.14726	0.28606	0.52186	0.048876	0.64099	0.08861	0.76557	0.83393	0.12444	0.69244	0	0	0.3417	0.23622	0.95401	0.44844	0.41609	0.46012	0.36825	0.60245	0.55263
0.050144	0.22106	0.42605	0.1924	0.16199	0.035549	0.33259	0.65097	0.15505	0.074474	0.51816	0.01715	0.15928	0.015184	0.80746	0.3187	0.13137	0.53844	0.42857	0.375	0.97722	0.22047	0.32998	0.11326	0.084816	0.10245	0.85031	0.16461	0.68988
0.078068	0.090377	0.17804	0.12203	0.057005	0.10374	1.128	0.86372	0.070755	0.05964	1.1029	0.0060924	0.16326	0.016817	0.86816	0.072947	0.12237	0.80767	0.14286	0.125	0.67721	0.074215	0.32632	0.38182	0.12637	0.36383	0.76814	0.27387	0.60664
0.032533	0.075409	0.20513	0.084475	0.6313	0.065701	0.56881	0.52298	0.034788	0.16597	0.64584	0.01895	0.08735	0.0042411	0.67036	0.18379	0.29601	0.18523	0	0	0.97415	0.093179	0.49797	0.10789	0.31087	0.053766	0.40288	0.16039	0.55581
0.042307	0.16105	0.010876	0.17279	0.14086	0.0090582	0.82151	0.66872	0.12641	0.13208	0.89916	0.0067644	-0.0076486	0.029239	0.80485	0.056559	0.18629	0.57828	0.28571	0.25	0.75383	0.12797	0.079662	0.35002	0.13684	0.33039	0.29064	0.31488	0.56364
0.37074	0.20415	0.5033	0.16544	0.19631	0.35854	0.35711	0.34971	0.2279	0.29219	0.40896	0.038395	0.2172	0.023689	0.49328	0.13094	0.40801	0.23603	0	0	0.6895	0.22753	0.087686	0.56339	0.44971	0.41464	0.37784	0.68996	0.16987
0.037722	0.10553	0.045954	0.11781	0.262	0.040186	0.36249	0.5491	0.25228	0.13158	0.49815	0.045164	0.17077	0.024373	0.61274	0.1374	0.13649	0.094578	0.14286	0.375	1.2583	0.29061	0.35189	0.21877	0.13136	0.18988	0.48597	0.18997	0.50909
