Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.1124	0.16049	0.36518	0.1234	0.22124	0.099709	0.48464	0.66715	0.094625	0.17959	0.53195	0.067423	0.060382	0.1402	0.68557	0.18352	0.20293	0.53898	0	0	0.50097	0.071818	0.43555	0.25473	0.19059	0.29637	0.30904	0.17292	0.5239
0.063329	0.028413	0.025594	0.051646	0.028066	0.052759	0.36464	0.87776	0.12314	0.10674	0.52438	0.063868	0.024738	0.11391	0.88906	0.026146	0.069128	0.87939	0	0	0.51326	0.10329	0.68362	0.13163	0.064818	0.13751	0.69694	0.14208	0.66157
0.01368	0.12083	0.20856	0.1031	0.020568	0.050574	0.73288	0.79573	0.15166	0.05665	0.88227	0.023718	0.39566	0.044924	1.0168	0.040064	0.11735	0.45668	0	0	0.79978	0.18162	0.37926	0.3073	0.085256	0.28183	0.3506	0.28743	0.21723
0.0039906	0.050158	0.53697	0.040435	0.0099536	0.011503	0.62095	0.60807	0.082863	0.027445	0.7085	0.014009	0.1725	0.09666	0.79127	0.027293	0.033399	0.29763	0.14286	0.125	0.68717	0.10131	0.10917	0.13906	0.0052174	0.11538	0.66719	0.1397	0.74203
0.080918	0.16817	0.063639	0.14823	0.11871	0.0827	0.91902	0.99419	0.074688	0.040265	0.89641	0.022573	-0.002924	0.0067167	0.87607	0.037017	0.040001	0.29556	0.14286	0.125	0.78388	0.087531	0.48443	0.083904	0.053053	0.085209	0.071514	0.083947	-0.0018068
0.047664	0.018057	0.33334	0.035628	0.18435	0.061373	0.25112	0.78932	0.030435	0.018171	0.47404	0.025208	0.055429	0.045382	0.78964	0.078214	0.071331	0.43099	0.28571	0.25	0.68701	0.066074	0.55608	0.37147	0.057187	0.37233	0.73175	0.33546	0.32241
0.051519	0.080527	0.10708	0.083904	0.25275	0.045823	0.64894	0.37709	0.017886	0.05798	0.51675	0.089459	0.1194	0.09814	0.61029	0.054535	0.082862	0.60581	0.14286	0.125	0.18577	0.038191	0.7827	0.41369	0.055051	0.41483	0.84209	0.31356	0.69412
0.046429	-0.0037433	0.10861	0.016378	0.41574	0.0387	1.0996	1.0325	0.20315	0.061122	1.0833	0.070343	0.37136	0.023725	0.95031	0.098331	0.0411	0.66386	0	0	0.54719	0.18676	0.35838	0.2699	0.052183	0.25718	0.49728	0.20966	0.6549
0.040275	0.19808	0.010405	0.21984	0.22497	0.021165	0.21731	0.29117	0.12936	0.065173	0.35522	0.011872	0.13702	0.067159	0.47174	0.087362	0.073758	0.45133	0	0	0.35837	0.13782	0.45391	0.2758	0.048015	0.27686	0.53424	0.26507	0.2008
0.053914	0.015656	0.47942	0.0086825	0.098011	0.051141	0.43394	0.41943	0.019415	0.096318	0.43251	0.070063	0.047381	0.2033	0.4664	-0.0041867	0.057297	0.4743	0.14286	0.125	0.32116	0.00072365	0.77787	0.090055	0.067561	0.12944	0.69308	0.094914	0.80058
