Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.020762	0.070383	0.31227	0.08058	0.032612	0.0517	0.31274	0.64435	0.12603	0.18335	0.48751	0.041157	0.4132	0.070215	0.6899	0.086022	0.11597	0.62195	0.14286	0.25	0.39409	0.077307	0.34774	0.14577	0.078038	0.13262	0.72735	0.12505	0.14268
0.019914	0.045537	0.31258	0.064873	0.11123	0.028155	0.18668	0.73857	0.065201	0.020901	0.40914	0.075788	0.17086	0.064735	0.7421	0.16782	0.048039	0.28266	0.28571	0.25	0.77175	0.077849	0.6349	0.13389	0.019034	0.14334	0.96821	0.18075	0.16506
0.020261	0.016265	0.10124	0.024958	0.09301	0.02847	0.52779	0.88534	0.04055	0.017414	0.65063	0.026469	0.35717	0.049821	0.79932	0.076727	0.059178	0.55638	0	0.125	0.3214	0.04079	0.77225	0.20008	-0.007592	0.13687	0.52548	0.23992	0.84988
0.073153	0.060833	0.49148	0.047385	0.80726	0.054163	0.3765	0.36115	0.16645	0.071689	0.35008	0.24215	0.085389	0.23263	0.4487	0.35399	0.076781	0.086051	0.14286	0.25	0.22242	0.15356	0.31327	0.11868	0.040547	0.10298	0.037192	0.10769	0.49672
0.016939	0.047653	0.28501	0.056017	0.20713	0.013159	0.73215	0.66777	0.26622	0.030481	0.66964	0.014634	0.40993	0.061886	0.69168	0.19068	0.088165	0.59079	0.28571	0.25	0.41918	0.2866	0.49233	0.32544	0.0099276	0.36955	0.48507	0.29162	0.64487
0.079985	0.048192	0.3566	0.057769	0.51367	0.076186	0.49758	0.74197	0.075818	0.11603	0.69478	0.037739	0.65763	0.032016	0.79981	0.23396	0.10636	0.53221	0.28571	0.25	0.55997	0.098812	0.4443	0.10407	0.13568	0.13969	0.42532	0.13842	0.71621
0.049807	0.033709	0.096994	0.020668	0.26454	0.041506	0.74769	1.0733	0.078456	0.080013	0.79642	0.0059546	0.67711	0.079139	1.015	0.090853	0.034999	0.97404	0.28571	0.375	0.62311	0.11239	0.56651	0.18165	0.065235	0.16441	0.61283	0.18209	0.57993
0.014884	0.077385	0.48623	0.10069	0.64259	0.016021	0.24008	0.63508	0.072941	0.013992	0.48024	0.066928	0.041497	0.21232	0.85519	0.071303	0.066815	0.48949	0.14286	0.125	0.23146	0.062049	0.59081	0.20857	0.025308	0.24815	-0.017079	0.16113	0.70767
0.033302	0.055617	0.41846	0.04991	0.35817	0.034366	0.39557	0.38205	0.021834	0.050601	0.5346	0.068561	0.57312	0.021753	0.72126	0.10058	-0.0045849	0.24247	0.42857	0.5	0.59734	0.017663	0.5932	0.12242	-0.0026172	0.18238	0.53956	0.14558	0.80621
-0.0041992	0.02425	0.036721	0.020549	0.13672	-0.0064134	0.54933	0.56216	0.037384	0.0083973	0.5651	0.029406	0.12115	0.040246	0.79688	0.030546	0.0010797	0.72565	0.42857	0.625	0.42362	0.04624	0.51146	0.21155	-0.025858	0.20528	0.12131	0.27463	0.80382
0.020391	-0.0012868	0.093169	0.013045	0.27712	0.040519	0.92937	0.75415	0.31954	0.011269	0.90845	0.017296	0.27975	0.030928	0.813	0.25776	0.039069	0.58586	0.42857	0.375	0.56782	0.33912	0.66488	0.32728	0.03014	0.34994	0.55095	0.29161	0.50678
0.0009204	0.32658	0.67616	0.36936	0.71085	0.0012696	0.028001	0.52775	0.086937	0.036639	0.20993	0.022218	0.62301	0.25123	0.81446	0.22406	0.13436	0.52351	0.42857	0.375	0.42874	0.12609	0.60531	0.20715	0.048147	0.14	0.036888	0.24958	0.46931
