Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.71743	0.24949	0.15074	0.21692	0.1327	0.91732	0.35794	0.30749	0.64108	0.39098	0.26648	0.5304	0.18141	0.065408	0.3548	0.016328	0.13185	0.35901	0	0	0.21966	0.4557	0.26062	0.54947	0.38613	0.43252	0.96688	0.64717	0.77338
0.18862	0.34809	0.21298	0.27508	0.28116	0.16279	0.38428	0.24832	0.31846	0.12938	0.39938	0.081065	0.34486	0.11311	0.30628	0.14314	0.34644	0.13072	-0.125	-0.125	0.60252	0.27801	0.52825	0.8912	0.28221	0.70354	0.73466	0.89276	0.74727
0.97446	1.1942	0.40297	0.84776	0.10966	0.43602	0.54812	0.2777	0.30471	0.894	0.44042	0.34762	0.38793	0.76187	0.22117	0.36852	1.1056	0.3231	0	0	0.16078	1.0004	0.41334	0.51843	0.96767	0.0045788	0.36132	0.6029	0.57482
0.047914	0.090192	0.20982	0.092148	0.10612	0.0066045	1.1583	1.0236	0.011298	0.086638	1.1642	0.11116	0.12307	0.11636	0.97231	0.013392	0.079473	0.80251	-0.125	-0.125	1.4869	0.012699	0.15689	0.21388	0.07063	0.19936	0.65391	0.27806	0.68427
0.2898	0.82181	0.10888	0.47334	0.29328	0.2385	0.20888	0.25771	0.082871	0.58106	0.24445	0.53313	0.36511	0.1347	0.27218	0.3759	0.81248	-0.016038	0.125	0.125	0.69439	0.98263	0.56819	0.20927	1.0797	0.094824	0.94009	0.34496	0.49098
0.072891	0.3487	0.2992	0.12173	-0.0010163	0.063502	0.34778	0.29759	0.14407	0.26869	0.33273	0.055468	0.28929	0.25928	0.39825	0.027647	0.47595	0.1876	0.125	0.125	0.86035	0.64752	0.39397	0.13849	0.80203	0.090247	0.42536	0.25305	-0.1907
0.56858	0.97319	0.50977	0.65559	0.38743	0.20319	0.11567	0.14935	0.24921	0.38418	0.13274	1.0388	0.82681	0.86243	0.087737	0.47784	0.73132	0.24045	0.125	0.125	0.10621	0.13039	0.45006	0.77418	0.69762	0.32315	0.37257	0.62908	0.51204
0.11691	1.0949	0.26991	0.58844	0.27416	0.19837	0.18407	0.18546	0.070866	0.49795	0.17828	0.29896	0.38448	1.2401	0.18583	0.26606	0.35178	0.11693	0.125	0.125	0.29651	0.15731	0.24694	0.62219	0.47524	0.75849	0.56273	0.71553	0.40742
0.79629	0.81701	0.40638	0.26825	0.5613	0.66191	0.27039	0.23064	0.44041	0.76808	0.14867	0.98456	0.76527	0.95634	0.18721	0.44291	0.55768	0.23689	0.125	0.125	0.13228	0.17596	0.38689	0.64288	0.83242	0.25002	0.91923	0.50214	0.48203
0.59954	0.66204	0.23766	0.72452	0.40397	0.44101	0.51753	0.37544	3.2282	0.28088	0.46191	1.8669	0.5381	1.9441	0.35382	0.86989	0.39457	0.37988	0.125	0.125	0.3181	2.7363	0.69905	0.38407	0.80394	0.50503	0.65025	0.45494	0.29481
