Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.083576	0.094922	0.45881	0.17683	0.081818	0.095003	0.38349	0.8148	0.1746	0.1366	0.57204	0.14277	0.18421	0.16258	0.64032	0.18664	0.083559	0.57487	0.14286	0.375	0.45666	0.1286	0.55807	0.18055	0.049044	0.15736	0.89804	0.23014	0.58766
0.031477	0.1682	0.080139	0.1431	0.097197	0.02872	0.41776	0.6472	0.061964	0.0037644	0.5196	0.014904	0.3262	0.13691	0.64432	0.063946	0.066246	0.37159	0.14286	0.125	0.6764	0.09357	0.3398	0.24331	-0.015444	0.26253	0.42971	0.22078	0.37496
0.32049	0.89559	0.45876	0.77395	0.41615	0.42942	0.29581	0.39072	0.30846	0.83642	0.3476	0.06251	0.36431	1.1029	0.5087	0.68681	1.2067	0.23037	0	0	0.066531	0.23542	0.42433	0.81194	0.83892	0.048199	0.49363	0.97673	0.47606
0.6324	0.83464	0.068184	0.60365	0.29157	0.3193	0.28724	0.15067	0.16096	0.54622	0.17373	0.21265	0.21948	0.24465	0.10897	0.25023	0.9302	0.20651	0	0	0.052501	0.1566	0.52513	0.78825	0.44388	0.93228	0.86879	0.48557	0.76937
0.15994	0.15769	0.5261	0.045162	0.40197	0.21623	0.34171	0.2006	0.69787	0.15261	0.22606	0.13952	0.49678	0.38651	0.34213	0.1455	0.055304	0.29178	0.14286	0.375	0.29622	0.36976	0.080786	0.32017	-0.0047504	0.32657	0.49006	0.45502	0.42944
0.53297	0.33035	0.47764	0.32592	0.57857	0.50951	0.70859	0.39136	0.11747	0.57575	0.44066	0.51196	0.45325	0.07951	0.42153	0.06892	0.30554	0.42316	0.57143	0.5	0.44535	0.073828	0.84234	0.17251	0.32931	0.073192	0.72617	0.29052	0.50821
0.19376	0.2143	0.13678	0.20231	0.43101	0.1973	0.27833	0.41564	0.37323	0.05368	0.39149	0.12365	0.29823	0.22365	0.46464	0.13947	0.18881	0.36039	0	0	0.65761	0.20534	0.85365	0.24166	0.1053	0.11659	0.092906	0.29349	-0.10471
0.21693	0.055829	0.55993	0.11261	0.52016	0.1853	0.3719	0.54502	0.1087	0.12524	0.52926	0.098649	0.34073	0.01865	0.66889	0.09008	0.098456	0.66919	0.28571	0.25	0.19235	0.12937	0.33245	0.32782	-0.0024463	0.19686	0.26164	0.388	-0.027405
0.075826	0.16661	0.30813	0.11258	0.36895	0.054397	0.38226	0.63106	0.18749	0.10285	0.69639	0.18345	0.69148	0.13035	0.58896	0.13764	0.10677	0.38145	0.14286	0.125	0.51754	0.24862	0.75019	0.34449	0.030757	0.32081	0.52079	0.41203	0.40014
0.039566	0.14792	0.36182	0.21085	0.34514	0.02436	0.35935	0.54994	0.14938	0.015187	0.5226	0.023209	0.44471	0.07634	0.65834	0.12791	0.17122	0.53938	0.42857	0.5	0.34804	0.15998	0.45348	0.31024	-0.018211	0.30186	0.42215	0.28437	0.47698
0.052041	0.08915	0.4547	0.10021	0.14332	0.050061	0.90497	0.87382	0.12829	0.019315	0.89847	0.0083028	0.21209	0.081496	0.83207	0.20233	0.056306	0.59845	0.57143	0.5	1.0604	0.11562	0.36441	0.12129	-0.044858	0.14924	0.73058	0.10349	0.37008
0.050535	0.042577	0.68114	0.048499	0.77649	-0.011972	0.26056	0.18584	0.073142	0.069629	0.24336	0.043012	0.62131	0.0075018	0.35442	0.18354	0.1457	0.18756	0.57143	0.5	0.48314	0.014996	0.69924	0.25417	0.029894	0.15125	0.57371	0.29155	0.3898
0.082794	0.022581	0.57324	0.057482	0.23823	0.12834	0.59595	0.57892	0.036652	0.19703	0.49288	0.399	0.94918	0.36784	0.58016	0.11106	0.15902	0.55352	0.57143	0.5	0.32428	0.011742	0.75432	0.69373	0.12275	0.75152	0.3654	0.83724	0.81067
0.34075	0.88991	0.57798	0.75232	0.26287	0.31321	0.41517	0.47382	0.14905	0.024608	0.38835	0.11519	0.38813	0.15123	0.54082	1.4852	0.41555	0.48106	-0.14286	-0.125	0.2453	0.28584	0.24067	0.62248	0.38541	0.44188	0.81347	0.68012	0.7213
