Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.165566	0.0965973	0.195462	0.0382429	0.12159	0.117695	0.566246	0.387767	0.198268	0.0938123	0.448582	0.432692	-0.0138606	0.103776	0.478794	0.234746	0.0949624	0.403827	0.125	0.125	0.229586	0.150909	0.392798	0.184046	0.13141	0.149031	0.455545	0.225158	0.426682
0.01493	0.645325	0.188396	0.712251	0.501628	0.0375038	0.489652	0.61998	0.0492113	0.0946859	0.488172	0.528677	0.0468262	0.707134	0.347739	0.14643	0.387337	0.523845	0.25	0.25	0.0813058	0.0496879	0.532933	1.04389	0.10675	1.09894	0.148284	0.753149	0.793998
0.238325	0.822442	0.714092	0.676272	0.497346	0.195432	0.534187	0.523965	0.438869	0.339505	0.54669	0.124467	0.16183	0.423198	0.454256	0.159495	0.464319	0.539949	0.375	0.5	0.126021	0.250318	0.214868	0.64148	0.38042	0.442255	0.0838821	0.523076	0.624869
0.743666	1.23633	0.592874	1.12682	0.271155	1.09089	0.286112	0.314447	0.547717	1.20876	0.369122	0.158391	0.892392	0.67657	0.402679	1.67614	1.61519	0.298608	0.125	0.125	0.0641411	0.798883	0.0243081	0.548247	1.02148	-0.0126832	0.317602	0.508812	0.994452
0.139478	0.193765	1.03298	0.264802	0.225231	0.156272	-0.0604502	0.235869	0.385455	0.129235	0.0413847	0.154436	0.174209	0.653024	0.0795771	-0.00514175	0.169362	0.208548	0.25	0.375	-0.006537	0.161689	0.572053	0.70974	0.0110516	0.603937	0.358314	0.437946	1.0242
0.420838	0.69117	0.13779	0.518632	0.216601	0.514764	0.403255	0.356643	0.174013	0.336929	0.396609	0.016715	0.102717	0.227614	0.285392	0.248134	0.387642	0.216641	0.375	0.5	0.181409	0.125121	0.126875	0.48502	0.279433	0.788935	0.563347	0.478589	0.684881
0.180129	0.90475	0.266763	0.858415	0.733544	0.274029	0.181014	0.178065	2.52146	0.718625	0.216328	1.39173	0.339251	0.582455	0.225636	2.19381	1.41697	0.0737497	0.375	0.375	0.105394	2.14801	0.157431	0.473458	1.04647	0.0772328	0.385638	0.692874	0.782854
0.308308	0.371562	0.393768	0.326698	0.608107	0.261411	-0.0843177	-0.0609702	0.0948007	0.286389	-0.0232076	0.0929378	0.716414	0.76905	-0.179735	0.120887	0.241674	-0.0938853	0.5	0.5	0.0948644	0.011277	0.402726	0.061161	0.276313	0.116488	0.154428	0.0374004	0.622153
0.1487	0.159354	0.189866	0.114139	0.651461	0.0940161	0.233547	0.0587282	0.753689	0.0651606	0.0895038	0.19659	0.183751	0.187089	-0.0326524	0.150592	0.0488482	0.169932	0.625	0.625	-0.0127394	0.186478	0.373785	0.367463	0.0220021	0.404675	0.317992	0.24217	0.708182
0.980054	0.765933	0.603966	0.56857	0.852207	0.55371	0.516342	0.319775	0.0609091	0.25808	0.443889	0.998401	0.141089	0.64209	0.364768	0.0691019	0.449116	0.372779	0.25	0.25	0.11751	0.0393918	0.791521	0.934758	0.180073	1.306	0.372208	0.959512	0.790201
0.697389	0.563477	0.315393	0.298754	0.0713009	0.406188	0.426789	0.324427	0.123794	0.163009	0.359032	1.00543	0.238698	1.20704	0.40736	0.0443479	0.0716011	0.392736	0.375	0.5	0.158042	0.0883349	0.53874	0.529388	0.23979	0.630654	0.726637	0.534224	0.676201
1.16472	0.741603	0.269771	1.13926	0.47542	0.982553	-0.00179815	0.112078	0.198991	0.732516	0.0812792	0.403426	0.489903	0.695473	0.0713135	-0.0141959	1.06296	0.206588	0.5	0.5	0.0425049	0.116954	0.347059	0.698706	0.463497	0.674185	0.365026	0.722899	0.640615
0.271122	0.992067	0.413603	0.864093	0.475004	0.278422	0.316041	0.348752	0.448098	0.182608	0.356064	0.852818	0.748081	1.436	0.397987	0.219483	0.307196	0.381003	0.375	0.375	0.160061	0.282341	0.464114	0.744371	0.139513	0.962108	0.103397	0.835516	0.500011
0.328226	0.803364	0.503803	0.848608	0.206929	0.311114	0.54049	0.679428	0.0711943	0.21843	0.547692	0.467741	0.337975	1.48704	0.634209	0.312221	0.235902	0.590303	0.125	0.125	0.291465	0.128851	0.724939	0.399323	0.338409	0.451093	0.748638	0.345476	0.732496
