Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.14874	0.18788	0.13811	0.25096	0.28416	0.16039	0.46473	0.53348	0.28545	0.16907	0.49627	0.13209	0.072767	0.29394	0.48652	0.29146	0.19747	0.63762	-0.28571	-0.25	0.37475	0.092755	0.45986	0.53759	0.21891	1.0235	0.51341	0.68685	0.86467
0.11924	0.22436	0.47987	0.20885	0.49149	0.096755	0.23512	0.10475	0.085613	0.098843	0.18776	0.16284	0.88668	0.2117	0.3288	0.062562	0.20223	0.14339	-0.28571	-0.25	0.74745	0.054421	0.641	0.32668	0.17643	0.17713	0.075229	0.3178	0.42837
0.39234	1.2096	0.31674	0.78571	0.077489	0.26105	0.24496	0.16486	0.095858	0.28071	0.25093	0.36544	0.21278	1.1831	0.41125	0.25634	0.26835	0.22592	0.14286	0.25	0.13397	0.14391	0.32537	0.43922	0.23383	0.77153	0.20122	0.5629	1.0247
0.7728	0.64027	0.36692	0.5508	0.77701	0.38602	0.29637	0.34692	0.068865	0.27667	0.40079	0.37391	0.41468	1.3659	0.4493	0.32491	0.44134	0.35894	0.14286	0.125	0.18262	0.16835	0.56267	0.36448	0.20195	0.66147	0.68428	0.46046	0.68842
0.39765	0.091853	0.74955	0.056518	0.26715	0.32595	0.47115	0.63525	0.040122	0.1869	0.37289	0.23061	0.59492	0.065724	0.68801	0.062654	0.12764	0.7267	-0.28571	-0.25	0.5327	0.086413	0.57584	0.17051	0.21999	0.26305	0.61866	0.16082	0.67555
0.2157	0.51993	0.49915	0.34746	0.6141	0.23637	0.25334	0.049598	0.12166	0.1675	0.10899	0.43338	0.14903	0.026666	0.041927	0.034376	0.22432	0.11804	0.28571	0.375	0.035302	0.11165	0.43365	0.4013	0.14442	1.6652	0.84223	0.52136	0.51173
0.73183	0.31772	0.32497	0.39378	0.076767	0.30128	0.38025	0.44669	-0.0066505	0.17673	0.41776	0.26797	0.084096	0.9235	0.54747	0.23297	0.38262	0.47573	0.28571	0.25	0.27857	0.076129	0.10081	0.26938	0.19494	0.13698	0.63005	0.28728	0.70388
0.27907	0.48653	0.56437	0.50129	0.32378	0.24692	0.12488	-0.042331	0.63435	0.27251	0.02147	0.12197	0.18904	0.15462	-0.17684	0.10607	0.41784	-0.06878	0.57143	0.625	-0.019461	0.083782	0.094001	0.78275	0.13763	0.99211	0.75572	0.78304	0.60528
0.45337	0.010271	0.6455	0.091247	0.8426	0.53245	0.22178	0.11251	0.22291	0.32275	0.25409	0.27404	0.28799	0.81621	0.172	0.12041	0.095428	0.1449	0.28571	0.375	0.10998	0.17121	0.0036359	0.39631	0.16324	0.60927	-0.0079347	0.31043	0.72465
0.16754	0.17798	0.64735	0.24601	0.32489	0.15011	0.097127	-0.12038	0.12341	0.15095	-0.010475	0.39467	0.60184	0.26133	-0.11968	0.079587	0.23968	-0.088756	0.57143	0.5	-0.0029418	0.031898	0.12883	0.91223	0.15942	1.0635	0.3735	1.0301	0.61343
