Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.38182	0.21	0.11288	0.10506	0.27015	0.31426	0.58356	0.59002	0.056048	0.20351	0.71042	0.31376	0.09197	0.14888	0.76624	0.03794	0.13419	0.83974	0.14286	0.125	0.15052	0.08739	0.32025	0.21586	0.078269	0.25022	0.44232	0.15608	0.50255
0.19234	0.23441	0.34266	0.22165	0.13958	0.16073	0.99037	0.81204	0.090359	0.20682	0.87812	0.13904	0.7019	0.059007	0.80953	0.0072015	0.25254	0.84082	0.28571	0.25	0.36135	0.072994	0.41811	0.43056	0.089211	0.34243	0.23704	0.45692	0.43445
0.085607	0.030661	0.18526	0.030636	0.29535	0.064318	0.58262	0.59991	0.076294	0.053764	0.61079	0.06992	0.20151	0.028323	0.80884	0.032155	0.04693	0.78947	0.42857	0.375	0.30232	0.068941	0.17188	0.21615	0.010002	0.18346	0.63047	0.19826	0.29369
0.14823	0.35097	0.76028	0.3442	0.24691	0.18825	0.56201	0.52326	0.066185	0.25569	0.5261	0.36311	0.80101	0.18496	0.74725	0.15945	0.44109	0.64235	0.14286	0.125	0.19275	0.039707	0.52331	0.31396	0.11286	0.2655	0.2184	0.21476	0.54813
0.034631	0.12954	0.21053	0.096259	0.24767	-0.00053508	0.12033	0.47175	0.27399	0.035519	0.28852	0.11894	0.1934	0.4821	0.68326	0.2855	0.052556	0.53098	0.28571	0.375	0.2241	0.32531	0.40567	0.37475	0.043298	0.12053	0.61694	0.41325	0.65795
0.080566	0.20778	0.34686	0.22417	0.40512	0.050126	0.32388	0.64163	0.27932	0.039887	0.52382	0.092332	0.24218	0.19319	0.78015	0.12014	0.2713	0.66926	0.42857	0.5	0.28505	0.27876	0.57516	0.16451	0.11706	0.11061	0.039403	0.11507	0.547
0.17504	0.14428	0.19191	0.10544	0.35331	0.1289	0.60152	0.72293	0.0596	0.15112	0.60887	0.67096	0.30435	0.16914	0.915	0.072189	0.15071	0.97178	0.85714	0.875	0.27545	0.039647	0.49393	0.023625	0.041477	0.030501	0.38883	0.00091333	0.69456
0.060268	0.1669	0.0091564	0.17747	0.337	0.043356	0.55913	0.83145	0.0078281	0.060684	0.72571	0.075232	0.15137	0.071402	0.9581	0.037054	0.16345	0.92639	0.28571	0.25	0.44101	0.017211	0.72405	0.26118	0.03425	0.12896	0.87599	0.26433	0.78002
0.2707	0.0056395	0.64585	0.089122	0.92887	0.24533	0.57599	0.65537	0.086327	0.19348	0.5665	0.11447	0.32803	0.027612	0.725	0.058516	0.23972	0.74067	0.42857	0.375	0.17883	0.067745	0.37457	0.16671	0.10421	0.083873	0.071533	0.1465	0.3368
0.093499	0.15685	0.43322	0.10343	0.47246	0.051827	0.60907	0.68291	0.036132	0.23902	0.54089	0.6472	0.58462	0.58052	0.79461	0.035089	0.17103	0.68898	0.42857	0.375	0.16604	0.062706	0.54528	0.41708	0.071163	0.32732	0.072237	0.32401	0.66699
