Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.10254	-0.0066991	0.39833	-0.0018133	0.15095	0.12798	0.12318	0.44958	0.13361	0.10628	0.2898	0.25602	0.56856	0.057136	0.63092	0.11268	0.018664	0.23941	-0.14286	-0.125	0.40286	0.14331	0.1222	0.11616	-0.014459	0.18706	0.7282	0.19898	0.47167
0.016086	0.016987	0.13505	0.0016715	0.28357	0.03734	0.74737	0.83017	0.058005	0.012086	0.83831	0.090831	0.15964	0.099723	0.95847	0.1041	0.010649	0.90338	0.28571	0.25	0.68908	0.051654	0.5043	0.22961	-0.044278	0.21369	0.69212	0.2352	0.51486
-0.005255	-0.0034194	0.44066	0.0060322	0.17668	-0.0098596	0.29699	1.009	0.33839	0.0060479	0.5786	0.016607	0.032747	0.012443	0.90521	0.067806	-0.003553	0.61908	0.28571	0.25	0.81752	0.31102	0.68995	0.089703	-0.063363	0.07787	0.70096	0.10259	0.60202
0.032759	0.016893	0.51023	0.040452	0.079629	0.060674	0.17791	0.36545	1.3113	0.037386	0.40072	0.34614	0.13816	0.54026	0.53224	1.1786	0.076704	0.46695	-0.28571	-0.25	0.12372	1.9463	0.1143	0.16422	0.036089	0.038416	0.3057	0.21653	0.34149
-0.015417	0.095053	0.59894	0.1154	0.92703	-0.010878	-0.018949	0.69078	0.4188	0.0038072	0.17376	0.043685	0.15508	0.47227	0.65657	0.10089	0.095317	0.44192	0	0.25	0.41649	0.64615	0.73558	0.3989	-0.038963	0.05034	0.20849	0.58782	0.71058
0.021431	0.021778	0.22731	0.027707	0.090655	0.031902	0.48334	0.54301	0.32107	0.018758	0.55836	0.17659	0.15805	0.24042	0.66289	0.031083	0.0029062	0.13372	0.14286	0.125	0.40181	0.34781	0.48701	0.092295	-0.067328	0.18886	0.86404	0.17525	0.69338
-0.0031539	-0.010859	0.74819	-0.001285	0.32033	0.002296	0.24178	0.41303	0.18371	0.011833	0.21508	0.049323	0.21701	0.16851	0.66434	0.094488	0.023951	0.42089	0.14286	0.125	0.32868	0.14367	0.44528	0.18152	-0.069862	0.074955	0.44007	0.19973	0.61861
0.019566	-0.015292	0.036085	-0.014279	0.40085	0.039301	0.54125	0.85168	0.094615	0.011177	0.42534	0.031019	0.36491	0.026502	0.72458	0.037694	-0.012914	0.1999	0.28571	0.25	0.83114	0.093829	0.82659	0.09534	-0.047689	0.13328	0.57244	0.10767	0.64727
-0.0020243	-0.013354	0.18879	-0.0094597	0.21112	0.00010935	1.0104	0.75462	0.013863	-0.01247	0.85318	0.00049732	0.184	0.025266	0.8569	0.16587	-0.002228	0.65376	0.42857	0.375	1.0592	0.0090331	0.85009	0.15232	-0.055078	0.15823	0.59204	0.17218	0.23243
0.0065119	0.0033347	0.2711	0.012609	0.55165	0.014244	0.55208	1.0317	0.033321	0.01786	0.62641	0.13592	0.27914	0.042058	0.984	0.10743	0.018083	0.88182	-0.14286	0	0.18269	0.017917	0.43846	0.22144	-0.054886	0.17226	0.56352	0.17297	0.54468
