Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.098261	0.15979	0.037594	0.10085	0.36456	0.033771	0.70781	0.65921	0.12658	0.13939	0.60358	0.029588	0.12183	0.0091994	0.65855	0.085218	0.24844	0.72325	0.14286	0.125	0.249	0.098512	0.59721	0.34614	0.18501	0.24827	0.73173	0.32739	0.77228
0.13241	0.13436	0.62702	0.1296	0.94792	0.2313	0.25413	0.70508	0.021516	0.50997	0.2589	-0.0017561	0.30803	0.030058	0.75628	0.16332	0.10188	0.54636	0.28571	0.5	0.30981	0.018378	0.46886	0.1598	0.23021	0.16136	0.19372	0.15973	0.69475
0.23104	0.33819	0.43764	0.38261	0.37121	0.38843	0.64156	0.51316	0.059058	0.4304	0.58464	0.05467	0.57919	0.26432	0.51292	-0.008454	0.058474	0.58732	0	0.125	0.0068148	0.013518	0.36732	0.29306	0.26308	0.77544	0.54656	0.3175	0.55433
0.033078	0.068886	0.12342	0.067369	0.23979	0.045629	0.72837	0.59871	0.068601	0.1017	0.61422	0.043382	0.23016	-0.008826	0.71489	0.045186	0.074627	0.74351	0	0	0.33366	0.069777	0.78893	-0.045852	0.059241	0.025933	0.67372	-0.044423	0.75538
0.11819	0.18573	0.42035	0.20696	0.13824	0.16735	0.65728	0.96267	0.055676	0.15202	0.86146	0.013439	0.55713	0.04827	0.90358	0.02616	0.033299	0.89666	0.14286	0.125	0.43982	0.19397	0.39162	0.028317	0.20791	0.053738	0.61803	0.078886	0.45891
0.10006	0.010871	0.19959	0.029246	0.10226	0.1197	0.39575	0.39244	0.33033	0.090058	0.23681	0.065487	0.80726	0.043309	0.5358	0.038229	0.053567	0.3958	0	0.125	0.14993	0.27926	0.69764	0.20835	0.05507	0.26755	0.10073	0.21912	0.0079105
0.046812	0.053805	0.23719	0.035525	0.53569	0.031905	0.65073	0.9187	0.034783	0.22294	0.63356	0.18181	0.19347	0.01322	1.0013	0.086667	0.13662	0.94431	0.28571	0.25	0.31112	0.061956	0.79485	0.17036	0.17416	0.16196	0.14354	0.15488	0.43333
0.08206	0.15465	0.37221	0.18639	0.20562	0.046256	0.388	0.31758	0.20821	0.1091	0.31659	0.019855	0.6786	0.08251	0.52315	0.13305	0.24157	0.35434	0.14286	0.375	0.17876	0.22344	0.4706	0.31589	0.25402	0.083992	0.16986	0.43066	-0.014944
0.050912	0.15718	0.3215	0.14147	0.73983	0.055601	0.32668	0.58448	0.05457	0.078939	0.23689	0.065857	0.15906	0.061684	0.73506	0.071005	0.033333	0.48565	0.14286	0.125	0.11769	0.046841	0.55545	0.44294	0.037277	0.56995	0.37086	0.48441	0.84435
0.037238	0.22639	0.17371	0.29321	0.26892	0.033414	0.81638	0.8633	0.21343	0.071317	0.89887	0.01518	0.094164	0.070154	0.88332	0.23685	0.31738	0.94379	0.28571	0.25	0.53077	0.1223	0.53263	0.30409	0.11471	0.17905	0.9771	0.30743	0.42799
