Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.129355	0.0170663	0.252593	0.0642007	0.715427	0.0861655	0.658397	0.554969	0.17903	0.119651	0.557506	0.154152	0.169274	0.230988	0.492314	0.028785	0.0405096	0.556933	0.5	0.375	0.237191	0.108829	0.280804	0.339011	0.0712809	0.299815	0.716935	0.363859	0.657036
0.237974	0.391283	0.104248	0.458067	0.466286	0.232652	0.454044	0.324518	0.101313	0.213697	0.354839	0.0864856	0.06676	0.227454	0.234194	0.184843	0.246062	0.328154	0.375	0.25	0.137479	0.0369298	0.418709	0.129691	0.215162	0.286408	0.556235	0.130263	0.905321
0.393146	0.117323	0.14602	0.168039	0.205427	0.253203	0.709649	0.613063	0.0740542	0.15553	0.640909	0.00890324	0.286145	0.0156786	0.662932	0.332653	0.0786307	0.431921	0.5	0.375	0.485677	0.0814808	0.636721	0.14311	0.117761	0.155577	0.784114	0.120785	0.474218
0.451306	0.168848	0.485954	0.128849	0.605951	0.43737	0.180799	0.235104	0.0772203	0.283934	0.0699212	0.259243	0.630778	0.02705	0.291026	0.144326	0.123564	0.04346	0.5	0.5	0.284488	0.0590938	0.437997	0.309289	0.260805	0.282044	0.942637	0.300278	0.299242
0.246396	0.117269	0.46031	0.0528454	0.711766	0.211886	0.347067	0.465147	0.266425	0.190473	0.541395	0.0771851	0.502528	0.162442	0.744435	0.158381	0.147844	0.355341	0.125	0	0.071122	0.579259	0.217846	0.379266	0.0790376	0.342142	0.188272	0.35958	0.575925
0.0536876	0.215148	0.131615	0.218619	0.174976	0.0914976	0.921857	0.799512	0.144887	0.0772063	0.829191	0.116193	0.00083167	0.351962	0.805188	0.0460754	0.06606	0.228412	0.625	0.5	0.697101	0.138181	0.831404	0.348028	0.154399	0.346085	0.718206	0.41904	0.533815
0.0323887	0.0921759	0.286863	0.11943	0.2036	0.0230285	0.419936	0.869012	0.622295	0.0535903	0.598015	0.0865069	0.564547	0.349021	0.935837	0.0911405	0.107976	0.670954	0.5	0.375	0.554152	0.697216	0.361828	0.315992	0.0102981	0.299976	0.503609	0.310364	0.717148
0.40229	0.1939	0.199213	0.157727	0.327747	0.30773	0.641274	0.53997	0.121522	0.480131	0.505149	0.410524	0.286971	0.71861	0.487329	0.180774	0.103804	0.505611	0.5	0.375	0.313431	0.0937637	0.606753	0.193684	0.340589	0.294513	0.602572	0.269039	0.827435
0.0180993	0.0725271	0.163689	0.0680958	0.0810169	0.0142037	0.578391	1.1925	0.215671	0.0993838	0.838006	0.105711	0.145693	0.189666	1.07807	0.0245344	0.197376	0.473624	0.375	0.25	1.03718	0.280781	0.67153	0.110592	0.142836	0.106869	0.707478	0.106208	0.608562
0.0748101	0.0956244	0.550133	0.0935727	0.0392442	0.0881499	0.726412	0.510863	0.358983	0.0533454	0.594304	0.079596	0.490386	0.179216	0.798536	0.162436	0.0730485	0.41445	0.25	0.25	0.61892	0.323995	0.800126	0.0450496	0.113809	0.0357702	0.570467	0.0370495	0.708608
0.0193673	0.229841	0.337411	0.15625	0.14542	0.0229658	0.56693	0.486117	0.286272	0.0908554	0.584938	0.139795	0.116792	0.0265985	0.725412	0.573532	0.0963262	0.81612	0.5	0.5	0.398495	0.745903	0.592759	0.328647	0.0539066	0.377983	0.631357	0.289907	0.63401
0.0573167	0.187803	0.137437	0.155625	0.215111	0.0569716	0.679804	0.581782	0.164035	0.00583492	0.729072	0.0321363	0.26026	0.0446459	0.664557	0.123438	0.0234134	0.572882	0.375	0.25	0.274252	0.137571	0.0684085	0.553204	0.0923951	0.520088	0.841009	0.509472	0.74192
0.14547	0.199968	0.44453	0.171818	1.0172	0.245808	0.34826	0.521189	0.269012	0.279934	0.500579	0.0394438	0.349568	0.517522	0.535295	0.185108	0.0957355	0.43443	0.5	0.5	0.172069	0.284836	0.151551	0.297038	0.210253	0.279247	-0.00615514	0.269506	0.817446
0.105374	0.313817	0.447522	0.358563	0.750324	0.135187	0.726403	0.603589	0.0983933	0.0785384	0.663938	0.0354479	0.193019	0.224416	0.541831	0.150005	0.311404	0.644537	0.375	0.375	0.305842	0.113949	0.127832	0.195435	0.26584	0.134125	0.10956	0.176835	0.761492
0.110287	0.0142696	0.385323	0.0174828	0.346311	0.0981683	0.380406	0.475692	0.0841948	0.132461	0.211473	0.0531221	0.19502	0.0658258	0.822895	0.140061	0.0475152	0.430859	0.625	0.625	0.49556	0.0764257	0.728387	0.17514	0.0346884	0.183765	0.800943	0.166281	0.37258
0.0581008	0.0991838	0.273323	0.155531	0.183342	0.0874332	0.558309	0.561034	0.0207005	0.160571	0.591354	0.0129008	0.113621	0.0342788	0.749205	0.0428855	0.169826	0.706251	0.5	0.375	0.51709	0.0383086	0.181945	0.27809	0.158691	0.25441	0.446352	0.284396	0.687072
0.294658	0.234496	0.118919	0.180113	0.148287	0.248719	0.32087	0.132561	0.144296	0.125967	0.153432	0.104196	0.110781	0.0990859	0.63445	0.0596081	0.116971	0.26205	0.5	0.5	0.402025	0.123281	0.644146	0.232282	0.143207	0.140825	0.38483	0.239622	0.787771
