Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.1989	0.065048	0.1169	0.1629	0.14429	0.15699	0.52002	0.49356	0.13233	0.013305	0.63008	0.050815	0.27737	0.059131	0.45806	0.0558	0.051976	0.10649	0	0.125	0.58294	0.10559	0.26222	0.32612	0.13448	0.2039	0.45672	0.37099	0.30861
0.34671	0.055413	0.28812	0.13373	0.44747	0.41948	0.25901	0.18338	0.24415	0.26147	0.11713	0.33656	0.38174	0.10833	0.42743	0.20105	0.10976	0.21315	0.125	0.125	0.30973	0.44745	0.59937	0.37892	0.18749	0.2948	0.53384	0.41958	0.68472
0.47811	0.48518	0.29861	0.42829	0.84568	0.45262	0.36734	0.59967	0.021386	0.15391	0.46545	0.05175	0.26626	0.065899	0.70023	0.11061	0.12692	0.56445	0	0	0.22848	0.0071155	0.75224	0.44718	0.13893	0.10714	0.16196	0.51195	0.39287
0.25181	0.42056	0.087918	0.55868	0.012051	0.37018	0.47344	0.30303	0.14034	0.27558	0.34809	0.19281	0.55322	0.29441	0.28887	0.14035	0.31813	0.47594	0.125	0.125	0.1066	0.071509	0.22393	1.3363	0.16387	1.1579	0.39548	1.6121	0.97042
0.15545	0.042093	0.50805	0.0098564	0.21952	0.1414	0.55793	0.5045	0.12599	0.027141	0.45768	0.71697	0.3803	0.37828	0.51329	0.175	0.010403	0.034334	0.375	0.375	0.54149	0.19305	0.70103	-0.0078323	0.026068	-0.011863	0.28568	0.038725	0.2835
0.24488	0.17494	0.96893	0.094512	1.2675	0.24605	0.2275	-0.01191	0.34927	0.23533	0.027592	0.0072763	0.32743	0.058417	0.2614	0.060875	0.13925	0.11372	0.125	0.125	0.072717	0.24115	0.62986	1.068	0.16225	0.27301	0.57692	1.0123	0.72202
0.02489	0.056763	0.58356	0.055668	0.041404	0.021553	0.24368	0.29401	0.05296	0.029625	0.25577	0.046662	0.50849	0.070583	0.56584	0.72429	0.024809	0.25785	0.125	0.125	0.69758	0.34634	0.26594	0.045461	0.041262	0.07619	0.67039	0.14419	0.45101
0.10793	0.26393	0.52536	0.33187	0.75494	0.23546	0.25035	0.45499	0.13407	0.35132	0.51091	0.02827	0.22149	0.077593	0.7375	0.06481	0.39171	0.66892	0.125	0.125	0.16992	0.18622	0.26072	0.9083	0.16628	0.34347	0.023696	0.96301	0.13052
0.72842	0.28125	0.67398	0.19482	0.61283	0.79317	0.037802	-0.051919	0.23551	1.047	-0.029743	0.556	0.52613	0.50108	-0.13505	0.32751	0.32265	-0.048068	0.125	0.125	0.054953	0.16844	0.30986	0.34374	1.3121	0.060201	0.24283	0.39077	0.036514
0.18286	0.19208	1.0344	0.21965	0.3775	0.20682	0.34077	0.2432	0.083376	0.086146	0.26202	0.30335	0.5666	0.22013	0.17754	0.14718	0.047358	-0.10272	0.25	0.375	0.34148	0.0011507	0.35444	0.31543	0.20022	0.11095	0.48046	0.5562	0.57792
0.10347	0.043581	0.68924	0.0082971	0.13916	0.14374	0.4189	0.67519	0.19372	0.24078	0.4868	0.13377	1.1517	0.16282	0.89551	0.071932	0.056092	0.52751	0.375	0.375	0.44313	0.17616	0.36139	0.42866	0.034734	0.30545	0.49752	0.44039	0.59352
0.31775	0.24291	0.29777	0.23127	0.32776	0.29098	0.41145	0.12142	0.12471	0.25018	0.26255	0.077672	0.70021	0.14125	0.18849	0.46523	0.0074922	0.19463	0.25	0.25	0.24295	0.24171	0.35469	0.27979	0.3351	0.34633	0.68502	0.38257	0.66666
0.81433	2.1161	0.42416	1.872	0.74254	0.53128	0.030671	-0.064809	0.60514	1.1206	-0.066987	0.55564	0.6821	1.7198	-0.10108	0.39676	2.2367	-0.089266	0.125	0.125	0.024689	0.62638	0.48751	0.78929	2.0752	-0.043732	0.21989	0.73325	-0.020609
0.20272	0.31826	0.2238	0.17228	0.17486	0.17099	0.97075	0.65425	0.5029	0.15332	0.82177	0.89451	0.48177	1.2627	0.54534	0.24129	0.10739	0.87164	-0.125	-0.125	0.05117	0.10762	0.028552	1.3094	0.072899	0.57424	0.55093	1.0148	0.85805
0.42032	0.29122	0.3816	0.27918	0.34176	0.43825	0.59466	0.49558	0.45218	0.17227	0.63424	0.78409	0.28487	0.66835	0.7056	0.11444	0.15805	0.32288	0.25	0.375	0.50826	0.44355	0.13583	0.35166	0.096257	0.28421	0.19713	0.49113	0.58957
0.031031	0.14664	0.17803	0.16054	0.12961	0.016699	0.58739	0.41369	0.21667	0.063242	0.52277	0.17408	0.1573	0.28069	0.53777	0.11408	0.14726	0.26744	0	0	0.34	0.18047	0.6654	0.1355	0.097443	0.078652	0.9751	0.13291	0.79988
0.074066	0.11294	0.3724	0.074971	0.30553	0.15569	0.40158	0.52249	0.076051	0.19952	0.641	0.30434	0.40448	0.17185	0.69017	0.072659	0.20287	0.6678	0.25	0.25	0.2668	0.1114	0.46761	0.098644	0.043942	0.070839	0.55106	0.14064	0.83204
0.060531	0.061094	0.5381	0.080969	0.76992	0.045859	0.1558	0.21335	0.12441	0.13633	0.19065	0.070923	0.029422	0.41091	0.24096	0.11788	0.08404	0.16489	0.375	0.375	0.35332	0.11088	0.61945	0.27005	0.12474	0.18306	0.37312	0.24337	0.47011
0.057191	0.093575	0.35707	0.12391	0.68091	0.10636	0.1099	0.54215	0.54791	0.15862	0.29232	0.23233	0.67327	0.92591	0.52394	0.23808	0.18087	0.42446	0.125	0.25	0.22404	0.4007	0.41867	0.28779	0.15691	0.29184	0.20851	0.2536	0.86861
0.17594	0.34022	0.48536	0.23155	0.15919	0.31845	0.25111	0.18218	0.38397	0.23449	0.17912	0.40433	0.32026	1.0604	0.11664	0.25476	0.14766	0.28038	0	0	0.07173	0.18053	0.45288	1.2103	0.40527	0.90725	0.56018	1.3686	0.8991
0.29315	0.09079	0.47045	0.2405	0.17657	0.20765	0.35643	0.16467	0.12661	0.24217	0.30413	0.39655	0.70614	0.104	0.19707	0.071655	0.31506	0.23319	0.25	0.25	0.091139	0.16343	0.32704	0.62427	0.24304	0.31886	0.48722	0.62805	0.40587
0.32175	0.1553	0.34907	0.099104	0.49055	0.078137	0.208	0.40209	0.53955	0.29771	0.32963	0.74903	0.77954	0.22945	0.36384	0.069852	0.094438	0.27211	0.25	0.25	0.056598	0.33913	0.68222	0.15632	0.11712	0.17648	0.1525	0.14286	0.93191
0.28949	0.31436	0.24921	0.22437	0.31719	0.27915	0.21607	0.25048	0.31862	0.024371	0.17526	0.38801	0.51919	0.52102	0.358	0.69933	0.054892	0.27189	0.125	0.125	0.41418	0.40312	0.5008	0.19773	0.08189	0.38279	0.20854	0.42761	0.57135
0.21813	0.18107	0.93678	0.20168	0.90808	0.16536	0.088046	0.096409	0.14252	0.11989	0.045888	0.059934	0.81237	0.10282	0.23992	0.1361	0.24882	0.15433	0.125	0.125	0.065809	0.044216	0.34499	0.59467	0.10897	0.69087	0.41511	0.36298	0.47552
0.40011	0.55767	0.36747	0.24605	0.5409	0.074071	0.16157	0.23752	0.084545	0.20467	0.070558	0.82221	0.7798	0.70253	0.33177	0.18978	0.15629	0.18812	0.125	0.125	0.12765	0.093227	0.41797	0.38386	0.15257	0.76005	0.4207	0.63518	0.86291
0.28117	0.087321	0.1754	-0.0029676	0.67952	0.39417	0.43755	0.70348	0.19368	0.25963	0.32739	0.58254	0.63944	0.16292	0.7377	0.079243	0.18758	0.48053	0.25	0.25	0.17354	0.23715	0.7508	0.42662	0.071307	0.30949	0.11487	0.41574	0.82633
0.1048	0.016904	1.1098	0.012756	1.0998	0.0909	-0.10741	-0.051165	0.13031	0.094238	-0.22275	1.2501	0.80967	0.15498	0.017316	0.49551	0.0085202	-0.17564	0	0	0.29296	0.18513	0.098893	0.085306	-0.065952	0.076491	0.65571	0.18876	0.4994
0.24517	0.17505	0.29581	0.11765	0.84596	0.28612	0.6207	0.63159	0.030365	0.19275	0.71327	0.20264	0.44112	0.33738	0.79039	0.071196	0.059716	0.77278	0.125	0.125	0.18522	0.014749	0.6669	0.65677	0.060584	0.51126	0.21079	0.44715	0.58697
0.11624	0.10622	0.37479	0.11836	0.65741	0.047164	0.36115	0.21989	0.067532	0.060283	0.23974	0.038756	0.78097	0.16187	0.23701	0.031469	0.13337	0.22795	0.25	0.25	0.14936	0.028022	0.39883	0.38008	0.074685	0.15379	0.53122	0.37096	0.77572
0.25193	0.35669	0.30612	0.61635	0.63748	0.25474	0.35682	0.40566	0.14477	0.45762	0.32345	0.22693	0.2803	0.36074	0.32588	0.027368	0.37421	0.10393	-0.125	-0.125	0.49938	0.13575	0.42533	0.42528	0.8046	0.29403	0.16712	0.59013	0.5841
0.16111	0.22439	0.76313	0.37403	0.74551	0.016461	0.12253	0.29921	0.013636	0.061317	0.25696	0.1948	0.61315	0.11457	0.45123	0.027694	0.15935	0.23804	0.5	0.5	0.19657	0.041307	0.5009	0.42239	0.051684	0.096268	0.45973	0.54095	0.35791
0.21506	0.16093	1.1301	0.18484	0.78529	0.25851	0.55963	0.52769	0.088156	0.16948	0.5649	0.18297	0.9944	0.23904	0.49686	0.040356	0.18456	0.5396	0.25	0.375	0.060545	0.052025	0.36102	0.44362	0.11588	0.36767	0.11472	0.34326	0.69801
0.36571	0.57391	0.045423	0.39761	0.55361	0.48404	0.25785	0.0053679	1.4604	0.31774	0.1166	0.71541	0.29743	0.36434	-0.051483	0.65491	0.28018	0.087045	0.25	0.25	0.034393	0.24591	0.37626	1.1067	0.47804	0.84729	0.73433	1.2971	0.37534
0.40032	0.24049	1.4449	0.17105	1.0222	0.42655	0.17861	0.11042	0.57378	0.29022	0.037343	1.2258	0.77063	0.47115	0.24697	0.14754	0.13288	0.11408	0.25	0.25	-0.0098524	0.25332	0.45675	0.48609	0.05641	0.56307	0.24818	0.52119	0.30264
0.13623	0.23624	0.43155	0.15208	0.5926	0.085468	0.4264	0.15712	0.3455	0.016794	0.25341	0.61945	0.64428	0.79918	0.057828	0.37634	0.026225	0.26497	0.125	0.25	0.026169	0.16953	0.079539	0.975	0.083972	0.67623	0.66613	1.1461	0.83112
0.20573	0.40619	0.97368	0.38239	1.2315	0.037131	0.25343	0.026334	0.87026	0.095626	0.12847	0.64944	0.47862	0.48072	0.0045174	0.36098	0.31231	-0.028919	0.375	0.375	0.034557	0.21396	0.3488	0.44811	0.18877	0.45498	0.10722	0.41254	0.68153
0.55759	0.23644	1.0648	0.18907	0.85682	0.52489	0.56252	0.35679	0.11273	0.16521	0.43909	0.76611	0.97938	0.55066	0.4307	0.10474	0.083766	0.39014	-0.125	-0.125	0.51928	0.34301	0.62026	0.2285	0.78004	0.076056	0.72384	0.38816	0.038777
0.20375	0.050306	0.42558	0.0072819	0.31469	0.1512	0.69492	0.71996	0.13943	0.19732	0.88353	0.14173	0.69896	0.28404	1.017	0.11556	0.04844	1.009	0.125	0.25	0.11515	0.16424	0.60626	0.23026	0.061263	0.15251	0.39127	0.23214	0.48658
0.0045523	0.13202	0.51283	0.074678	0.80583	0.042306	0.1105	0.023928	0.81289	0.12561	0.030591	0.057873	1.2364	0.078337	0.26366	0.23573	0.08313	0.1031	0.375	0.375	0.035873	0.54754	0.40683	0.18829	0.12705	0.017467	-0.020244	0.25403	-0.56637
0.25125	0.23614	0.2203	0.32976	0.23734	0.13496	0.66881	0.54706	0.56709	0.1953	0.70918	1.2792	0.38419	1.0543	0.55183	0.1995	0.24158	0.4553	0.125	0.125	0.2367	0.5398	0.21584	0.45942	0.11788	0.19124	0.92578	0.50953	0.28387
0.054565	0.19436	0.29815	0.17342	0.69814	0.045989	-0.027065	0.51063	0.50493	0.010471	0.077773	0.065055	0.12594	0.041228	0.48726	0.072995	0.027245	0.3467	0.25	0.375	0.38112	0.4178	0.57052	0.46557	0.10145	0.32665	0.011245	0.47338	-0.40491
0.1179	0.056231	0.26989	0.034937	0.61349	0.23663	0.069181	0.42199	0.11596	0.09483	0.28038	0.24044	0.33068	0.11704	0.64513	0.14953	0.07642	0.27036	0.125	0.125	0.27782	0.15682	0.22988	0.029879	0.14038	0.048621	0.062918	0.021487	0.66628
0.036262	0.23269	0.37227	0.13816	0.53467	0.090115	0.084508	0.11592	0.24785	0.19124	0.10294	0.15167	0.49395	0.059861	0.08068	0.41047	0.0858	0.0096693	0.125	0.125	0.22799	0.26175	0.38748	0.44926	0.078511	0.24084	0.31607	0.64963	0.94212
0.20719	0.33865	0.19234	0.22862	0.58922	0.22549	0.05066	0.10049	0.31707	0.11989	0.033903	0.89918	0.084037	0.57041	0.2206	0.16404	0.14373	0.16924	0	0	0.12173	0.11673	0.366	0.53467	0.082994	0.66752	0.13287	0.51062	0.57141
0.21484	0.090596	0.11158	0.13422	0.11794	0.16214	0.021919	0.11226	2.1218	0.28046	0.040267	0.83718	0.26839	0.264	0.24935	1.2372	0.29572	0.20384	0.125	0.25	0.038669	1.929	0.19253	1.2538	0.25612	0.81023	0.040625	1.1904	0.58488
0.27383	0.12711	0.18814	0.097606	0.74229	0.22648	0.25816	0.4677	0.22162	0.26106	0.18618	0.13965	0.43861	0.61473	0.79691	0.13172	0.17378	0.20685	0.375	0.375	0.34115	0.21524	0.43536	0.15814	0.10986	0.13368	0.63644	0.076802	0.57368
0.098825	0.027347	0.40473	-0.0042158	0.085142	0.10603	0.42407	0.28736	0.027636	0.10788	0.24081	0.30088	0.055758	0.33978	0.25136	0.36572	0.034141	0.43093	0.375	0.375	0.14065	0.040066	0.58472	0.22191	0.071293	0.15395	0.91164	0.2379	0.78533
0.10074	0.35518	0.81113	0.36905	0.75945	0.13092	0.90788	0.85248	0.68647	0.05495	0.95425	0.26021	0.56096	0.43726	0.84293	0.50288	0.25956	0.57231	0.25	0.25	0.70317	0.74558	0.061016	0.45286	0.12993	0.31628	0.8759	0.49502	0.3837
0.28989	0.10141	0.59124	0.1439	0.57263	0.45977	0.24923	0.17576	1.2202	0.42758	0.28793	0.33468	1.5189	0.010834	0.34777	1.4189	0.054425	0.25029	0.25	0.25	-0.011497	0.85341	0.64071	0.21897	0.23888	0.24365	0.011223	0.20481	0.30642
0.28906	0.32237	0.65366	0.47731	0.38412	0.45752	0.13006	0.028336	0.10257	0.21439	0.097826	1.5682	0.71836	0.49019	-0.031096	0.12423	0.18218	0.064677	0	0	0.027485	0.15663	0.25038	0.28639	0.56745	0.07636	0.38449	0.52838	0.57317
0.32954	0.34166	1.0049	0.20837	0.60945	0.32034	0.77383	0.73549	0.29281	0.29313	0.81152	0.23317	1.2534	0.10425	0.7785	0.11914	0.12623	0.60087	0.25	0.375	0.46731	0.63146	0.79298	0.31474	0.19655	0.087274	0.35045	0.36911	0.42578
0.16674	0.29303	0.97577	0.27339	1.3852	0.17058	0.63836	0.75043	0.092402	0.13668	0.86272	0.083716	3.2325	0.19457	1.1564	0.054198	0.1966	1.0578	0.125	0.125	0.10035	0.15885	0.76195	0.72545	0.10869	0.46586	0.094583	0.46451	0.34757
1.4589	0.48457	0.15537	0.32713	0.049222	0.81909	0.30897	0.30732	0.085817	0.098574	0.32605	0.94918	0.25472	0.68632	0.27889	-0.0074265	0.25961	0.40702	0.125	0.125	0.10676	0.23495	0.54822	0.87363	0.43147	0.19295	0.1558	1.3147	0.60846
0.039507	0.10757	1.0511	0.083731	0.77977	0.030263	0.61952	0.83001	0.32665	0.11563	0.80651	0.060745	0.61946	0.053284	1.0584	0.41311	0.26479	0.85371	0.125	0.125	0.23539	0.46329	-0.023791	0.70723	0.11868	0.26725	0.28145	0.79011	0.24168
0.022335	0.0041768	0.29275	0.0070643	0.75564	0.045758	0.67212	0.66054	0.26364	0.014828	0.68939	0.024497	0.35359	0.033003	0.74024	0.23313	-0.0061644	0.35984	0.375	0.375	1.3988	0.13144	0.37118	0.20868	0.05796	0.06546	0.63568	0.30916	0.55189
0.15771	0.29036	0.60476	0.28248	1.0511	0.19197	0.72904	0.76387	0.093658	0.24007	0.7742	0.054531	0.18805	0.1422	0.84573	0.039276	0.14804	0.59049	0.125	0.125	0.15381	0.092901	0.81368	1.2068	0.084643	0.3876	0.041239	1.1099	0.60509
