Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.51385	0.32798	0.72703	0.2744	0.39257	0.64218	0.12682	0.20884	0.21531	0.41587	0.15022	0.084563	0.42992	0.070602	0.087705	0.083235	0.2833	0.022734	0.375	0.375	0.29755	0.31283	0.28698	0.24142	0.32752	0.036673	0.15781	0.32568	-0.073574
0.3112	0.1667	0.56567	0.20378	0.89887	0.36217	0.57044	0.23058	0.33682	0.16846	0.35035	0.16922	0.71097	0.13037	0.22452	0.062607	0.092992	0.31391	0	0.125	0.013643	0.15906	0.73772	0.45686	0.18045	0.30752	0.0802	0.59905	0.45767
1.3037	0.32611	1.2287	0.32155	1.073	1.4726	0.49393	0.85015	0.031557	0.4569	0.45586	0.36114	1.0393	0.039965	0.94247	0.23276	0.55301	0.71002	0.125	0.125	0.40444	0.054378	0.76378	0.24737	0.30312	0.15012	0.66468	0.41566	0.39095
0.12274	0.25811	1.2594	0.49046	0.60313	0.2177	0.20287	0.70281	0.093242	0.38525	0.21397	0.26947	0.34509	0.10577	0.58189	0.20566	0.28459	0.25234	0	0	0.15421	0.097039	0.36845	0.35717	0.20669	0.17761	0.30096	0.39651	0.69826
0.8938	0.25194	1.0116	0.036694	0.6764	0.41877	0.085212	-0.037628	0.24664	0.35165	0.02526	0.27626	1.1068	0.58824	-0.079771	0.21322	0.23931	-0.081069	0.25	0.25	0.23935	0.031205	0.21576	0.58218	0.9201	0.57314	0.046716	0.6778	0.1233
1.1557	1.1163	0.2154	1.1869	0.14003	1.4007	0.11836	0.31491	0.14861	1.0609	0.27391	0.56554	0.049288	0.49761	0.44328	0.032358	0.95356	0.36881	0	0	0.24453	0.11032	0.4493	1.1502	0.87799	1.2196	0.74297	1.3765	1.039
0.58171	0.44309	0.8188	0.23194	1.0475	0.42384	0.36842	0.26445	0.12526	0.27465	0.32565	0.7401	0.24072	0.4877	0.35195	0.14069	0.33736	0.47097	0.125	0.125	-0.0060442	0.0047773	0.4736	0.56811	0.16162	2.0435	0.23002	0.53466	0.72689
0.83391	1.0249	0.75705	0.86528	0.27316	0.89083	0.068868	0.060407	0.36177	0.39418	0.17257	0.68551	0.81757	0.85724	0.051381	0.19388	0.22968	-0.021907	0.25	0.25	0.1347	0.44887	0.27254	0.47211	0.41467	0.6157	0.2401	0.61644	0.53894
0.42428	0.20243	0.20364	0.19142	0.2837	0.44248	0.073578	0.20402	0.14018	0.10056	0.12139	0.19315	0.059621	0.30663	0.30353	0.2702	0.18882	0.20557	0.25	0.375	0.25541	0.18049	0.53725	0.2081	0.20791	0.086256	0.83801	0.27392	0.10134
0.39641	0.46411	0.54646	0.52825	1.0943	0.67379	0.557	0.4501	0.066283	0.6043	0.57794	0.27597	0.4109	0.17531	0.58114	0.24286	0.58951	0.4422	0.25	0.25	0.41377	0.10093	0.79526	0.16295	0.54203	0.14157	0.076804	0.2461	0.46498
