Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.32177	0.26701	0.25784	0.31625	0.54863	0.27612	0.69237	0.45254	0.78706	0.19765	0.43925	0.87249	0.75932	0.38358	0.37824	0.079335	0.20366	0.53604	0.375	0.25	-0.020919	0.62742	0.673	0.56423	0.032546	0.30785	0.24778	0.71427	0.89568
0.12393	0.44656	0.25617	0.48583	0.38218	0.19448	0.49242	0.67055	0.24967	0.19923	0.50498	0.67494	0.58397	0.39223	0.69044	0.96279	0.25868	0.58581	0.25	0.125	0.059581	0.16094	0.56909	0.65584	0.30703	0.21506	0.74091	0.97655	0.64332
0.051732	0.41538	1.0418	0.1938	0.35442	0.032481	0.43444	0.44256	0.15453	0.10739	0.43441	0.64532	1.799	1.0886	0.51861	0.27151	0.20203	0.62827	0.375	0.25	-0.012887	0.035676	0.43058	0.98039	0.093879	1.4278	0.4762	0.72319	0.95896
2.6406	2.3565	0.30046	1.9064	0.21427	2.2962	1.0469	0.72858	0.47938	1.5959	0.89903	1.2368	0.39704	1.4219	0.63622	0.36893	1.5372	0.94909	0	-0.125	0.039596	0.44402	-0.032675	1.5373	1.0216	0.41386	0.63596	1.6763	0.96361
0.52202	1.8737	0.37077	0.88555	0.21959	0.79448	0.038423	0.21133	1.2561	0.62414	0.11312	0.17435	0.60452	0.31251	0.19099	0.78761	0.84557	0.26208	0	-0.125	0.031751	0.34637	0.38865	0.91261	1.2002	1.1443	0.95708	0.8132	0.73512
0.21791	0.1568	0.41652	0.57155	0.35991	0.069456	0.26406	0.16844	0.065059	0.48802	0.19619	0.10451	0.60735	0.32717	0.26001	0.34599	0.83044	0.1335	0.375	0.25	0.26036	0.10342	0.53734	0.55405	0.48378	0.28153	0.25695	0.63073	0.44534
0.9113	0.43336	0.34222	0.2585	0.29908	0.68689	0.59093	0.85574	0.085576	0.41268	0.76603	0.27012	0.8404	0.22374	0.81926	0.23876	0.24661	0.90226	0.5	0.375	0.11655	0.05396	0.11855	0.23193	0.18678	0.22482	0.037036	0.31017	0.59048
0.75055	1.038	0.6182	1.1494	0.67844	0.74093	0.46477	0.40775	0.28183	0.35267	0.49099	0.87725	0.80615	1.1352	0.46623	0.23122	1.0883	0.29205	0.125	0	0.37336	0.16726	0.052095	0.27457	0.78349	0.20216	0.37423	0.38728	0.55987
0.32645	0.13052	0.20704	0.14213	0.53659	0.32158	0.82564	1.037	0.11247	0.080772	1.0268	0.71236	0.74579	0.85127	1.1453	0.12703	0.11632	1.2374	0.125	0	0.15838	0.1728	0.27307	0.26844	0.00096681	0.21266	0.30558	0.32492	0.56404
1.4222	1.0451	0.47256	0.62415	0.52327	0.85604	0.21205	0.11567	2.3683	0.41769	0.12653	1.2824	0.22433	0.68412	0.045399	1.5954	0.19721	0.23708	0	-0.125	-0.0226	0.32764	0.31989	0.55632	0.51819	0.56781	0.60778	1.1749	0.64241
0.39506	0.15377	0.66429	0.14215	0.33514	0.43526	0.6967	1.1354	0.074561	0.26677	0.68474	0.94147	1.6527	0.44187	1.2475	0.069055	0.10247	1.182	0.125	0	0.050616	0.11152	0.87467	0.57772	0.021787	0.42576	0.93255	0.45553	0.74192
2.0818	0.81201	0.59214	0.29514	0.25642	1.9929	0.13222	0.31739	0.2177	0.7615	0.24839	0.20499	0.086823	0.1893	0.3835	0.42256	0.15601	0.24953	0.125	0	0.1201	0.20094	0.26622	0.55661	0.9258	0.4136	0.87904	0.59425	0.99892
0.99007	1.8913	0.56675	0.84697	0.90001	0.53278	0.22955	0.21527	1.1538	0.46024	0.13887	0.49868	0.35696	0.66016	0.31251	0.82977	0.30821	0.096472	0.375	0.25	0.54444	0.89463	0.26837	0.29401	0.49791	0.34193	0.019153	0.38867	0.50279
