Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
3.6448	2.9764	0.50569	1.8197	0.6296	2.386	0.55793	0.30178	0.24051	1.7237	0.4407	1.0892	0.4729	0.56872	0.19787	0.26515	1.3476	0.30997	0	-0.125	0.11224	0.15023	0.27596	0.7741	1.3755	0.53614	0.58293	0.49526	0.944
0.23787	0.48892	0.12584	0.41886	-0.0106	0.12712	0.7301	0.5815	0.16824	0.30739	0.67452	0.41817	-0.0091047	0.35754	0.64076	0.34372	0.24906	0.56032	0.125	0	0.50438	0.14122	0.41916	0.40544	0.42491	0.46207	0.34562	0.58213	0.7587
0.51454	2.3378	0.85767	1.9594	1.1129	0.19768	0.11342	-0.088046	0.28735	0.31932	-0.035948	0.6492	0.94687	0.71094	-0.1779	0.34294	1.5574	-0.0046674	0.25	0.125	0.0058239	0.20993	0.041227	1.3771	1.0972	0.71085	0.24831	0.71104	0.48042
0.51166	0.53041	0.44398	0.45272	0.75976	0.55675	0.73868	0.5547	1.2551	0.66788	0.56354	0.28285	0.58741	0.10443	0.43415	0.1504	0.23029	0.64965	0.25	0.125	0.20666	1.6138	0.42695	0.24869	0.57801	0.35013	0.66064	0.2606	0.010428
1.9296	2.0287	0.86332	0.94352	0.55059	1.5374	0.5337	0.26528	0.20804	1.1063	0.45046	0.44784	0.11796	0.52628	0.37357	0.091162	0.78722	0.34966	0.375	0.25	0.38544	0.26888	0.82481	0.34926	0.92197	0.052092	0.14946	0.575	0.27503
3.7481	3.4962	0.25999	2.6055	0.98098	1.7969	0.26802	0.12049	0.095203	0.46323	0.17799	0.99779	0.47443	1.0674	0.074767	0.137	1.4641	0.20027	0.25	0.125	0.077475	0.15666	-0.012321	1.02	1.1364	0.64546	0.54969	0.72559	0.72159
1.2291	1.6393	0.24637	1.2196	0.20306	0.87427	0.75955	0.4793	0.11026	0.3559	0.62082	0.24142	0.18515	0.55375	0.55326	0.056686	0.93333	0.77377	0.25	0.125	0.22696	0.12947	0.39549	0.61136	0.90677	0.41851	0.57869	0.61564	0.88209
0.4585	1.6562	0.5348	1.2391	0.47637	0.75683	0.16188	4.9006e-05	0.16486	0.45293	0.056394	1.5729	0.80713	0.79124	-0.011267	0.073225	0.72752	0.058785	0.25	0.125	0.17983	0.28494	0.078471	0.44668	0.93513	0.25769	0.22776	0.40702	0.2903
0.55399	0.61202	0.29101	0.38464	0.52977	0.33535	0.14431	0.36511	0.20428	0.27204	0.30953	0.51089	0.71208	0.16569	0.66307	0.065117	0.30488	0.65222	0.5	0.375	0.32261	0.18979	0.31012	0.65268	0.233	0.44873	0.38531	0.59313	0.23906
1.4456	1.9236	0.56984	1.6374	0.37698	0.86099	0.42708	0.31897	0.4547	0.81528	0.37193	1.4493	0.26185	0.82703	0.20289	0.56697	1.3311	0.38299	0.25	0.125	0.10148	0.22877	0.475	1.2251	1.1014	0.29726	0.70297	1.2576	0.66373
