Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.59886	2.2333	0.28437	1.8761	0.61137	0.23918	-0.07915	-0.16994	0.97988	0.42182	-0.11988	0.53836	0.059991	0.40438	-0.32525	0.78461	0.84354	-0.15231	0.125	0.11111	0.045107	0.24392	0.019926	1.0382	0.83496	1.2009	0.24996	0.84715	0.12208
0.88205	0.86616	0.36683	0.8086	0.9024	0.80782	-0.0056247	0.8871	0.38512	0.55415	0.28364	0.26282	0.25246	0.66045	0.97601	0.66399	0.60995	0.71059	0.125	0.11111	0.1046	0.23979	0.56512	0.67287	0.24594	0.4855	0.27268	0.66814	0.63783
1.5358	0.48885	0.14867	0.60853	0.063994	1.199	0.03054	0.52081	0.24499	0.15577	0.11664	0.5452	0.18251	0.41378	0.39533	0.53472	0.45281	-0.088153	0.375	0.33333	0.34547	0.16403	0.38119	0.51743	0.46243	0.49708	0.77697	0.73694	0.61831
0.15912	0.49792	0.21114	0.38599	0.97891	0.115	0.3472	0.19905	0.75898	0.13803	0.12741	0.20933	0.48298	0.48041	0.25807	0.53804	0.41133	0.30957	0.375	0.33333	-0.0011838	0.58749	0.67053	0.49	0.22161	0.23671	0.18241	0.91398	0.52282
0.25101	0.03536	0.12155	0.12516	0.38475	0.25292	0.41156	0.25559	0.68694	0.097146	0.17645	0.59533	0.18966	0.29425	0.15183	0.56004	0.086599	0.38868	0.25	0.22222	-0.012567	0.30638	0.59272	0.25285	0.18978	0.23416	0.46017	0.44216	0.55535
0.31683	1.8406	0.98128	2.6785	0.78557	1.6037	0.23148	0.031274	0.24177	1.6397	0.096106	0.42387	0.74245	0.44275	0.07423	0.49083	1.9522	-0.11072	0.125	0.22222	0.39555	0.20348	0.10425	0.36718	1.2192	0.18914	0.11147	0.72775	0.41147
1.2785	0.93233	0.65229	0.76001	0.82693	1.1073	0.41276	0.24921	0.2934	0.47476	0.40536	0.13982	0.37279	0.050806	0.23175	0.14405	0.48351	0.27883	0.125	0.22222	0.18701	0.14397	-0.044077	0.63816	0.55012	0.63162	0.55076	0.72455	0.49862
0.46913	0.67284	0.28112	0.45473	0.1141	0.31098	0.64414	0.65082	0.064504	0.2539	0.66049	0.31751	0.19652	0.059227	0.57185	0.014387	0.23437	0.52975	0.375	0.33333	0.26761	0.050953	0.49095	0.84396	0.46653	0.86484	0.83577	0.92953	0.81361
0.48187	1.7591	0.20888	1.585	0.71487	0.4357	0.0061948	0.21424	0.62614	0.45953	0.05882	1.6286	0.25291	2.6534	0.092421	0.41345	1.1828	0.25216	0.25	0.22222	0.016574	0.42281	0.35073	2.0691	0.84511	1.3425	0.30284	0.7286	0.60516
0.91157	0.62339	0.76561	0.25348	0.74747	0.52352	0.28403	0.21381	0.19618	0.026772	0.23434	0.20153	0.67813	0.2039	0.13299	0.40227	0.19981	0.034718	0.5	0.44444	0.50164	0.12637	0.34689	0.23529	0.1938	0.23772	0.36724	0.32255	0.18632
