Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.65679	0.26306	0.40655	0.23264	0.4102	0.70466	0.39034	0.24833	0.3131	0.69623	0.21782	1.7567	0.2336	0.1424	0.19952	0.33863	0.27965	0.39812	0	0	0.087101	0.23538	0.40288	0.18003	0.61566	0.2926	0.73633	0.16808	0.65146
0.050751	1.3657	0.22295	1.7308	0.68108	0.030144	-0.17145	-0.066406	0.28714	0.23425	-0.23877	0.14992	0.53339	0.89591	-0.28247	1.1771	0.84774	-0.24177	0.14286	0.125	0.20053	0.25107	0.15303	0.48765	0.63595	0.11773	0.35066	0.47726	0.17738
0.34381	0.66405	0.42272	0.70804	0.35908	0.10194	0.40447	0.11201	0.067427	0.21912	0.18761	0.53307	0.51156	0.26733	0.040506	0.10699	0.55837	0.22112	0.28571	0.25	0.038912	0.094933	0.70935	0.36516	0.59547	0.31977	0.51621	0.36525	0.39924
0.058109	0.18624	0.29476	0.10138	0.10171	0.063384	0.35437	0.36146	0.14843	0.24774	0.28612	0.056196	0.30008	0.18851	0.49342	0.054044	0.23213	0.51225	0	0	0.22446	0.15512	0.2655	0.28522	0.22225	0.32627	0.79261	0.29136	0.39121
0.3651	0.19557	0.18795	0.2893	0.31501	0.16091	0.41905	0.27565	0.22479	0.082827	0.3194	0.22344	0.26346	0.35094	0.36257	0.10952	0.10723	0.34894	0.14286	0.125	0.2138	0.25261	0.61949	0.26627	0.20204	0.36368	0.84655	0.35689	0.92135
0.47644	0.37066	0.2649	0.33524	0.27998	0.36295	0.6335	0.57627	0.25859	0.3794	0.62204	0.00024896	0.36832	0.13764	0.52124	0.2027	0.30281	0.71907	0	0	0.24265	0.16325	0.26165	0.37185	0.3513	0.5986	0.73954	0.42351	0.86708
0.20331	0.19994	0.47932	0.1927	0.050803	0.2743	0.66416	0.51293	0.046076	0.19262	0.52456	0.73442	0.21971	0.74697	0.62438	0.0032118	0.19121	0.63828	0	0	0.17774	0.054301	0.80818	0.41454	0.30954	0.34865	0.67876	0.42238	0.87351
0.11432	0.51027	0.1318	0.49451	0.41329	0.088186	0.22943	0.070997	0.049593	0.10851	0.12846	0.43379	0.35821	0.82406	0.29314	0.069623	0.15492	0.31003	0	0	0.18282	0.13536	0.26659	0.41352	0.28031	0.42609	0.36097	0.32413	0.68788
0.39382	0.40179	0.37131	0.2788	0.17733	0.26475	0.11186	0.50455	0.53996	0.12456	0.32855	0.071067	0.2149	0.00096576	0.6569	0.10965	0.15216	0.36783	0.14286	0.125	0.69733	0.61528	0.64788	0.32284	0.17782	0.23507	0.91356	0.25816	0.57248
0.35482	0.3283	0.16552	0.19563	0.23249	0.23872	0.24472	0.19621	0.057358	0.22184	0.21588	0.2079	0.11176	0.18406	0.31024	0.029508	0.23821	0.20397	0.28571	0.25	0.28969	0.059508	0.27825	0.11343	0.26296	0.046567	0.94655	0.12412	-0.031845
0.88545	0.94713	0.064283	0.47917	0.30298	0.62779	0.51358	0.52796	0.33993	0.53324	0.44333	0.52751	0.55107	1.6396	0.56311	0.24534	0.1814	0.68339	0.14286	0.125	0.16643	0.17185	0.81224	0.87823	0.37588	1.076	0.3292	1.1001	0.94641
0.40199	0.6653	0.18078	0.54443	0.019982	0.29119	0.48393	0.40057	0.23653	0.22439	0.45529	0.48634	0.13093	0.4395	0.43383	0.098562	0.35128	0.37525	0.14286	0.125	0.2556	0.24187	0.40544	0.26511	0.4374	0.25916	0.57266	0.23529	0.80967
0.16119	1.3651	0.24486	0.90281	0.7756	0.26961	0.10133	0.18663	0.16413	0.46828	0.17566	0.13726	0.50609	1.5309	0.17591	0.25055	0.69671	0.095044	0.14286	0.125	0.65636	0.171	0.52629	0.46688	0.62377	0.2659	-0.019342	0.53144	0.89352
0.89527	0.3519	0.66709	0.26655	0.29524	0.89865	0.23845	0.072548	0.25691	0.26723	0.16501	0.55329	0.82851	0.30059	0.044337	0.27036	0.056093	0.07111	0.42857	0.375	0.076939	0.13307	0.039114	0.25342	0.66959	0.045722	0.065888	0.33234	0.53719
0.20093	0.36763	0.39694	0.61613	0.025434	0.1484	0.51134	0.48475	0.25278	0.54519	0.45736	0.41565	0.33284	0.98516	0.30631	0.20128	0.91341	0.42598	0	0	0.12414	0.18989	0.41168	0.37138	0.66363	0.32547	0.73308	0.40125	0.61848
1.3927	1.1628	0.40967	0.73572	0.43399	1.2369	-0.041856	0.038834	0.073115	0.64039	-0.053398	0.88196	0.096803	0.37271	-0.019744	0.042768	0.60079	-0.12367	0.42857	0.375	0.078742	0.094937	0.22675	0.26187	0.53308	0.4668	0.3467	0.19766	0.86388
0.33806	0.33507	0.78198	0.2172	0.066132	0.17482	0.094179	-0.034042	0.35757	0.13589	0.078444	0.063939	0.30379	0.11564	-0.02643	0.22064	0.063452	0.042038	0.42857	0.375	0.077267	0.22582	-0.051608	0.44031	0.48848	0.58508	0.066497	0.66175	0.54883
0.22089	0.018934	0.056843	0.11784	0.38475	0.25669	0.66587	0.6405	0.14324	0.10243	0.5872	0.32802	0.68889	0.13249	0.60735	0.027593	0.10344	0.60808	0.42857	0.375	0.24937	0.12498	0.71965	0.22717	0.19612	0.23077	0.031776	0.29487	0.83984
0.70512	0.29778	0.32419	0.22448	0.13735	0.55139	0.60341	0.57497	0.18936	0.094557	0.62082	0.18247	0.36656	0.14056	0.62908	0.44611	0.029932	0.46484	0	0	0.34772	0.6356	0.50113	0.27866	0.27494	0.24641	0.41051	0.31059	0.55826
0.96854	0.19723	0.68131	0.28233	0.2624	0.61401	0.52828	0.54041	0.14279	0.22791	0.55884	0.22738	0.19505	0.1906	0.68037	0.43015	0.40017	0.40103	0.28571	0.25	0.45917	0.13105	0.68725	0.29151	0.3664	0.1841	0.61669	0.3104	0.81304
1.8497	0.24172	0.18549	0.076332	0.11437	2.117	0.36309	0.31572	0.29779	1.4665	0.23382	0.173	0.27836	0.32405	0.42983	0.034007	0.32196	0.38254	0	0	0.17381	0.26479	0.51852	0.26493	0.90716	0.59282	0.76147	0.32424	0.58028
0.44938	0.66844	0.35963	0.41104	0.45478	0.23099	0.34806	0.3593	0.53538	0.25928	0.38937	0.45619	0.22328	0.40806	0.35048	0.17005	0.15412	0.086863	0.57143	0.5	0.12791	0.55562	0.1376	0.52456	0.29891	0.4476	0.46044	0.50701	0.46197
0.26008	0.80653	0.26239	0.84663	0.088079	0.23573	0.68461	0.58038	0.09774	0.31048	0.658	0.057861	0.45484	0.17401	0.50895	0.14395	0.67277	0.57521	0.14286	0.25	0.15725	0.088506	0.2391	0.6409	0.44714	0.45461	0.64914	0.61984	0.72495
1.0894	0.31753	0.65594	0.14431	0.81357	0.77038	0.52123	0.66129	0.092239	0.4501	0.57874	0.21222	0.28013	0.24035	0.85062	0.032046	0.41317	0.79243	0.42857	0.375	0.15266	0.099654	0.30971	0.34484	0.26743	0.32095	0.024599	0.46535	0.68382
0.54258	0.7673	0.47586	0.7442	0.19586	0.48864	0.67436	0.43422	0.062387	0.56316	0.44117	0.50316	0.12777	0.36034	0.16523	0.26671	0.73918	0.37755	0.14286	0.25	0.050058	0.058294	0.38275	0.97787	0.57183	0.90645	0.63568	0.8103	1.0703
0.18695	0.41472	0.24103	0.46695	0.53172	0.023832	0.083412	0.31132	0.088072	0.14227	0.1976	0.13738	0.082636	0.21144	0.25965	0.014876	0.3058	0.24792	0.42857	0.375	0.012195	0.10216	0.33616	0.3136	0.21993	0.3505	0.37674	0.33318	0.66067
0.27711	0.22867	0.37318	0.057981	0.64035	0.18557	0.32705	0.087329	0.11052	0.40618	0.20237	0.37413	0.14579	0.041755	0.10576	0.080655	0.23408	0.22509	0	0	0.20905	0.016654	0.26792	0.39724	0.28122	0.64367	0.66196	0.41507	0.79774
