Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.18403	0.0076476	0.83398	0.035864	0.65308	0.23633	0.53829	0.60968	-0.0028811	0.07873	0.62397	0.035611	0.17452	0.0092911	0.76915	0.11602	0.06316	0.58339	0.125	0.11111	0.29604	-0.0063558	0.27803	0.095219	0.075405	0.11217	-0.01348	0.083644	0.67125
0.26031	0.023957	0.59286	0.039221	0.71413	0.30461	0.8688	0.6721	0.075206	0.041406	0.82187	0.13113	0.33966	0.094011	0.79561	0.21539	0.035427	0.27434	0.25	0.22222	0.46611	0.10403	0.69556	0.086175	0.065834	0.056914	-0.011575	0.15707	0.52612
0.011522	0.077728	0.40398	0.092962	0.32192	0.052193	0.1602	0.097548	0.19374	0.036927	0.13995	0.022698	0.026036	0.060047	0.1562	0.15012	0.17493	0.15737	-0.125	-0.11111	0.16526	0.092304	0.27055	0.22885	0.14449	0.1882	0.5939	0.19914	0.29866
0.016304	0.0067796	0.64877	0.014062	0.76432	0.034171	0.91563	0.78302	0.27814	0.10419	0.82806	0.11463	0.30102	0.069501	0.81036	0.25724	0.050071	0.1584	-0.125	-0.11111	1.1123	0.30151	0.873	-0.011123	0.037479	0.020762	0.01651	-0.002609	0.42903
0.1395	0.018145	0.069004	0.018804	0.30316	0.089581	0.74258	0.666	0.03584	0.1207	0.78923	0.2159	0.17897	0.040358	0.83073	0.075942	0.040605	0.72533	-0.125	-0.11111	0.59337	0.048309	0.23598	0.07688	0.077595	0.12302	0.789	0.039029	0.47952
0.001809	0.045217	0.75997	0.055817	0.25839	0.0088785	0.50547	0.44645	0.10564	0.015111	0.52673	0.039742	0.68604	0.089273	0.73367	0.10227	0.0061136	0.51258	0.375	0.33333	0.24282	0.12796	0.95223	0.28407	-0.017896	0.30688	0.52307	0.2822	0.52254
0.013219	0.0031706	0.73778	0.018273	0.18776	0.050137	0.42803	0.33578	0.074714	0.091287	0.48918	0.089022	0.32939	0.046859	0.5088	0.067521	0.02287	0.16373	0.125	0.22222	0.74934	0.013719	0.18499	0.033661	0.055016	0.097785	0.3893	0.020629	0.53169
0.059421	0.0018277	0.70729	0.010029	0.083469	0.060026	0.51266	0.6073	0.33463	0.066273	0.43127	0.048526	0.72141	0.0184	0.82227	0.061652	0.030751	0.614	0.25	0.22222	0.78494	0.2789	0.61569	0.22078	0.0080562	0.22541	0.45377	0.21845	0.46252
0.077133	0.11771	0.39956	0.1347	0.11253	0.10501	0.60343	0.78006	0.0055172	0.10055	0.62174	0.070042	0.077696	0.24294	0.90499	0.051634	0.072266	0.42923	-0.125	0	0.84353	0.030285	0.56362	0.087977	0.097386	0.095984	0.62217	0.088762	0.23351
0.17204	0.033533	0.41904	0.022826	0.30245	0.20198	0.26206	0.62918	0.32149	0.09535	0.51883	0.051206	0.42869	0.01872	0.86709	0.23744	0.037155	0.45494	0.125	0.22222	0.75958	0.41099	0.6166	-0.011559	0.099401	0.0079631	0.80348	0.012975	0.4545
0.056196	0.039647	0.13157	0.030234	0.40918	0.10049	0.62958	0.88341	0.2847	0.099362	0.61413	0.098949	0.2177	0.25532	0.87865	0.025114	0.0080959	0.86368	0.375	0.33333	0.65381	0.26723	0.60671	0.077207	0.083062	0.078338	0.72095	0.069751	0.77972
0.00090808	0.0094638	1.213	0.024906	1.2756	-0.0015073	0.20636	0.52992	0.21204	0.039487	0.37881	0.053913	0.83475	0.014137	0.80856	0.08137	0.059824	0.18729	-0.125	0	1.1464	0.34375	0.37839	0.12131	0.11077	0.10619	0.54938	0.21138	-0.078893
-0.0038058	0.02956	0.73543	0.03547	0.31704	0.00037487	0.94481	0.84979	0.034266	0.049847	0.89528	0.016633	0.25112	0.065906	0.89195	0.048043	0.092677	0.70198	0.125	0.11111	0.54217	0.048937	0.60962	0.36544	0.038444	0.33359	0.59589	0.26493	0.75396
0.13284	0.025912	0.15105	0.016018	0.14519	0.14693	0.29017	0.35144	0.0047407	0.15932	0.37712	0.15654	0.10354	0.067255	0.59401	0.40561	0.0445	0.16562	0.375	0.33333	0.78611	0.080254	0.51317	0.33304	0.13885	0.19955	0.77201	0.48637	0.6868
0.18344	0.10872	0.18024	0.12624	0.19823	0.15861	0.90164	0.85523	0.27067	0.025814	0.94521	0.055923	0.13016	0.07541	0.914	0.096546	0.10044	0.59656	0.125	0.11111	1.066	0.28484	0.31405	-0.0057047	0.14044	0.028494	0.62191	0.014566	0.44129
0.05512	0.0085803	0.35252	0.016905	0.50177	0.11278	0.51662	0.53256	0.11172	0.18934	0.63339	0.06207	0.26727	0.059195	0.8068	0.1134	0.031473	0.45459	0.125	0.11111	0.6293	0.16076	0.44094	0.084481	0.084907	0.07307	0.49455	0.13198	0.24659
0.023665	0.11779	0.052059	0.11259	0.3336	0.015905	0.31759	0.9293	0.3442	0.051527	0.63519	0.096331	0.10131	0.17279	0.94615	0.064974	0.059715	0.43994	0.375	0.33333	1.1682	0.39375	0.62453	0.32011	0.075191	0.17536	0.75238	0.38504	0.32549
0.10308	0.022542	0.23791	0.028646	0.45433	0.16374	0.31207	0.36248	0.073051	0.16891	0.37242	0.30071	0.14946	0.21029	0.61387	0.23892	0.028924	0.40369	0	0	0.291	0.038324	0.29499	0.19594	0.1142	0.22481	0.80609	0.15189	0.29654
0.030985	0.17636	0.25854	0.23143	0.70067	0.030201	0.10645	0.52266	0.11514	0.051498	0.33738	0.19455	0.081501	0.16768	0.83917	0.17512	0.25128	0.47135	0.125	0.11111	0.51262	0.10494	0.58308	0.41851	0.099824	0.29195	0.33607	0.34763	0.3655
0.16924	0.0012727	0.13659	-0.0018276	0.69021	0.19589	0.68493	0.67088	0.28976	0.15387	0.70437	0.14746	0.34861	0.048015	0.82075	0.19119	0.059028	0.60855	0.125	0.11111	0.6152	0.26579	0.5494	0.19386	0.13448	0.14869	0.024384	0.18378	0.2144
0.31421	0.068772	0.40999	0.075791	0.80278	0.35832	0.39696	0.43393	0.079018	0.18475	0.19785	0.91368	0.52304	0.094429	0.66671	0.10972	0.036581	0.34	0.125	0.11111	0.28849	0.072801	0.84432	0.14038	0.11627	0.17763	0.16068	0.15808	0.60779
0.055721	0.10874	0.17616	0.14668	0.050025	0.093821	0.96501	1.0869	0.040889	0.04469	1.117	0.081819	0.2613	0.052926	0.96488	-0.0083958	0.1237	0.73082	0	0	0.82708	0.024062	0.27818	0.067935	0.11068	0.062142	0.50679	0.096731	0.63401
0.0083593	0.063431	0.01211	0.088116	0.16052	0.017723	1.0456	0.93745	0.094596	0.011246	1.0623	0.029921	0.17909	0.040007	1.0284	0.18982	-0.0058601	0.54876	0	0	2.4457	0.094596	0.17757	-0.030076	0.11297	-0.0086405	0.60468	0.00054971	0.17459
0.12613	0.01435	0.44401	0.012341	0.22438	0.14363	0.43341	0.72031	0.1007	0.11009	0.42697	0.039059	0.17313	0.032849	0.78176	0.29285	0.017914	0.24838	0.125	0.11111	0.85797	0.10801	0.54132	0.1129	0.060401	0.10276	0.015749	0.1204	0.4137
0.077401	0.055243	0.45566	0.091852	0.6133	0.06846	0.6978	0.84148	0.51183	0.054063	0.74482	0.0072768	0.88525	0.016089	1.0123	0.17684	0.18657	0.73116	0	0	0.21881	0.42474	0.88552	0.36187	0.065233	0.2325	0.19721	0.35923	0.7693
0.37685	0.5482	0.12741	0.72647	0.4297	0.33237	0.1457	0.34318	1.4244	0.16821	0.18215	0.5934	0.26047	0.99118	0.26337	0.25503	0.84322	0.12244	0	0	0.13856	2.2433	0.60788	0.69625	0.68127	0.71999	0.35586	0.78274	0.81337
