Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.21015	0.023479	0.18651	0.064844	0.11787	0.24405	0.55623	0.49222	0.15828	0.069162	0.5167	0.034998	0.35119	0.03257	0.48213	0.078555	0.04321	0.23775	0.375	0.33333	0.42267	0.13471	0.50186	0.084159	0.090976	0.17309	0.77121	0.13751	0.54132
0.052657	0.18863	0.35704	0.18126	0.077996	0.079437	0.37824	0.42752	0.091563	0.094491	0.46202	0.048214	0.28853	0.16351	0.62473	0.0276	0.16867	0.55421	0.375	0.33333	0.26104	0.090983	0.58838	0.39749	0.1965	0.39105	0.71363	0.44837	0.74027
0.33886	0.25614	0.14015	0.2179	0.29159	0.27362	0.46912	0.32686	0.075728	0.42058	0.48441	0.14613	0.18089	0.199	0.48542	0.044668	0.17196	0.41061	0.625	0.55556	0.32275	0.061124	0.12522	0.41071	0.27372	0.60138	0.77764	0.39283	0.67468
0.18812	0.31285	-0.0050617	0.31492	0.1532	0.18308	0.64007	0.61585	0.090735	0.093189	0.77462	-0.0020545	0.14135	0.0062925	0.84426	0.12069	0.13145	0.12914	0.375	0.44444	0.87375	0.034168	0.46846	0.070049	0.29293	0.10876	0.43549	0.061041	0.449
0.026615	0.020949	0.2573	0.046564	0.23089	0.0067641	0.5168	0.43004	0.02888	0.041467	0.50296	0.01122	0.19085	0.0084172	0.51045	0.17164	0.058312	0.38742	0.375	0.33333	0.34994	0.096909	0.45902	0.080746	0.13017	0.07924	0.84009	0.047011	0.61523
0.26092	0.20306	0.014341	0.22115	-0.01372	0.30412	0.61117	0.74763	0.033051	0.30502	0.82161	0.045433	0.3068	0.029384	0.92174	0.31334	0.26388	0.51949	0.25	0.22222	0.90313	0.11271	0.4445	0.1033	0.37065	0.075401	0.30541	0.14327	0.73742
0.24845	0.32889	0.39495	0.40507	0.30634	0.28987	0.26358	0.19349	0.51562	0.26034	0.30023	0.028346	0.6456	0.12616	0.44225	0.069516	0.37072	0.16041	0.5	0.44444	0.39401	0.76848	0.47898	0.72331	0.3285	0.70084	0.58076	0.70699	0.68492
1.0915	0.33493	0.12343	0.32416	0.63689	1.2628	-0.11654	-0.065227	0.40337	0.54349	-0.052503	0.2638	0.51778	0.88607	-0.062768	0.68235	0.4374	-0.1487	0.25	0.22222	0.11374	0.14826	0.17209	0.63899	0.92618	0.15739	0.19212	0.80205	0.47991
0.022888	0.38201	0.26368	0.35781	0.28628	0.029164	0.44969	0.52793	0.24038	0.024513	0.62123	0.0045739	0.19867	0.058365	0.66165	0.18694	0.19616	0.24214	0.375	0.44444	0.72975	0.26085	0.22355	0.15921	0.26507	0.15829	0.37395	0.18427	0.45525
0.42022	1.1365	0.79185	1.1224	0.12968	0.56431	0.44232	0.32085	0.28749	1.1872	0.40489	0.44499	0.1194	0.24527	0.33939	0.3643	0.9124	0.45667	0.125	0.11111	0.14809	0.34202	0.35999	0.55676	0.9758	0.36172	0.67497	0.5044	0.15674
0.17868	0.27061	0.073279	0.26305	0.14764	0.20382	0.092176	0.45933	0.24496	0.07335	0.32039	0.076807	0.080645	0.071326	0.68894	0.19214	0.11741	0.39082	0.125	0.33333	0.78044	0.22301	0.47601	0.3905	0.16432	0.30479	0.95577	0.35771	0.29124
0.20005	0.50762	0.2014	0.48147	0.24211	0.25768	0.16162	0.36003	0.25952	0.44405	0.20731	0.098378	0.38391	0.18489	0.41686	0.37213	0.24493	0.27227	0.25	0.33333	0.47262	0.11627	0.19885	0.3186	0.33416	0.2758	0.63914	0.36117	0.24201
0.16515	0.035125	0.43873	0.057539	0.2649	0.18936	0.78621	0.72548	0.16312	0.22939	0.84764	0.071937	0.65275	0.022639	0.83194	0.21778	0.17689	0.43154	0.625	0.55556	0.55986	0.26965	0.34654	0.16277	0.17579	0.10545	0.2721	0.19211	0.74094
0.052039	0.044687	0.066056	0.030445	0.14075	0.036828	0.71689	0.68352	0.40231	0.023255	0.80684	0.23279	0.38834	0.095393	0.93218	0.45454	0.077734	0.49359	0.5	0.55556	0.21568	1.0188	0.49828	0.19209	0.082604	0.17219	0.0716	0.2062	0.7049
0.22165	0.10388	0.093409	0.089189	0.075588	0.1716	0.5247	0.51102	0.23287	0.1664	0.57172	0.04672	0.14388	0.091999	0.70591	0.1078	0.19246	0.49926	0.375	0.44444	0.58907	0.23848	0.96433	0.29975	0.21089	0.21742	0.36305	0.35535	0.05861
0.10263	0.013216	0.73549	0.021831	0.40545	0.14136	0.27574	0.69407	0.18577	0.036749	0.231	0.014572	0.75501	0.045677	0.73289	0.17037	0.11114	0.2144	0.375	0.33333	0.58594	0.22582	0.4713	0.13564	0.15481	0.13609	0.48701	0.13418	0.762
-0.0098684	0.071447	0.065283	0.1012	0.24397	0.010295	0.55693	0.53284	0.072167	0.048634	0.51756	0.012085	0.063888	-0.00082694	0.81555	0.14541	0.066526	0.45843	0.625	0.66667	0.91801	0.071086	0.57237	0.15369	0.11269	0.12589	0.85642	0.14925	0.43314
0.16797	0.077414	0.039915	0.064782	0.11608	0.21787	0.56845	0.67486	0.16267	0.14705	0.51113	0.033104	0.06112	0.043778	0.8319	0.089364	0.016546	0.74543	0.5	0.44444	0.55766	0.20261	0.59818	0.024662	0.18072	0.071597	0.21544	0.024652	0.5213
0.44459	0.17026	0.067346	0.13778	0.23734	0.39987	0.3442	0.57751	0.064743	0.1013	0.26013	0.35624	0.11499	0.080249	0.73464	0.053209	0.046854	0.50765	0.625	0.55556	0.43222	0.0707	0.54008	0.10592	0.30673	0.14506	0.96	0.1074	0.68509
0.028346	0.43666	0.18437	0.37983	0.42357	0.030656	0.57691	0.54566	0.24503	0.035093	0.59056	0.063867	0.26351	0.059164	0.79031	0.096531	0.12958	0.66316	0.375	0.44444	0.49558	0.24152	0.074042	0.20236	0.25937	0.14556	0.46109	0.2134	0.80971
0.12262	0.0088975	0.30796	0.020474	0.011536	0.1613	0.81276	0.73433	0.52485	0.08681	0.63971	0.059769	0.12004	0.072016	0.84596	0.62231	0.030022	0.77189	0.625	0.55556	0.53011	0.48856	0.8241	0.099355	0.13976	0.11489	0.84984	0.063415	0.52517
0.050896	0.16148	0.49757	0.14967	0.86527	0.075463	0.60123	1.1617	0.25797	0.36777	0.63699	0.021826	0.69786	0.21118	1.0639	0.099888	0.21134	0.84162	0.25	0.33333	0.22725	0.34493	0.67923	0.22621	0.35466	0.15317	0.45589	0.21097	0.68873
