Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.098346	0.14125	0.39721	0.15686	0.0097578	0.15109	0.49285	0.54683	0.017615	0.1123	0.49435	0.11315	0.15535	0.05675	0.57984	0.11749	0.029521	0.47902	0	-0.125	0.50541	0.0052899	0.36026	0.1423	0.10492	0.17599	0.80488	0.14353	0.46897
0.055521	0.33126	0.43126	0.21856	0.56113	0.030097	0.51288	0.25469	0.50811	0.12078	0.27191	0.62733	0.46021	0.11434	0.46949	0.065915	0.23198	0.38884	0.125	0	0.21778	0.31467	0.95638	0.31951	0.20706	0.30012	0.89432	0.21869	0.93154
0.051264	0.090421	0.72897	0.09918	0.82532	0.02301	0.29375	0.18533	0.1074	0.03182	0.22672	0.26444	0.21112	0.020643	0.3445	0.14518	0.14504	0.12229	0.375	0.25	0.25999	0.052949	0.27256	0.079614	0.1725	0.11723	0.19636	0.054807	0.76632
0.067474	0.073072	0.37466	0.087683	0.17398	0.084337	0.58595	0.31656	0.15088	0.15018	0.38312	0.13693	0.16152	0.19608	0.34405	0.14677	0.17889	0.35729	0.125	0	0.13989	0.09445	0.8985	0.18739	0.25178	0.4635	0.87716	0.31861	0.55789
0.37591	0.34506	0.1195	0.20251	0.21488	0.50435	0.63436	0.51569	0.04108	0.87275	0.55157	0.37262	0.26769	0.17027	0.56885	0.17186	0.31949	0.33443	0	-0.125	0.41949	0.050493	0.30093	0.13478	0.35596	0.30218	0.64433	0.099851	0.62204
0.25988	0.047465	0.48674	0.05414	0.66758	0.19891	0.036235	0.37324	0.071432	0.27032	0.21229	0.72572	0.87887	0.66106	0.5363	0.53239	0.11834	0.22462	0.375	0.25	0.10908	0.049361	0.28872	0.1485	0.21844	0.14834	0.36251	0.17298	0.6995
0.18757	0.11868	0.41804	0.073765	0.30745	0.2043	0.43183	0.39804	0.1306	0.20601	0.31761	0.11727	0.38826	0.080192	0.4393	0.33443	0.18998	-0.012334	0.375	0.25	0.54295	0.14418	0.46821	0.11121	0.26586	0.047517	0.16101	0.14135	0.4882
0.065387	0.21378	0.57421	0.19878	0.70034	0.038022	0.092143	0.38464	0.24407	0.10724	0.20055	0.19594	0.3764	0.49053	0.53816	0.24792	0.071562	0.38704	0.125	0	0.26821	0.2504	0.42542	0.43711	0.14135	0.39536	0.41382	0.54805	0.47185
0.018667	0.058585	0.1898	0.062788	0.20395	0.11985	0.65702	0.65527	0.127	0.20171	0.62513	0.29213	0.27103	0.20259	0.73361	0.26825	0.031815	0.74354	0.25	0.125	0.51774	0.10186	0.46048	0.16666	0.084454	0.18124	0.21262	0.17703	0.76002
0.18492	0.0049199	0.10381	0.0089156	0.23051	0.11055	0.35479	0.52238	0.34872	0.15231	0.2372	0.31878	0.10918	0.21697	0.7008	0.16206	0.019433	0.40112	0.375	0.25	0.62961	0.31655	0.58839	0.055803	0.10486	0.11541	0.64721	0.058958	0.14936
0.33346	0.19105	0.6191	0.12681	0.69389	0.19595	0.56863	0.62762	0.076374	0.23015	0.71703	0.19569	0.56628	0.3476	0.80112	0.091406	0.030534	0.8209	0.625	0.5	0.16716	0.10325	0.74085	0.3789	0.30349	0.31833	0.066001	0.32483	0.28539
0.30583	0.063437	0.50606	0.059531	0.77455	0.36209	0.54179	0.51083	0.044002	0.14693	0.42513	0.59674	0.21855	0.11282	0.85459	0.083679	0.064375	0.67118	0.625	0.5	0.84795	0.22355	0.83103	0.00637	0.25436	0.033062	0.082664	0.012055	0.29911
0.19192	0.060443	0.43103	0.094296	0.13694	0.14808	0.068713	0.050629	0.28899	0.06678	0.065216	0.15795	0.36209	0.32078	0.5549	0.020974	0.077341	0.14249	0.25	0.125	0.65072	0.34829	0.33085	0.38348	0.048067	0.33796	0.34497	0.43122	0.65546
0.20404	0.014111	0.22821	0.039	0.53574	0.047388	0.59423	0.43269	0.21735	0.065736	0.57389	0.25469	0.23719	0.25549	0.59476	0.28415	0.074134	0.32602	0.375	0.25	0.73365	0.22622	0.47664	0.03775	0.32957	0.1043	0.6821	0.021189	0.66088
0.030633	0.22238	0.65481	0.13147	0.16259	0.046529	0.20586	0.43388	0.044414	0.13476	0.37713	0.33257	0.46411	0.3483	0.63025	0.096341	0.15672	0.48336	0.5	0.375	0.22058	0.038766	0.12038	0.45734	0.1367	0.46877	0.1008	0.48632	1.0956
0.047763	0.15824	0.1556	0.16564	0.5036	0.052942	0.62393	0.58025	0.070602	0.13957	0.45415	0.26166	0.41379	0.2319	0.54617	0.022482	0.12829	0.49186	0.5	0.375	0.28296	0.10679	0.73347	0.43685	0.11656	0.52385	0.39119	0.39328	0.64327
0.08153	0.1728	0.093668	0.18349	0.57502	0.02666	0.16183	0.17919	0.28864	0.16922	0.017051	0.166	0.4247	0.15472	0.13383	0.10568	0.18437	0.13608	0.375	0.375	0.0052297	0.16153	0.43302	0.39153	0.090197	0.80301	0.1476	0.41812	0.69412
0.50473	0.10392	0.50949	0.041299	0.74714	0.60971	0.61109	0.74972	0.071005	0.213	0.69025	0.092812	0.24163	0.094806	0.83699	0.065715	0.011028	0.351	0.5	0.375	0.95348	0.072464	0.38058	0.10974	0.15452	0.12452	0.1276	0.12686	0.55975
0.31865	0.058762	0.15661	0.070644	0.46048	0.19715	0.46781	0.34482	0.024616	-0.0055347	0.49869	0.2077	0.51171	0.061046	0.48462	0.06412	0.053562	0.37504	0.25	0.125	0.063877	-0.0021601	0.091191	0.20709	0.016825	0.24418	0.36663	0.21384	0.36608
0.29036	0.015077	0.27914	0.044325	0.37214	0.22342	0.34001	0.52825	0.064174	0.093316	0.59755	0.13115	0.65794	0.026105	0.80962	0.05367	0.049769	0.71618	0.25	0.125	0.28707	0.052696	0.069274	0.54056	0.045023	0.51703	0.065177	0.58704	0.33339
0.14241	0.22712	0.4567	0.28174	0.79689	0.10805	0.25787	0.25892	0.12986	0.092428	0.30406	0.76441	0.54302	0.33532	0.59048	0.16209	0.1828	0.42339	0.5	0.5	0.16417	0.078776	0.4936	0.22263	0.12255	0.19133	0.18516	0.23849	0.8952
0.10248	0.16221	0.21896	0.20875	0.69089	0.10497	0.68793	0.76	0.044113	0.085847	0.89141	0.20953	0.3954	0.18691	0.87651	0.079166	0.028895	0.99234	0.75	0.625	0.10515	0.098716	-0.0049787	0.15303	0.089043	0.14848	0.028517	0.12936	0.33979
0.52909	0.16807	0.70411	0.07735	0.86728	0.41979	0.68137	0.85876	0.083106	0.059502	0.63604	0.47234	0.36994	0.13871	0.78077	0.025212	0.11721	0.63544	0.25	0.25	1.1188	0.16013	0.63509	0.0035865	0.27825	0.036324	-0.027662	0.012788	0.47687
0.077375	0.12549	0.079932	0.11721	0.087836	0.1349	0.67001	0.84489	0.26164	0.080477	0.68792	0.33239	0.51715	0.26264	0.87588	0.022642	0.11291	0.71472	0	0.25	0.51531	0.30132	0.6205	0.2274	0.17715	0.19345	0.38053	0.23028	0.8068
0.262	0.075485	0.15841	0.099087	0.27345	0.14611	0.28403	0.25843	0.024986	0.15195	0.28379	0.18392	0.61902	0.28422	0.55826	0.19065	0.13118	0.25577	0.5	0.375	0.35375	0.053517	0.23501	0.39729	0.23576	0.28203	0.54629	0.40834	0.76151
0.38443	0.03047	0.0066597	-0.00015037	0.25295	0.33048	0.37893	0.40632	0.20287	0.16466	0.27606	0.43005	0.16966	0.031423	0.56712	0.10259	0.027923	0.4266	0	-0.125	0.66024	0.22637	0.47608	0.12949	0.21044	0.16549	0.8903	0.16808	0.40257
-0.0011903	0.33495	0.083645	0.21795	0.069472	0.064669	0.68513	0.61665	0.094249	0.089362	0.67744	0.12725	0.13629	0.3477	0.71633	0.15658	0.14117	0.61507	0.25	0.125	0.55883	0.084933	0.33657	0.31948	0.291	0.30644	1.0034	0.34555	0.48812
0.068041	0.10097	0.32213	0.19839	0.3143	0.05556	0.57479	0.46577	0.22409	0.10633	0.43214	0.065221	0.40035	0.26806	0.73796	0.093288	0.19865	0.45775	0.5	0.375	0.46114	0.19321	0.87148	0.37479	0.33086	0.40319	0.59009	0.28208	0.57947
0.19168	0.11962	0.18241	0.071384	0.49227	0.13983	0.83049	0.72345	0.22813	0.037773	0.8497	0.37202	0.11518	0.38915	0.79891	0.11485	0.087583	0.81322	0.125	0.125	0.41184	0.19769	0.19968	0.19068	0.084458	0.1229	0.58515	0.22557	0.5694
0.022878	0.25329	0.42845	0.20471	0.027785	0.077023	0.37236	0.30792	0.022345	0.18088	0.32515	0.073279	0.35787	0.28894	0.50246	0.54931	0.20347	0.23244	0.125	0	0.56891	0.17548	0.49998	0.31268	0.29757	0.28589	0.78522	0.32849	0.18529
0.90437	0.50758	0.20874	0.14786	0.19428	0.55279	0.77179	0.43596	0.25211	1.1055	0.56816	0.27749	0.14069	0.067936	0.39163	0.086045	0.75933	0.6416	0.125	0	0.10459	0.24067	0.24442	1.0494	0.9962	0.35453	0.83119	1.0404	0.70416
0.090419	0.41519	0.44325	0.31548	0.36529	0.073135	0.51726	0.56126	0.011707	0.10778	0.59816	0.040607	0.60806	0.1851	0.7812	0.12066	0.12471	0.52386	0.125	0.125	0.4363	0.06948	0.88635	0.26004	0.21825	0.21029	0.71117	0.23106	0.53273
0.0055734	0.058075	0.36694	0.049312	0.41487	0.023928	0.69525	0.54808	0.066324	0.018783	0.5687	0.10605	0.2193	0.10967	0.55673	0.058283	0.15928	0.50135	0.5	0.375	0.48449	0.074012	0.81	0.16294	0.14866	0.21436	0.77173	0.14518	0.38853
0.22619	0.15668	0.13888	0.11104	0.15476	0.25958	0.33977	0.30282	0.20809	0.1933	0.34196	0.15695	0.097751	0.35758	0.45468	0.53742	0.10749	0.29738	0.5	0.375	0.43649	0.48644	0.25078	0.2325	0.28724	0.28331	0.64079	0.30373	0.39229
0.25246	0.093083	0.21393	0.091777	0.31018	0.13672	0.38689	0.82167	0.1294	0.11055	0.33106	0.069829	0.46261	0.085421	0.84222	0.0033946	0.15579	0.49691	0	-0.125	0.52521	0.14742	0.61903	0.17071	0.16865	0.23192	0.54708	0.15843	0.31888
0.21956	0.26976	0.45868	0.45668	0.51569	0.15383	-0.13648	0.23079	0.12557	0.10914	-0.026636	0.15474	0.42157	0.5222	0.36545	0.23114	0.51508	0.1164	0.5	0.375	0.2725	0.16152	0.20942	0.4946	0.47683	0.18399	0.2268	0.51029	0.65768
