Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.19601	0.078547	0.080067	0.070463	0.47741	0.1513	0.369	0.30654	0.081991	0.16073	0.38831	0.12216	0.22634	0.027829	0.49857	0.10351	0.17382	0.50042	0	0.11111	0.27524	0.037055	0.32844	0.26069	0.1654	0.45556	0.65673	0.34378	0.98793
0.24708	0.34411	0.81344	0.25289	1.124	0.16964	0.24161	0.21997	0.14445	0.090927	0.15584	0.31488	0.36516	0.22061	0.28887	0.063315	0.17865	0.25441	0.125	0.11111	0.38297	0.068886	0.6851	0.2977	0.23037	0.41286	0.2329	0.34979	0.38696
0.097798	0.13292	0.22994	0.11415	0.063733	0.070859	0.51935	0.39935	0.23632	0.012592	0.47436	0.025831	0.17088	0.051732	0.61852	0.68037	0.21845	0.58123	0.25	0.22222	0.30841	0.58518	0.44473	0.20657	0.11919	0.19603	0.66149	0.16754	0.86662
0.055053	0.088989	0.54078	0.042876	0.68581	0.079051	0.53118	0.43719	0.10626	0.1901	0.60185	0.24931	0.50527	0.33565	0.47687	0.16995	0.091706	0.56364	0.125	0.11111	0.2194	0.07362	0.12521	0.25618	0.15862	0.41951	0.63006	0.36763	0.45452
0.085741	0.16459	0.24756	0.057294	0.26867	0.056965	0.6502	0.60176	0.069064	0.086927	0.63502	0.0061634	0.30448	0.057586	0.55457	0.052506	0.13842	0.29904	0.125	0.33333	0.47001	0.066828	0.1837	0.24024	0.14664	0.21308	0.77728	0.23832	0.83696
0.19189	0.24673	0.19234	0.1829	0.91708	0.065782	0.40154	0.15865	0.21906	0.12873	0.20373	0.064146	0.59877	0.092623	0.62131	0.061748	0.29028	0.41294	0.375	0.44444	0.24946	0.24173	0.8185	0.3034	0.22576	0.26987	0.089605	0.35408	0.56969
0.28234	0.24407	0.48965	0.13581	0.70645	0.28265	0.33164	0.19788	0.034435	0.32702	0.31962	0.0057387	0.38563	0.1188	0.21697	0.097499	0.34966	0.22703	0.375	0.33333	0.14567	0.051295	0.30136	0.25393	0.36526	0.14279	0.2332	0.32037	0.70472
0.028168	0.54128	0.52376	0.31903	0.088316	0.023024	0.33348	0.2126	0.29636	0.089361	0.16178	0.14236	0.2868	0.35181	0.38329	0.089377	0.15843	0.28929	0.375	0.33333	0.20019	0.25169	0.4937	0.50652	0.21138	0.61114	0.63564	0.56517	0.39447
0.18467	0.098486	0.15837	0.069993	0.11708	0.16529	0.69469	0.61058	0.051009	0.12824	0.59909	0.077255	0.1284	0.057048	0.63935	0.1106	0.017535	0.75599	0	0	0.30874	0.020904	0.45445	0.32318	0.10837	0.44292	0.4997	0.37423	0.59484
0.083247	0.30157	0.12992	0.46646	0.36288	-0.00073585	0.04599	0.41225	0.34594	0.083023	0.18834	0.065455	0.22776	0.3097	0.33582	0.48915	0.34039	0.30841	0.125	0.11111	0.20725	0.10485	0.7492	0.15041	0.16995	0.20399	0.30302	0.18181	0.46082
