Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.48798	0.83617	0.30874	0.54797	0.68771	0.11363	0.055954	-0.24424	0.50666	0.45619	-0.042831	0.045604	0.71913	0.27999	-0.24611	0.80662	0.5741	-0.13544	0	0	0.015758	0.20468	0.24318	0.44676	0.57807	0.16449	0.11441	0.36831	0.88319
0.13303	0.40976	0.75574	0.45655	0.76769	0.15703	0.21084	0.2413	-0.0057898	0.20225	0.20924	0.21963	0.45307	0.46182	0.16929	0.1068	0.30727	0.24943	0	0	0.12615	-0.00076517	0.49125	0.3045	0.31045	0.41334	0.41743	0.20002	0.88607
0.57692	0.32783	0.22546	0.40751	0.29594	1.0747	0.29159	0.25331	0.85402	0.18701	0.28764	0.087325	0.12363	0.21338	0.14733	0.23057	0.10958	0.47713	-0.125	-0.125	0.024634	0.37115	0.42363	1.5676	0.90118	1.1441	0.20935	1.4521	1.0376
0.051602	0.21018	0.438	0.094953	0.76678	0.090029	0.39272	0.35676	0.2331	0.22219	0.44487	0.40955	0.53283	0.061223	0.36759	0.15229	0.080315	0.26716	0.25	0.25	0.90535	0.15731	0.14652	0.093649	0.1988	0.096687	0.0015364	0.07147	0.5755
0.21333	0.46792	0.23406	0.40002	0.13873	-0.005237	0.25066	0.11463	1.7711	0.1948	0.17392	0.37756	0.15778	0.13395	0.15036	0.79401	0.22394	0.19581	0	0	0.095823	1.462	0.13786	0.29273	0.34507	0.43177	0.71364	0.35066	0.50662
0.056915	0.17842	0.39364	0.24733	0.62313	-0.014758	0.34718	0.26344	0.050192	0.026006	0.24539	0.10026	0.23903	0.17491	0.2835	0.044594	0.29516	0.38336	0	0	0.36228	0.0076908	0.53791	0.50524	0.39902	0.89997	0.35475	0.63912	0.5196
0.84201	2.3362	0.81131	1.6746	0.3871	1.0459	0.51981	0.46044	0.086549	0.84735	0.46929	0.91958	0.61253	1.7223	0.42995	0.11012	0.31546	0.56805	0.125	0.25	0.16202	0.16023	0.52747	0.47132	0.96926	0.29509	0.87083	0.52158	0.54371
0.40324	0.1772	0.10625	0.080663	0.30643	0.3596	0.39555	0.23165	0.19291	0.014832	0.19216	0.086097	0.24965	0.25966	0.48013	0.068771	0.071456	0.28535	0.5	0.5	0.37947	0.20573	0.8005	0.15346	0.13833	0.12981	0.86645	0.12316	0.79065
0.43993	0.14505	0.070872	0.28348	0.82975	0.28606	0.15757	0.27283	0.27389	0.12049	0.14334	0.15076	0.5534	0.11448	0.60245	0.046224	0.031617	0.24554	0.125	0.25	0.21121	0.31709	0.29742	0.395	0.13103	0.27774	0.22863	0.37107	0.7115
0.56958	0.26309	0.41493	0.17642	0.47577	0.44254	0.29636	0.035083	0.4127	0.36427	0.091734	0.029644	0.50848	0.033935	0.57201	0.90422	0.18055	0.14095	0.375	0.375	0.10877	0.30605	0.78159	0.44155	0.16752	0.22789	0.072482	0.43649	0.80736
