Cytoplasm_Texture_GaborY_CorrTub_10	Cytoplasm_Texture_GaborX_CorrTub_10	Nuclei_Zernike_6_6	Cells_Texture_GaborX_CorrTub_10	Nuclei_Zernike_4_4	Cells_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_1_1	Cytoplasm_AreaShape_Extent	Cytoplasm_Intensity_MassDisplacement_CorrActin	Nuclei_Texture_GaborY_CorrTub_10	Cytoplasm_Zernike_0_0	Cytoplasm_Texture_GaborY_CorrActin_10	Nuclei_Zernike_8_8	Cytoplasm_Texture_GaborX_CorrActin_10	Cytoplasm_AreaShape_Solidity	Cytoplasm_Intensity_MassDisplacement_CorrTub	Nuclei_Texture_GaborX_CorrTub_10	Cytoplasm_AreaShape_FormFactor	Cells_Neighbors_NumberOfNeighbors_3	Cells_Neighbors_NumberOfNeighbors_10	Cytoplasm_AreaShape_Area	Cells_Intensity_MassDisplacement_CorrActin	Cytoplasm_Zernike_2_2	Cells_Texture_Contrast_CorrTub_10	Nuclei_Intensity_StdIntensity_CorrTub	Cytoplasm_Texture_Contrast_CorrTub_10	Nuclei_Zernike_4_0	Cells_Texture_DifferenceVariance_CorrTub_10	Cytoplasm_Texture_Entropy_CorrActin_3
0.43356	0.36204	0.45717	0.11446	0.17904	0.3253	0.37565	0.23991	0.13297	0.3416	0.31943	0.041676	0.22265	0.26635	0.36728	0.29191	0.10952	0.27336	-0.125	0	0.24756	0.10522	0.80253	0.2447	0.20651	0.23131	0.45368	0.27578	0.70174
0.40769	0.56479	0.20981	0.43036	0.32367	0.32829	0.32194	0.55123	0.40224	0.30398	0.29006	0.19139	0.17847	0.34771	0.55408	0.22518	0.42367	0.50733	0.125	0.125	0.1691	0.26796	0.81275	0.10523	0.29748	0.05616	0.63477	0.09644	0.63632
0.39567	0.061429	0.37193	0.13441	0.25645	0.27969	0.55757	0.59158	0.19006	0.042209	0.55701	0.0894	0.39473	0.14989	0.70738	0.13205	0.1778	0.74407	0.375	0.375	0.35677	0.16757	0.51877	0.26589	0.24606	0.26546	0.71376	0.28584	0.68453
0.22679	1.974	0.6514	1.5768	0.60061	0.060704	0.20801	0.39048	0.5511	0.23965	0.3177	0.10131	0.25342	0.5275	0.23211	0.21481	1.2979	0.095864	0.125	0.125	0.46138	0.41034	0.58305	0.31545	0.42743	0.11421	-0.021438	0.40485	0.29221
1.229	0.11008	0.82657	0.67809	0.13139	0.8631	0.20491	0.051553	0.64633	0.039821	0.10087	0.91231	0.50281	0.64396	0.02319	0.083381	0.4893	0.030873	0.125	0.125	0.30463	0.6663	0.40677	0.28219	0.76669	0.26536	0.41998	0.30488	0.7168
0.11024	0.21103	0.69131	0.071714	0.52757	0.1848	0.07729	0.16721	0.088673	0.16791	0.18283	0.21453	0.81277	0.11629	0.31713	0.07414	0.16408	0.31524	0.125	0.125	0.086369	0.069267	0.23363	0.29934	0.36462	0.47911	0.24729	0.22116	0.16666
0.25627	0.16287	0.019579	0.095458	0.3216	0.1394	0.23541	0.26544	0.1467	0.27645	0.2314	0.32722	0.20735	0.092176	0.41339	0.23231	0.17294	0.32783	0.125	0.125	0.06219	0.13416	0.2373	0.24154	0.23862	0.40256	0.29722	0.29665	0.59375
0.4225	0.16578	0.30633	0.10983	0.23886	0.16469	0.37389	0.065208	0.47066	0.18841	0.20638	0.10521	0.36531	0.2258	0.0035644	0.1602	-0.0056676	0.17209	0.125	0.125	0.15512	0.33886	0.33117	0.25279	0.39129	0.62645	0.64628	0.38914	0.65735
0.15396	0.27668	0.5703	0.24465	0.38489	0.14266	0.12039	-0.15588	0.23276	0.14499	0.016401	0.33545	0.21653	0.085853	-0.16215	0.36886	0.22488	-0.081391	0.125	0.25	0.028143	0.031722	0.059693	0.17825	0.15565	0.25498	0.12105	0.14485	0.62917
0.086235	0.20616	0.19725	0.02871	0.17561	0.12034	0.30444	0.5916	0.14751	0.2976	0.43714	0.43775	0.2951	0.12988	0.41613	0.083076	0.18279	0.4847	0.125	0.125	0.20282	0.21369	0.38883	0.24348	0.25113	0.2214	0.62596	0.24864	0.43111
0.52852	0.50685	0.064329	0.36253	1.4054	0.3499	0.55897	0.533	0.15827	0.092155	0.59035	0.156	0.20237	0.03207	0.47746	0.055757	0.11838	0.36503	0.125	0.125	0.49494	0.16468	0.34632	0.27331	0.29277	0.15345	0.30362	0.23867	0.5474
0.19757	0.76403	0.52285	0.63285	0.20962	0.12832	0.074487	0.25963	0.10157	0.15247	0.079518	0.70509	0.34897	0.35263	0.2509	0.21615	0.42042	0.12887	0.25	0.25	0.12223	0.061838	0.6824	0.46289	0.29207	0.21803	0.24132	0.37489	0.42471
0.34902	0.39608	0.58211	0.37279	0.49358	0.21422	0.087119	0.037015	0.62683	0.2031	0.061763	0.10383	0.49917	0.037547	0.083273	0.31292	0.22827	0.092648	0.25	0.25	0.17897	0.40062	0.47633	0.29701	0.33641	0.32994	0.38429	0.32482	0.69083
0.45903	0.63574	0.17948	0.50494	0.35956	0.41698	0.14539	0.15703	0.018516	0.34134	0.12197	0.32172	0.47229	0.31836	0.17268	0.85919	0.048442	-0.050553	0	0	0.079625	-0.0083567	0.49892	0.75089	0.48872	0.4524	0.15076	0.72507	1.0089
0.33262	0.38633	0.6141	0.31373	0.21821	0.18006	0.32157	0.34885	0.0097238	0.19417	0.2108	0.13079	0.3242	0.13658	0.37731	0.018312	0.39028	0.27328	0.125	0.125	0.30266	0.017109	0.47276	0.44875	0.3344	0.45186	0.038911	0.43345	0.80133
0.050894	0.27886	0.36399	0.24571	1.0771	0.060234	0.1322	-0.047686	0.29185	0.081267	-0.034045	0.1064	0.30947	0.081976	-0.025816	0.14656	0.22385	0.0097794	0.125	0.125	0.051334	0.17175	0.24106	0.48325	0.17578	1.1059	0.055947	0.68078	0.83519
0.88822	0.65076	0.38822	0.27514	0.19165	0.80676	0.36425	0.079007	0.34026	0.40946	0.21835	0.42234	0.18539	0.36797	0.17464	0.18912	0.074774	0.15167	0.25	0.25	0.099527	0.26277	0.66663	0.40352	0.60651	0.54273	0.84419	0.5342	0.42164
0.4997	0.58954	0.84196	0.54025	0.96335	0.23135	0.22395	0.14278	1.197	0.21997	0.098257	1.2338	0.57463	0.50822	0.13922	0.53537	0.35712	0.070799	0.125	0.125	0.16104	0.77458	0.43779	0.25513	0.22883	0.33247	0.30909	0.2531	0.57708
0.30815	1.3316	0.68382	1.4655	0.089339	0.31136	0.35744	0.24306	0.6723	0.47607	0.18093	0.088341	0.14716	0.37726	0.14457	0.084243	0.73352	0.18478	0.25	0.25	-0.010181	0.21093	0.42544	0.63678	0.53799	0.67256	0.38267	0.42635	-0.00087065
1.144	1.1437	0.34291	0.92085	0.74759	0.82898	0.206	0.020322	0.17471	0.42009	0.02061	0.52831	0.38667	0.78759	0.15096	0.17596	0.39676	0.10734	0.25	0.25	0.11976	0.25229	0.52927	0.58033	0.78029	0.18067	0.078356	0.59963	-0.28333
0.45171	0.32527	0.78311	0.42549	0.7752	0.045527	0.12996	-0.097136	0.49892	0.20258	-0.0032565	0.50032	0.61192	1.7145	-0.12351	0.32925	0.46351	-0.07544	0.375	0.375	0.24295	0.75016	0.30093	0.13082	0.89796	0.028615	0.635	0.14025	0.24196
0.76599	0.95025	0.071865	0.83148	0.78376	0.39712	0.31557	0.10135	0.21678	0.49213	0.1416	1.8505	0.56798	1.9978	0.13505	0.11017	0.87331	0.1599	0.125	0.125	0.0024837	0.39049	0.62279	1.0891	0.73134	0.70757	0.30344	0.88426	-0.026588
0.2375	0.88632	0.60887	0.71317	0.15837	0.10377	0.26496	0.28253	0.5647	0.31028	0.34358	0.32435	0.29497	0.38788	0.465	0.19277	0.47782	0.37992	0.125	0.125	0.30891	0.25179	0.27106	0.44236	0.46344	0.35876	0.04663	0.4338	-0.086813
0.17984	0.709	0.23239	0.48777	0.73862	0.047462	0.17722	-0.0011069	0.31157	0.14945	0.060248	0.17112	0.94223	0.39385	0.24067	0.099373	0.17864	0.029554	-0.125	-0.125	0.15282	0.29197	0.50793	0.79828	0.44944	0.74187	0.0098151	0.59524	0.96748
0.11259	0.48284	0.40735	0.23436	0.22009	0.12677	0.27441	0.31158	0.17339	0.089719	0.2773	0.16238	0.059788	0.075668	0.4138	0.059809	0.13859	0.41941	0.125	0.125	0.28901	0.15157	0.34515	0.28383	0.11644	0.35678	0.77537	0.2877	0.4393
0.54167	0.27731	0.59084	0.042681	0.59823	0.5348	0.69325	0.4379	0.28522	0.42139	0.48503	0.19317	0.4202	0.19714	0.43966	0.21689	0.13735	0.44771	0	0	0.36993	0.33385	0.69212	0.17301	0.50729	0.15276	0.019901	0.22946	0.61847
0.30331	0.31923	0.5429	0.24097	0.60597	0.36723	0.2395	0.11596	0.026582	0.20006	0.21952	0.12742	0.68208	0.41941	0.13331	0.16569	0.051838	0.072881	0	0	0.085546	-0.0032688	0.14679	0.11895	0.24016	0.17429	0.086585	0.14364	0.90854
0.11039	0.1371	0.77478	0.064219	1.0123	0.080528	0.43605	0.27733	0.4135	0.25871	0.24492	0.13016	0.72301	0.26724	0.29312	0.35748	0.11563	0.38121	0.125	0.25	0.22239	0.29619	0.55767	0.27682	0.25305	0.35188	0.60192	0.34755	0.66037
0.32921	0.19107	0.18819	0.046227	0.12726	0.26559	0.63043	0.46742	0.14427	0.30347	0.57067	0.14771	0.38453	0.21969	0.47199	0.28876	0.12472	0.49761	-0.125	-0.125	0.42717	-0.0045	0.21098	0.21757	0.37517	0.22611	0.76374	0.19977	0.5552
0.29739	0.054485	0.20202	0.0049388	0.51554	0.32735	0.28222	0.27521	0.068774	0.10972	0.32106	0.25012	0.81579	0.19176	0.48432	0.12685	0.087274	0.30641	0.5	0.5	0.26647	0.057852	0.28993	0.17965	0.2466	0.11994	0.056993	0.19534	0.3686
0.3469	0.09239	1.1076	0.013899	0.99673	0.52604	0.35988	0.37789	0.0865	0.35	0.42348	0.34781	0.93771	0.27809	0.64827	0.064815	0.15823	0.44986	0.25	0.375	0.088013	0.048002	0.54482	0.50948	0.23294	0.35881	0.11129	0.63237	0.98553
0.1617	0.17304	0.53914	0.14366	0.059809	0.025262	0.15446	0.24981	0.11081	0.19119	0.21521	0.18961	0.51436	0.11629	0.41639	0.065972	0.10264	0.2037	0.25	0.25	0.31533	0.046303	0.22632	0.33765	0.38868	0.30736	0.43878	0.30761	0.43662
0.98454	0.29262	0.10637	0.10359	0.235	0.83636	0.27869	0.19008	0.14453	0.76766	0.093161	0.49214	0.063914	0.31749	0.1513	0.14329	0.25888	0.25712	0.375	0.625	0.054788	0.17374	0.49298	0.57809	0.49716	0.34733	0.49255	0.57055	0.65212
0.80195	0.32478	0.41842	0.11003	1.0329	1.0786	0.47862	0.29356	0.15543	1.0164	0.39092	0.36284	0.21539	0.20838	0.30402	0.1818	0.19378	0.34376	0.5	0.5	0.52816	0.13088	0.054461	0.191	0.31794	0.18288	0.18005	0.14414	0.6116
0.043012	0.11129	0.37396	0.027168	0.34581	0.11756	0.55975	0.53117	0.84157	0.30079	0.45816	0.14884	0.44529	0.080477	0.63996	0.35525	0.099349	0.50785	0.5	0.5	0.29641	0.89382	0.71695	0.14685	0.24134	0.15641	0.69471	0.14327	0.25944
0.39314	0.10596	0.30238	0.11159	0.028106	0.31154	0.4394	0.29459	0.15796	0.27265	0.39968	0.18722	0.24154	0.045847	0.45121	0.22228	0.1678	0.35044	0	0	0.2599	0.14112	0.26474	0.25602	0.44355	0.096556	0.5169	0.24384	0.34065
0.42757	0.34104	0.57572	0.21272	0.79843	0.46287	0.23661	0.28242	0.093079	0.3871	0.077764	0.24993	0.39914	0.11653	0.33763	0.1348	0.23533	0.29831	0	0	0.29197	0.089653	0.48645	0.31289	0.53778	0.43409	0.097821	0.41612	0.63033
0.38106	0.22013	0.16504	0.11362	0.63479	0.23489	0.39153	0.35512	0.21168	0.26029	0.31101	0.024158	0.06247	0.023113	0.52222	0.10991	0.18388	0.41436	0.125	0.125	0.30414	0.22898	0.49281	0.11403	0.32807	0.14537	0.5194	0.096477	0.35723
0.4178	0.093586	0.50778	0.02726	0.71746	0.75136	0.29636	0.42038	0.54994	0.58733	0.4571	0.28416	0.1585	0.40444	0.52493	0.12991	0.13623	0.33979	0.375	0.375	0.32964	0.25599	0.36686	0.18504	0.4152	0.17581	0.19867	0.1671	0.73212
0.14095	0.29373	0.26136	0.32582	0.38823	0.041968	0.39777	0.33951	0.13127	0.1614	0.39947	0.11394	0.46354	0.030976	0.53101	0.035793	0.24641	0.48568	0.125	0.25	0.30825	0.1073	0.68228	0.39687	0.23207	0.19222	0.24442	0.48079	0.70582
0.022766	0.054116	0.4373	0.12881	0.31937	0.058299	0.58107	0.40512	0.13851	0.010695	0.43221	0.40143	0.056931	0.065143	0.30858	0.24791	0.0089251	0.46068	-0.125	-0.125	0.45892	0.12188	0.60197	0.26887	0.42665	0.52926	0.2341	0.33145	0.87399
0.02116	0.3526	0.36352	0.41058	0.087717	0.093548	0.027363	0.22966	0.13765	0.055581	0.15252	0.082143	0.1688	0.068205	0.30518	0.38271	0.058847	0.23587	0	0.125	0.37651	0.14028	0.30077	0.30375	0.27108	0.25505	0.76294	0.38647	0.58314
0.3202	1.1951	0.32839	0.65954	0.37698	0.26098	0.69692	0.59298	-0.0040188	0.44215	0.66436	0.20889	0.80764	0.38317	0.64354	0.041254	0.23906	0.68269	0	0	0.29279	0.039275	0.33709	0.38684	0.43021	0.35827	0.54579	0.38577	0.55377
0.0685	0.19961	0.45647	0.084648	0.54156	0.15421	0.57915	0.4301	0.18875	0.11101	0.43266	0.11206	0.58756	0.08659	0.49715	0.066386	0.06964	0.47275	0	0	0.27733	0.13369	0.44115	0.11133	0.33534	0.084158	0.21788	0.11085	0.29458
0.14864	0.24907	0.1108	0.22488	0.37333	0.17421	0.41462	0.54212	0.078169	0.35238	0.38844	0.1129	0.18375	0.074452	0.62383	0.1772	0.17292	0.4131	0	0	0.40924	0.14754	0.43921	0.34403	0.32362	0.24315	0.7307	0.29898	0.28455
0.81389	0.51268	0.24896	0.27276	0.15952	0.53034	0.25182	0.50271	0.021627	0.10726	0.14431	0.1138	0.82078	0.038216	0.44616	0.071263	0.084953	0.26146	0	0	0.3548	0.0052062	0.46337	0.21799	0.27262	0.13405	0.67353	0.22554	0.4506
1.1839	1.5443	0.42334	1.1969	0.25271	1.3492	0.41151	0.1002	0.89796	1.0828	0.20997	2.1786	0.62247	1.6843	-0.062499	0.51488	0.74099	0.21785	-0.125	-0.125	0.089823	0.061944	0.00062186	0.93179	1.2308	0.25509	0.60254	1.0655	0.82756
0.11299	0.2355	0.47682	0.16691	0.24982	0.17499	0.16615	0.29671	0.10649	0.11238	0.15536	0.031462	0.47698	0.080183	0.55471	0.26928	0.16315	0.32444	0.125	0.125	0.28835	0.15135	0.57672	0.25673	0.081136	0.21424	0.60534	0.25257	0.57938
0.87433	0.29039	0.23387	0.076451	0.62335	1.0244	0.28147	0.5985	0.10528	0.57795	0.10304	0.38581	0.16579	0.19932	0.63403	0.27772	0.21012	0.35036	-0.125	-0.125	0.41977	0.082169	0.65374	0.097785	0.40384	0.14264	0.31147	0.15664	0.26944
0.21412	0.091996	0.30974	0.0073392	0.49411	0.071191	0.32421	0.17054	0.25409	0.0794	0.15792	0.52495	0.70895	0.090876	0.11362	0.012406	0.039483	0.14056	0.125	0.125	0.28128	0.097673	0.39809	0.21695	0.20985	0.31388	0.010119	0.22866	0.85065
0.16308	0.87529	0.34464	0.41207	0.56081	0.28864	0.16709	-0.11552	0.03794	0.33301	0.067232	0.36739	0.74377	0.632	-0.1098	0.78874	0.36984	-0.081396	0	0.125	0.10644	0.053506	0.45707	0.31162	0.5069	0.70399	0.24638	0.30407	0.5587
0.48813	0.25204	0.33099	0.19142	0.42217	0.54286	0.79485	0.61906	0.29194	0.17824	0.78749	0.2975	0.33059	0.2134	0.56729	0.28667	0.22556	0.59257	0.125	0.125	0.43786	0.30411	0.13768	0.29541	0.34268	0.23297	0.82759	0.28401	0.72573
0.18777	1.1001	0.51462	0.8407	0.17546	0.31204	0.6106	0.59892	0.24699	0.6149	0.64941	0.1284	0.31445	0.90334	0.50644	0.12852	0.57935	0.64277	0	0.125	0.16976	0.28038	0.19844	0.20584	0.49013	0.33868	0.86425	0.16079	0.83011
0.32883	2.5105	0.15473	1.7111	0.17797	0.54503	0.46471	0.18959	0.51561	0.57289	0.29299	2.0753	0.62942	2.8934	0.08604	0.12791	0.83672	0.29046	-0.125	0.125	0.10742	0.22225	0.52425	0.78115	1.2018	0.82463	0.74577	0.7398	0.22823
0.27302	0.2821	0.28295	0.45416	0.41536	0.53781	0.26131	0.28787	0.049801	0.3959	0.17648	0.51796	0.073789	0.44621	0.39638	0.10245	0.05174	0.44754	-0.125	-0.125	0.052157	0.17283	0.35925	1.1552	0.55041	0.83769	0.96372	1.1143	0.89511
0.66742	0.75497	0.37862	0.79355	0.28102	0.40144	0.18773	0.060063	0.71541	0.47576	0.11468	0.88664	0.45459	1.1544	0.024288	0.65035	0.5972	0.13509	0.125	0.125	0.081434	0.42266	0.37891	0.47555	0.68613	0.72811	0.096122	0.4913	0.40053
0.10283	0.013329	1.1644	0.092712	0.073577	0.10921	0.014684	-0.034609	0.39154	0.12912	0.042858	0.14778	0.6339	0.028033	-0.045052	0.067362	0.07555	-0.05861	0.25	0.375	0.25101	0.28237	0.22893	0.16657	0.48146	0.15345	-0.00071738	0.1565	0.35738
0.15176	0.11095	0.2745	0.14095	0.67026	0.0040093	0.10248	0.085053	0.23834	0.16214	0.10963	0.83842	0.25392	0.16848	0.28372	0.063786	0.15304	0.16963	0.5	0.5	0.21483	0.18884	0.377	0.33376	0.23511	0.44766	0.24109	0.37292	0.83591
0.36742	0.20903	0.11407	0.18652	0.10421	0.52362	0.16531	0.068326	0.24761	0.19286	0.0094104	0.90983	0.15114	0.37252	0.075469	0.21095	0.10209	0.022537	0.125	0.125	0.031268	0.10175	0.33917	0.55209	0.29359	0.58181	0.78377	0.63051	0.68743
0.15395	0.35733	0.70514	0.063678	0.41463	0.12964	0.22007	0.08585	0.090073	0.047328	0.20584	0.5611	0.54993	0.32255	0.11986	0.31031	0.0067589	0.17757	0.125	0.25	0.19345	0.086203	0.20426	0.17051	0.16774	0.27547	0.37243	0.16748	0.77603
0.65639	0.19982	0.093775	0.2697	0.58571	0.58577	0.38189	0.25589	0.40059	0.40058	0.12879	0.30292	0.10078	0.22701	0.16556	0.10382	0.29583	0.13925	0.25	0.25	0.091632	0.28232	0.82055	0.23406	0.23597	0.42754	0.096564	0.2463	0.66883
0.01342	0.29184	0.52253	0.11661	0.20245	0.12831	0.55423	0.58186	0.1549	0.1165	0.73168	0.18473	0.32654	0.28076	0.59289	0.047559	0.076199	0.66002	0	0	0.39247	0.11828	0.13116	0.20743	0.11051	0.25808	0.61719	0.25934	0.46617
0.24536	0.044461	0.20653	0.07261	0.43533	0.22527	0.43571	0.23477	0.32024	0.2197	0.27484	0.04794	0.095596	0.046298	0.56416	-0.0090672	0.13869	0.33602	0.25	0.25	0.29608	0.23553	0.77477	0.24466	0.15861	0.29573	0.89493	0.24568	0.83928
0.6709	0.07413	1.3083	0.065115	0.56676	0.4543	0.26626	0.45112	0.088801	0.19469	0.30402	0.40762	0.36726	0.03767	0.62455	0.039825	0.051497	0.50263	0.125	0.125	0.069098	0.077511	0.30122	0.036789	0.18085	0.0022003	0.59198	0.048939	0.81783
0.3919	0.51949	0.35744	0.24333	0.21625	0.28401	0.5263	0.46556	0.9376	0.051995	0.59874	0.54612	0.41789	0.40828	0.56803	0.54324	0.25086	0.69934	0	0	0.18571	1.2721	0.29078	0.087878	0.20199	0.13484	0.98129	0.095531	0.56573
0.36932	0.60469	0.40233	0.43012	0.46859	0.32037	0.12975	-0.07741	0.56869	0.22733	0.054167	0.1395	0.26939	0.38559	-0.10491	0.73397	0.15735	0.042774	0.125	0.25	0.085875	0.092552	0.050744	0.83339	0.87486	0.95341	0.18384	1.0421	0.70745
0.52843	0.3292	0.53468	0.30638	0.99612	0.57771	0.0065568	-0.15618	0.33522	0.61478	-0.053047	0.7936	0.16438	0.49187	-0.20304	0.34485	0.38419	-0.15341	0.125	0.125	0.092783	0.28419	0.018281	0.29609	0.62362	0.66258	0.31858	0.28916	0.70216
0.26502	0.3502	0.64378	0.25891	0.85709	0.14046	0.44962	0.57951	0.062573	0.039142	0.70595	0.11964	0.26123	0.17055	0.61887	0.067419	0.12839	0.47246	0.125	0.25	0.22667	0.089005	0.16418	0.33224	0.13871	0.28141	-0.0094013	0.33477	0.6687
0.52824	0.24039	0.44998	0.035844	0.17278	0.41397	0.4662	0.6737	0.14211	0.18719	0.59352	0.21724	0.51251	0.27364	0.66851	0.19078	0.11787	0.49509	0.25	0.375	0.3451	0.20343	0.33215	0.149	0.29219	0.068452	0.59403	0.13412	0.39397
0.41752	0.34606	0.38512	0.17759	0.44457	0.37999	0.48116	0.2671	0.21542	0.38804	0.36114	0.13167	0.23627	0.12535	0.35268	0.15273	0.23019	0.30928	0	0.125	0.33375	0.14355	0.39496	0.62567	0.26762	0.9707	0.52468	0.75811	1.0314
0.50277	0.35489	0.39756	0.35432	0.73032	0.58967	0.28476	0.14765	0.34174	0.24881	0.23161	0.11444	0.020246	0.30126	0.22146	0.26204	0.1981	0.14392	0.25	0.25	0.084888	0.26908	0.14372	0.59647	0.60511	0.3448	-0.01876	0.53256	0.83075
0.14105	0.4354	0.30301	0.30815	0.42444	0.095659	0.47153	0.35479	0.1381	0.11558	0.39711	0.24491	0.36777	0.13793	0.51412	0.2512	0.37341	0.35739	0.25	0.25	0.32487	0.12617	0.32682	0.30468	0.30245	0.1752	0.89633	0.23622	0.80544
0.25219	0.63595	0.43786	0.36955	0.28737	0.073944	0.4034	0.19384	0.15086	0.24651	0.24409	0.25194	0.66738	0.078179	0.2826	0.20344	0.47181	0.045416	0.25	0.25	0.2543	0.10366	0.54252	0.44227	0.46058	0.26035	0.31249	0.45233	0.90253
0.32346	0.86014	0.35589	0.36324	0.20538	0.19685	0.31009	0.26838	0.127	0.229	0.28489	0.33724	0.2611	0.35692	0.22812	0.24098	0.37364	0.29972	0.125	0.25	0.049854	0.032219	0.22583	0.47692	0.19106	0.86526	0.50074	0.53723	0.66863
0.78919	0.32536	0.36077	0.056242	0.5146	1.0206	0.24969	0.35869	0.65622	0.64108	0.28121	0.3593	0.20873	0.41544	0.53927	0.30916	0.10818	0.4661	0.25	0.25	0.17552	0.59836	0.23593	0.20756	0.34334	0.21368	0.1319	0.18779	0.73845
0.7044	0.26067	0.43837	0.098036	0.67063	0.5916	0.35035	0.23377	0.53809	0.41738	0.24888	0.35271	0.2651	0.16052	0.35048	0.13916	0.35455	0.27959	0.125	0.25	0.15019	0.42793	0.42959	0.37581	0.5207	0.076905	0.14952	0.48955	0.33112
